chrom	group_a	group_b	n_within	n_cross	within_te_marker_fraction	cross_te_marker_fraction	split_ratio	flagged_units	high_density_units
chr01	HAP2_chr01,HAP1_chr01,HAP3_chr01	HAP4_chr01	3	3	0.108757	0.507111	4.66		
chr02	HAP1_chr02,HAP3_chr02	HAP4_chr02,HAP2_chr02	2	4	0.093299	0.365117	3.91		
chr03	HAP1_chr03,HAP3_chr03	HAP2_chr03,HAP4_chr03	2	4	0.071185	0.112403	1.58		
chr04	HAP1_chr04,HAP2_chr04,HAP3_chr04	HAP4_chr04	3	3	0.174019	0.400571	2.30		
chr05	HAP1_chr05,HAP4_chr05	HAP2_chr05,HAP3_chr05	2	4	0.111824	0.260280	2.33		
chr06	HAP2_chr06,HAP1_chr06,HAP3_chr06	HAP4_chr06	3	3	0.235329	0.206309	0.88		
chr07	HAP1_chr07	HAP2_chr07,HAP3_chr07,HAP4_chr07	3	3	0.269179	0.455850	1.69		
chr08	HAP2_chr08,HAP4_chr08	HAP3_chr08,HAP1_chr08	2	4	0.070157	0.090450	1.29		
chr09	HAP3_chr09,HAP2_chr09	HAP4_chr09,HAP1_chr09	2	4	0.096126	0.120721	1.26		
chr10	HAP1_chr10,HAP2_chr10	HAP4_chr10,HAP3_chr10	2	4	0.120022	0.137008	1.14		
chr11	HAP1_chr11	HAP2_chr11,HAP3_chr11,HAP4_chr11	3	3	0.092525	0.078955	0.85		
chr12	HAP2_chr12,HAP3_chr12	HAP4_chr12,HAP1_chr12	2	4	0.198001	0.291471	1.47		HAP2_chr12
chr13	HAP1_chr13,HAP2_chr13,HAP3_chr13	HAP4_chr13	3	3	0.175376	0.463177	2.64		
chr14	HAP1_chr14	HAP3_chr14,HAP2_chr14,HAP4_chr14	3	3	0.123646	0.151943	1.23		
chr15	HAP2_chr15,HAP1_chr15	HAP3_chr15,HAP4_chr15	2	4	0.215550	0.234241	1.09	HAP4_chr15	
chr16	HAP2_chr16,HAP4_chr16	HAP3_chr16,HAP1_chr16	2	4	0.121029	0.330324	2.73		
chr17	HAP2_chr17,HAP3_chr17	HAP4_chr17,HAP1_chr17	2	4	0.323436	0.361035	1.12		
