chrom	unit_a	unit_b	hap_a	hap_b	distance	resolution_limited
chr01	HAP1_chr01	HAP2_chr01	HAP1	HAP2	0.007294	False
chr02	HAP1_chr02	HAP2_chr02	HAP1	HAP2	0.005759	False
chr03	HAP1_chr03	HAP2_chr03	HAP1	HAP2	0.005147	False
chr04	HAP1_chr04	HAP2_chr04	HAP1	HAP2	0.018114	False
chr05	HAP1_chr05	HAP2_chr05	HAP1	HAP2	0.017567	False
chr06	HAP1_chr06	HAP2_chr06	HAP1	HAP2	0.004886	False
chr07	HAP1_chr07	HAP2_chr07	HAP1	HAP2	0.008588	False
chr08	HAP1_chr08	HAP2_chr08	HAP1	HAP2	0.018404	False
chr09	HAP1_chr09	HAP2_chr09	HAP1	HAP2	0.020607	False
chr10	HAP1_chr10	HAP2_chr10	HAP1	HAP2	0.021879	False
chr11	HAP1_chr11	HAP2_chr11	HAP1	HAP2	0.020292	False
chr12	HAP1_chr12	HAP2_chr12	HAP1	HAP2	0.020691	False
chr13	HAP1_chr13	HAP2_chr13	HAP1	HAP2	0.017661	False
chr14	HAP1_chr14	HAP2_chr14	HAP1	HAP2	0.018535	False
chr15	HAP1_chr15	HAP2_chr15	HAP1	HAP2	0.019612	False
chr16	HAP1_chr16	HAP2_chr16	HAP1	HAP2	0.025155	False
chr17	HAP1_chr17	HAP2_chr17	HAP1	HAP2	0.023431	False
chr18	HAP1_chr18	HAP2_chr18	HAP1	HAP2	0.019537	False
chr19	HAP1_chr19	HAP2_chr19	HAP1	HAP2	0.025500	False
