,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP1_chr19,HAP1_chr20,HAP1_chr21,HAP1_chr22,HAP1_chr23,HAP1_chr24,HAP1_chr25,HAP1_chr26,HAP1_chr27,HAP1_chr28,HAP1_chr29,HAP1_chr30,HAP1_chr31,HAP1_chr32,HAP1_chr33,HAP1_chr34,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP2_chr18,HAP2_chr19,HAP2_chr20,HAP2_chr21,HAP2_chr22,HAP2_chr23,HAP2_chr24,HAP2_chr25,HAP2_chr26,HAP2_chr27,HAP2_chr28,HAP2_chr29,HAP2_chr30,HAP2_chr31,HAP2_chr32,HAP2_chr33,HAP2_chr34
HAP1_chr01,0.000000,0.046865,0.108653,0.119854,0.109380,0.108457,0.118860,0.109851,0.120877,0.103325,0.109575,0.109613,0.109898,0.121414,0.113398,0.120777,0.121389,0.109589,0.110572,0.110188,0.122327,0.120866,0.111200,0.123814,0.123182,0.110182,0.109928,0.110621,0.101824,0.109930,0.120574,0.124278,0.123117,0.124158,0.006104,0.050926,0.108125,0.119423,0.108890,0.108044,0.121788,0.109411,0.120358,0.103653,0.109559,0.109756,0.110015,0.121030,0.113565,0.122537,0.121536,0.110235,0.110431,0.110425,0.123457,0.122699,0.111264,0.123480,0.123134,0.110945,0.110952,0.111751,0.101785,0.110172,0.122111,0.122984,0.121689,0.123230
HAP1_chr02,0.046865,0.000000,0.118213,0.108160,0.119492,0.118683,0.108482,0.119792,0.109459,0.112013,0.120176,0.120371,0.119781,0.108375,0.102354,0.110330,0.108436,0.121221,0.121614,0.121602,0.110647,0.110373,0.122629,0.110994,0.109943,0.121335,0.101214,0.121551,0.109600,0.120421,0.109639,0.111375,0.109957,0.111261,0.046892,0.026533,0.117767,0.108336,0.119017,0.118122,0.109875,0.119618,0.109227,0.112107,0.120094,0.120227,0.120126,0.109282,0.103497,0.109914,0.108911,0.121752,0.121351,0.121174,0.110925,0.110029,0.122532,0.110621,0.110280,0.121643,0.101090,0.122496,0.109913,0.120286,0.109894,0.110300,0.109472,0.110628
HAP1_chr03,0.108653,0.118213,0.000000,0.102529,0.094545,0.105012,0.116370,0.106754,0.047383,0.106828,0.106336,0.106282,0.107141,0.118440,0.118834,0.117697,0.118037,0.106211,0.107236,0.106962,0.119348,0.117578,0.107880,0.120030,0.119466,0.107151,0.118256,0.108246,0.108310,0.107470,0.118574,0.120597,0.120559,0.120728,0.107976,0.118438,0.008828,0.102192,0.094589,0.104363,0.118526,0.106133,0.047298,0.106985,0.106587,0.106384,0.107246,0.118353,0.118105,0.119413,0.118216,0.106439,0.107442,0.106911,0.119513,0.119446,0.108437,0.118717,0.119257,0.106942,0.119894,0.109073,0.108412,0.107195,0.120243,0.119077,0.119762,0.119852
HAP1_chr04,0.119854,0.108160,0.102529,0.000000,0.048259,0.116288,0.106358,0.118109,0.095127,0.119077,0.118147,0.118437,0.118438,0.106836,0.107411,0.108015,0.106980,0.119338,0.119522,0.119179,0.108616,0.106939,0.120158,0.108624,0.108581,0.118655,0.106396,0.120231,0.119003,0.119651,0.108358,0.109241,0.108787,0.109735,0.119935,0.110175,0.102082,0.014965,0.048386,0.116100,0.107853,0.118177,0.094863,0.119104,0.117974,0.118499,0.118321,0.107675,0.107926,0.109270,0.106840,0.119679,0.118924,0.118931,0.109027,0.107757,0.120332,0.108638,0.108225,0.118789,0.109104,0.120194,0.119561,0.119898,0.109275,0.107277,0.108167,0.108494
HAP1_chr05,0.109380,0.119492,0.094545,0.048259,0.000000,0.105625,0.117300,0.107280,0.103562,0.107735,0.107186,0.107236,0.107631,0.118998,0.119494,0.118401,0.119584,0.105931,0.108299,0.107529,0.120504,0.118590,0.108145,0.120801,0.119953,0.107072,0.118233,0.108509,0.108759,0.107674,0.119028,0.122030,0.120364,0.120652,0.109109,0.120408,0.094336,0.048756,0.007688,0.105182,0.119256,0.107150,0.103734,0.107795,0.107178,0.106680,0.107847,0.118926,0.119774,0.120327,0.119999,0.106493,0.108029,0.107181,0.120825,0.119943,0.109073,0.119894,0.120544,0.107456,0.120212,0.109495,0.108768,0.106910,0.120475,0.120219,0.120160,0.120257
HAP1_chr06,0.108457,0.118683,0.105012,0.116288,0.105625,0.000000,0.115710,0.106398,0.117554,0.107438,0.106015,0.105973,0.093963,0.051111,0.118202,0.116905,0.102932,0.104399,0.106582,0.105342,0.119409,0.115612,0.106581,0.119068,0.118144,0.104705,0.118468,0.106181,0.107294,0.104611,0.115929,0.120611,0.119573,0.118154,0.107749,0.118615,0.104292,0.115980,0.105308,0.006213,0.117614,0.105417,0.117545,0.107220,0.106127,0.105518,0.094268,0.053522,0.117683,0.118477,0.103160,0.104775,0.106120,0.106261,0.119634,0.117412,0.107326,0.119190,0.118050,0.105163,0.119921,0.107438,0.107615,0.103259,0.117673,0.119230,0.119189,0.117196
HAP1_chr07,0.118860,0.108482,0.116370,0.106358,0.117300,0.115710,0.000000,0.049452,0.108682,0.117779,0.117996,0.103950,0.117675,0.106812,0.107649,0.094477,0.107892,0.119063,0.119115,0.118503,0.109218,0.104961,0.119929,0.110318,0.108501,0.118521,0.106694,0.119428,0.118864,0.118894,0.106273,0.110363,0.109594,0.109657,0.118555,0.110201,0.115772,0.107334,0.117454,0.115355,0.019288,0.049272,0.108257,0.117607,0.117522,0.103804,0.117854,0.106782,0.106462,0.097431,0.108633,0.119387,0.118794,0.118384,0.110172,0.109122,0.119576,0.109796,0.108704,0.118750,0.109997,0.119643,0.119230,0.118677,0.109994,0.106521,0.109199,0.109056
HAP1_chr08,0.109851,0.119792,0.106754,0.118109,0.107280,0.106398,0.049452,0.000000,0.118784,0.107794,0.107640,0.096249,0.107345,0.118862,0.119326,0.103796,0.119965,0.107077,0.108486,0.107465,0.120470,0.118064,0.108972,0.120830,0.119582,0.108022,0.119084,0.107959,0.107856,0.107929,0.119068,0.121480,0.120128,0.121188,0.109354,0.120158,0.105974,0.117946,0.106995,0.105810,0.049095,0.010291,0.119010,0.108148,0.107941,0.095900,0.107517,0.117634,0.119598,0.104616,0.119523,0.107546,0.108192,0.107866,0.120643,0.120306,0.109208,0.120417,0.119929,0.108247,0.119518,0.109368,0.108628,0.106963,0.120834,0.119875,0.119004,0.120105
HAP1_chr09,0.120877,0.109459,0.047383,0.095127,0.103562,0.117554,0.108682,0.118784,0.000000,0.120631,0.119635,0.119341,0.119734,0.107820,0.108720,0.109922,0.108732,0.121695,0.121015,0.120671,0.109292,0.109639,0.121853,0.110009,0.109261,0.120284,0.110413,0.121506,0.120731,0.122165,0.110696,0.110774,0.110471,0.110296,0.120558,0.111100,0.047528,0.095542,0.103852,0.117456,0.109727,0.118795,0.014937,0.120548,0.119867,0.119000,0.120110,0.109221,0.109623,0.110006,0.109072,0.121811,0.120649,0.120217,0.110414,0.109376,0.122236,0.110398,0.109337,0.120072,0.110788,0.121780,0.121283,0.121705,0.111347,0.109685,0.109917,0.109414
HAP1_chr10,0.103325,0.112013,0.106828,0.119077,0.107735,0.107438,0.117779,0.107794,0.120631,0.000000,0.103657,0.107973,0.107815,0.121294,0.048614,0.120259,0.121051,0.107879,0.108724,0.107277,0.115201,0.119595,0.108489,0.122515,0.121205,0.107134,0.121095,0.108739,0.108518,0.107746,0.120169,0.121606,0.122442,0.121616,0.102916,0.109713,0.106797,0.119405,0.107195,0.106980,0.120676,0.107788,0.119971,0.008142,0.104034,0.108394,0.108410,0.117899,0.048880,0.121463,0.121284,0.107896,0.108862,0.107714,0.114980,0.121098,0.108903,0.122266,0.120964,0.107667,0.122345,0.110076,0.108880,0.107197,0.121894,0.120816,0.121612,0.121318
HAP1_chr11,0.109575,0.120176,0.106336,0.118147,0.107186,0.106015,0.117996,0.107640,0.119635,0.103657,0.000000,0.106972,0.108035,0.119645,0.114003,0.119309,0.120365,0.105920,0.107765,0.106747,0.049117,0.118360,0.108087,0.120487,0.120395,0.105812,0.119479,0.107809,0.108496,0.098689,0.108119,0.120772,0.120907,0.120960,0.109254,0.120534,0.106363,0.118572,0.106914,0.105771,0.119454,0.106893,0.119202,0.103712,0.006981,0.106807,0.108018,0.118305,0.113805,0.120359,0.120419,0.105924,0.107509,0.107452,0.049410,0.120243,0.108495,0.120207,0.120395,0.106357,0.120436,0.108704,0.108348,0.100994,0.109150,0.120360,0.120231,0.120381
HAP1_chr12,0.109613,0.120371,0.106282,0.118437,0.107236,0.105973,0.103950,0.096249,0.119341,0.107973,0.106972,0.000000,0.107227,0.119457,0.120090,0.049628,0.120083,0.106007,0.107226,0.106451,0.119794,0.118209,0.106979,0.121495,0.119808,0.107659,0.120127,0.107254,0.108047,0.107505,0.118441,0.121255,0.120512,0.121392,0.109346,0.119855,0.106069,0.117930,0.107061,0.105525,0.104991,0.095866,0.118818,0.108530,0.106958,0.007495,0.107381,0.114291,0.119609,0.049690,0.120477,0.107519,0.106687,0.105946,0.119871,0.120723,0.107516,0.120896,0.119889,0.107411,0.120577,0.109021,0.108213,0.105954,0.120390,0.119613,0.119742,0.120688
HAP1_chr13,0.109898,0.119781,0.107141,0.118438,0.107631,0.093963,0.117675,0.107345,0.119734,0.107815,0.108035,0.107227,0.000000,0.103396,0.119163,0.117782,0.049494,0.105118,0.108486,0.107149,0.120526,0.115675,0.108255,0.120924,0.119855,0.106919,0.119451,0.107373,0.109040,0.106899,0.117234,0.121630,0.120753,0.121222,0.109143,0.119878,0.107220,0.117898,0.107446,0.093631,0.119520,0.107241,0.119780,0.107870,0.108031,0.106929,0.003825,0.104221,0.119010,0.119943,0.049407,0.105185,0.108248,0.107290,0.120359,0.117476,0.108654,0.120248,0.119852,0.107376,0.121019,0.108314,0.108800,0.105142,0.118754,0.120085,0.119766,0.119939
HAP1_chr14,0.121414,0.108375,0.118440,0.106836,0.118998,0.051111,0.106812,0.118862,0.107820,0.121294,0.119645,0.119457,0.103396,0.000000,0.107063,0.108203,0.093924,0.119358,0.120678,0.119922,0.108544,0.106902,0.120500,0.108785,0.106586,0.118806,0.107950,0.120459,0.120638,0.119712,0.106770,0.109633,0.107812,0.107015,0.121244,0.110408,0.117802,0.106622,0.119046,0.051120,0.107223,0.118850,0.108276,0.120834,0.119674,0.119204,0.103341,0.017913,0.108101,0.107858,0.093982,0.119284,0.120704,0.120210,0.108901,0.106608,0.120879,0.108626,0.107356,0.118635,0.108822,0.120613,0.120907,0.118877,0.107242,0.108577,0.107768,0.106021
HAP1_chr15,0.113398,0.102354,0.118834,0.107411,0.119494,0.118202,0.107649,0.119326,0.108720,0.048614,0.114003,0.120090,0.119163,0.107063,0.000000,0.108790,0.109499,0.120793,0.121072,0.120295,0.104833,0.108651,0.120317,0.110144,0.108703,0.119810,0.109004,0.120889,0.120484,0.121174,0.108934,0.110492,0.109406,0.109784,0.113254,0.101745,0.118071,0.108422,0.119628,0.117791,0.109534,0.119516,0.108919,0.048761,0.113993,0.119765,0.119052,0.106581,0.021399,0.109603,0.109659,0.120725,0.120808,0.119990,0.105091,0.108957,0.120484,0.109952,0.108570,0.119978,0.109979,0.121306,0.121196,0.120120,0.109859,0.108086,0.110083,0.108449
HAP1_chr16,0.120777,0.110330,0.117697,0.108015,0.118401,0.116905,0.094477,0.103796,0.109922,0.120259,0.119309,0.049628,0.117782,0.108203,0.108790,0.000000,0.108715,0.119047,0.119603,0.119136,0.110091,0.105782,0.119586,0.110769,0.108615,0.119373,0.107665,0.119692,0.119156,0.119139,0.106082,0.111326,0.109880,0.110572,0.120246,0.111917,0.116948,0.108992,0.118124,0.116472,0.097827,0.103884,0.109890,0.120015,0.119307,0.049562,0.118029,0.104312,0.108261,0.020157,0.109330,0.119015,0.119805,0.118877,0.110577,0.109588,0.119387,0.110313,0.109045,0.119154,0.110266,0.119490,0.119645,0.118742,0.110305,0.107234,0.109056,0.108786
HAP1_chr17,0.121389,0.108436,0.118037,0.106980,0.119584,0.102932,0.107892,0.119965,0.108732,0.121051,0.120365,0.120083,0.049494,0.093924,0.109499,0.108715,0.000000,0.117772,0.120845,0.120205,0.110237,0.106405,0.121396,0.108966,0.108589,0.119915,0.109277,0.119832,0.120410,0.118469,0.107452,0.109590,0.108161,0.109144,0.121076,0.111087,0.118038,0.106807,0.119624,0.102620,0.108347,0.119544,0.108118,0.120878,0.120527,0.120215,0.049522,0.095424,0.109789,0.108956,0.009698,0.117783,0.120522,0.120458,0.109837,0.106109,0.121467,0.108761,0.108000,0.120228,0.109007,0.119789,0.120741,0.117925,0.107315,0.109517,0.107264,0.107912
HAP1_chr18,0.109589,0.121221,0.106211,0.119338,0.105931,0.104399,0.119063,0.107077,0.121695,0.107879,0.105920,0.106007,0.105118,0.119358,0.120793,0.119047,0.117772,0.000000,0.106934,0.105810,0.120968,0.051113,0.106310,0.121218,0.120467,0.104579,0.120070,0.098540,0.107928,0.105340,0.118397,0.121228,0.109745,0.118768,0.109269,0.122176,0.106159,0.118414,0.106147,0.104129,0.120573,0.106322,0.120927,0.107759,0.105990,0.106225,0.105145,0.120052,0.120741,0.120282,0.118189,0.005524,0.106480,0.105890,0.120771,0.051532,0.106735,0.120642,0.120139,0.104488,0.120745,0.099364,0.108004,0.103414,0.119739,0.120262,0.109137,0.117405
HAP1_chr19,0.110572,0.121614,0.107236,0.119522,0.108299,0.106582,0.119115,0.108486,0.121015,0.108724,0.107765,0.107226,0.108486,0.120678,0.121072,0.119603,0.120845,0.106934,0.000000,0.096106,0.120479,0.118639,0.108780,0.049879,0.105005,0.106937,0.120041,0.108181,0.108251,0.107642,0.120083,0.121864,0.121200,0.122220,0.110168,0.121792,0.107365,0.119882,0.107654,0.106270,0.121083,0.107711,0.120689,0.109032,0.107056,0.107135,0.108286,0.120086,0.120793,0.120780,0.120901,0.107156,0.008953,0.096155,0.120806,0.120019,0.108750,0.049736,0.104908,0.107280,0.121657,0.108932,0.108505,0.106494,0.121278,0.120693,0.120878,0.121128
HAP1_chr20,0.110188,0.121602,0.106962,0.119179,0.107529,0.105342,0.118503,0.107465,0.120671,0.107277,0.106747,0.106451,0.107149,0.119922,0.120295,0.119136,0.120205,0.105810,0.096106,0.000000,0.120841,0.119129,0.107737,0.105310,0.049400,0.107236,0.119838,0.107584,0.107989,0.106669,0.119109,0.121092,0.120679,0.121288,0.109671,0.121481,0.106730,0.119206,0.107448,0.105122,0.120737,0.107544,0.120554,0.107421,0.107278,0.106450,0.107497,0.119599,0.119829,0.120966,0.120365,0.106291,0.095694,0.008630,0.121671,0.120697,0.108038,0.105078,0.049497,0.107611,0.121117,0.108519,0.107740,0.105003,0.121456,0.119855,0.119778,0.120842
HAP1_chr21,0.122327,0.110647,0.119348,0.108616,0.120504,0.119409,0.109218,0.120470,0.109292,0.115201,0.049117,0.119794,0.120526,0.108544,0.104833,0.110091,0.110237,0.120968,0.120479,0.120841,0.000000,0.109951,0.121089,0.110444,0.109933,0.120025,0.109616,0.121918,0.120531,0.109555,0.101345,0.110857,0.109337,0.109745,0.122438,0.112476,0.118405,0.108741,0.120069,0.119430,0.109991,0.120405,0.109886,0.115275,0.048928,0.120170,0.120668,0.108797,0.105512,0.110124,0.109997,0.121140,0.120780,0.121054,0.014185,0.110279,0.120945,0.109924,0.109791,0.119828,0.109273,0.122289,0.120861,0.113480,0.100901,0.110771,0.109051,0.109746
HAP1_chr22,0.120866,0.110373,0.117578,0.106939,0.118590,0.115612,0.104961,0.118064,0.109639,0.119595,0.118360,0.118209,0.115675,0.106902,0.108651,0.105782,0.106405,0.051113,0.118639,0.119129,0.109951,0.000000,0.119835,0.109789,0.108243,0.116052,0.106101,0.108490,0.119017,0.117975,0.103842,0.109742,0.099454,0.107966,0.120897,0.112278,0.117041,0.107827,0.118143,0.115641,0.109880,0.118333,0.109811,0.119558,0.118047,0.118126,0.115618,0.108656,0.106701,0.109812,0.106867,0.050966,0.118560,0.118961,0.110267,0.020421,0.119442,0.109106,0.108179,0.116562,0.110224,0.108519,0.119451,0.116634,0.108646,0.106100,0.099081,0.106049
HAP1_chr23,0.111200,0.122629,0.107880,0.120158,0.108145,0.106581,0.119929,0.108972,0.121853,0.108489,0.108087,0.106979,0.108255,0.120500,0.120317,0.119586,0.121396,0.106310,0.108780,0.107737,0.121089,0.119835,0.000000,0.121777,0.121381,0.100296,0.120592,0.102976,0.108261,0.107960,0.120056,0.050057,0.114694,0.111160,0.110749,0.123215,0.107386,0.119706,0.108099,0.106136,0.121387,0.108024,0.121821,0.108683,0.107777,0.107140,0.108545,0.120644,0.121133,0.121081,0.121376,0.107141,0.108080,0.107729,0.120961,0.120836,0.005268,0.121144,0.121292,0.100262,0.122032,0.104440,0.108494,0.106444,0.121322,0.049724,0.113907,0.111180
HAP1_chr24,0.123814,0.110994,0.120030,0.108624,0.120801,0.119068,0.110318,0.120830,0.110009,0.122515,0.120487,0.121495,0.120924,0.108785,0.110144,0.110769,0.108966,0.121218,0.049879,0.105310,0.110444,0.109789,0.121777,0.000000,0.097194,0.120923,0.111248,0.121778,0.121285,0.121204,0.110837,0.110889,0.109315,0.110192,0.123270,0.113192,0.119391,0.109408,0.120786,0.118900,0.109747,0.120597,0.109997,0.122564,0.120049,0.121343,0.121027,0.109514,0.111440,0.110436,0.109099,0.121554,0.050218,0.105297,0.110577,0.107940,0.121792,0.014974,0.096620,0.120779,0.110021,0.121877,0.121796,0.120207,0.109769,0.110028,0.108495,0.109144
HAP1_chr25,0.123182,0.109943,0.119466,0.108581,0.119953,0.118144,0.108501,0.119582,0.109261,0.121205,0.120395,0.119808,0.119855,0.106586,0.108703,0.108615,0.108589,0.120467,0.105005,0.049400,0.109933,0.108243,0.121381,0.097194,0.000000,0.119987,0.109076,0.121087,0.120492,0.121001,0.109277,0.110488,0.109286,0.109538,0.122854,0.112304,0.118914,0.108512,0.120331,0.118182,0.110452,0.119410,0.109558,0.120935,0.119968,0.120027,0.119905,0.108863,0.109443,0.109843,0.108513,0.120372,0.104958,0.049382,0.110451,0.109170,0.121599,0.096601,0.015734,0.119994,0.110141,0.121454,0.121081,0.120016,0.109324,0.109029,0.109273,0.108482
HAP1_chr26,0.110182,0.121335,0.107151,0.118655,0.107072,0.104705,0.118521,0.108022,0.120284,0.107134,0.105812,0.107659,0.106919,0.118806,0.119810,0.119373,0.119915,0.104579,0.106937,0.107236,0.120025,0.116052,0.100296,0.120923,0.119987,0.000000,0.119086,0.106904,0.107011,0.105521,0.118570,0.110777,0.120463,0.049462,0.110003,0.121847,0.106936,0.118518,0.106696,0.104634,0.120910,0.107596,0.120164,0.107231,0.105929,0.107432,0.107341,0.119351,0.119397,0.120493,0.119739,0.104552,0.106684,0.107335,0.120709,0.117783,0.100409,0.120311,0.119333,0.008663,0.120571,0.108537,0.107399,0.104027,0.120138,0.110166,0.119766,0.049697
HAP1_chr27,0.109928,0.101214,0.118256,0.106396,0.118233,0.118468,0.106694,0.119084,0.110413,0.121095,0.119479,0.120127,0.119451,0.107950,0.109004,0.107665,0.109277,0.120070,0.120041,0.119838,0.109616,0.106101,0.120592,0.111248,0.109076,0.119086,0.000000,0.120623,0.048962,0.119611,0.106994,0.111403,0.109826,0.109849,0.109595,0.102637,0.117774,0.107577,0.117905,0.117931,0.110087,0.119354,0.110572,0.120722,0.119248,0.119963,0.119550,0.109735,0.107697,0.110269,0.109244,0.120057,0.119888,0.119751,0.110318,0.109485,0.120453,0.110090,0.108662,0.119422,0.021481,0.120864,0.049659,0.118116,0.110151,0.107398,0.110010,0.108266
HAP1_chr28,0.110621,0.121551,0.108246,0.120231,0.108509,0.106181,0.119428,0.107959,0.121506,0.108739,0.107809,0.107254,0.107373,0.120459,0.120889,0.119692,0.119832,0.098540,0.108181,0.107584,0.121918,0.108490,0.102976,0.121778,0.121087,0.106904,0.120623,0.000000,0.108266,0.106543,0.118820,0.115734,0.049570,0.121748,0.110433,0.122621,0.108071,0.119756,0.107878,0.105986,0.120971,0.107599,0.121731,0.109122,0.107709,0.107568,0.107694,0.120924,0.120694,0.121168,0.120101,0.098894,0.107964,0.107867,0.121559,0.109501,0.103437,0.121233,0.120748,0.107174,0.122274,0.010656,0.108372,0.104787,0.120443,0.114302,0.049384,0.120585
HAP1_chr29,0.101824,0.109600,0.108310,0.119003,0.108759,0.107294,0.118864,0.107856,0.120731,0.108518,0.108496,0.108047,0.109040,0.120638,0.120484,0.119156,0.120410,0.107928,0.108251,0.107989,0.120531,0.119017,0.108261,0.121285,0.120492,0.107011,0.048962,0.108266,0.000000,0.107530,0.119930,0.121384,0.121114,0.121016,0.101453,0.110230,0.108277,0.119280,0.108045,0.106988,0.120508,0.107778,0.120300,0.108963,0.108286,0.108260,0.109001,0.119819,0.120748,0.120650,0.120467,0.107765,0.108697,0.107834,0.120625,0.120767,0.108751,0.120871,0.120684,0.107508,0.049386,0.109095,0.009449,0.106165,0.121643,0.119799,0.120138,0.120547
HAP1_chr30,0.109930,0.120421,0.107470,0.119651,0.107674,0.104611,0.118894,0.107929,0.122165,0.107746,0.098689,0.107505,0.106899,0.119712,0.121174,0.119139,0.118469,0.105340,0.107642,0.106669,0.109555,0.117975,0.107960,0.121204,0.121001,0.105521,0.119611,0.106543,0.107530,0.000000,0.050257,0.121820,0.121287,0.121176,0.109228,0.120979,0.107399,0.119610,0.107078,0.104107,0.120838,0.107775,0.121880,0.108261,0.099102,0.106898,0.106858,0.117674,0.120188,0.120473,0.119128,0.105328,0.107947,0.107100,0.109634,0.119776,0.107839,0.120470,0.120627,0.105820,0.121413,0.107566,0.107530,0.011799,0.050143,0.120855,0.120226,0.120195
HAP1_chr31,0.120574,0.109639,0.118574,0.108358,0.119028,0.115929,0.106273,0.119068,0.110696,0.120169,0.108119,0.118441,0.117234,0.106770,0.108934,0.106082,0.107452,0.118397,0.120083,0.119109,0.101345,0.103842,0.120056,0.110837,0.109277,0.118570,0.106994,0.118820,0.119930,0.050257,0.000000,0.110592,0.108611,0.110393,0.120569,0.111530,0.118056,0.109381,0.118812,0.115899,0.110484,0.119009,0.110513,0.119834,0.108239,0.118437,0.117344,0.106727,0.107025,0.110448,0.107971,0.118348,0.119917,0.119283,0.101133,0.108327,0.119932,0.110591,0.109381,0.118595,0.110718,0.119375,0.119924,0.058208,0.020905,0.107660,0.108568,0.107787
HAP1_chr32,0.124278,0.111375,0.120597,0.109241,0.122030,0.120611,0.110363,0.121480,0.110774,0.121606,0.120772,0.121255,0.121630,0.109633,0.110492,0.111326,0.109590,0.121228,0.121864,0.121092,0.110857,0.109742,0.050057,0.110889,0.110488,0.110777,0.111403,0.115734,0.121384,0.121820,0.110592,0.000000,0.103806,0.101681,0.124475,0.114734,0.119950,0.109120,0.121816,0.120637,0.110993,0.121663,0.110239,0.121504,0.120635,0.121547,0.121805,0.109654,0.112000,0.110968,0.109791,0.121301,0.121569,0.121197,0.109888,0.108786,0.049818,0.110452,0.110728,0.110940,0.111225,0.115397,0.121521,0.121150,0.109843,0.019091,0.103657,0.101231
