,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP1_chr19,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP2_chr18,HAP2_chr19,HAP3_chr01,HAP3_chr02,HAP3_chr03,HAP3_chr04,HAP3_chr05,HAP3_chr06,HAP3_chr07,HAP3_chr08,HAP3_chr09,HAP3_chr10,HAP3_chr11,HAP3_chr12,HAP3_chr13,HAP3_chr14,HAP3_chr15,HAP3_chr16,HAP3_chr17,HAP3_chr18,HAP3_chr19,HAP4_chr01,HAP4_chr02,HAP4_chr03,HAP4_chr04,HAP4_chr05,HAP4_chr06,HAP4_chr07,HAP4_chr08,HAP4_chr09,HAP4_chr10,HAP4_chr11,HAP4_chr12,HAP4_chr13,HAP4_chr14,HAP4_chr15,HAP4_chr16,HAP4_chr17,HAP4_chr18,HAP4_chr19
HAP1_chr01,0.000000,0.101389,0.101509,0.102781,0.102558,0.103839,0.100550,0.102053,0.103070,0.101967,0.102153,0.103329,0.104013,0.104144,0.104430,0.105612,0.102617,0.105251,0.107630,0.024948,0.101724,0.101819,0.102708,0.110718,0.104467,0.101266,0.102383,0.104077,0.103175,0.103802,0.103391,0.104055,0.103554,0.103272,0.105649,0.103522,0.104078,0.106608,0.024175,0.101521,0.100785,0.103210,0.102726,0.105090,0.101043,0.102229,0.105235,0.102812,0.101966,0.103153,0.105496,0.104134,0.104952,0.104704,0.104715,0.105879,0.107867,0.021641,0.102049,0.101296,0.103336,0.102134,0.104319,0.101113,0.103004,0.103358,0.103087,0.101814,0.103890,0.104420,0.104548,0.104910,0.105351,0.104128,0.107028,0.107511
HAP1_chr02,0.101389,0.000000,0.102676,0.103292,0.103085,0.104649,0.101209,0.103167,0.103610,0.102801,0.103206,0.103783,0.104233,0.104695,0.104955,0.105227,0.103055,0.105317,0.107399,0.102029,0.024417,0.102671,0.102729,0.110559,0.104705,0.101137,0.103722,0.104733,0.103908,0.104381,0.104002,0.104860,0.104504,0.104945,0.105898,0.103519,0.105218,0.106919,0.102090,0.023964,0.102183,0.103196,0.102801,0.105638,0.101739,0.103398,0.105304,0.103295,0.103248,0.103753,0.106343,0.104469,0.105136,0.104670,0.104743,0.105412,0.108499,0.101293,0.022209,0.102193,0.103419,0.102120,0.104862,0.101416,0.104097,0.104503,0.103449,0.102390,0.104738,0.105449,0.105046,0.105492,0.105840,0.104492,0.106982,0.107845
HAP1_chr03,0.101509,0.102676,0.000000,0.102650,0.101579,0.103103,0.099847,0.100788,0.101625,0.101087,0.100914,0.102328,0.102064,0.103432,0.102974,0.103372,0.100934,0.102545,0.105974,0.101974,0.102536,0.029619,0.101816,0.109005,0.103637,0.099793,0.101516,0.103259,0.101342,0.102243,0.101776,0.102371,0.102445,0.102582,0.103800,0.101135,0.102130,0.105529,0.101732,0.103281,0.030584,0.102992,0.101150,0.104230,0.100021,0.101197,0.103806,0.102092,0.101443,0.101621,0.104025,0.102550,0.103542,0.103427,0.102094,0.103931,0.106374,0.101476,0.103466,0.028729,0.102441,0.101311,0.103581,0.099844,0.101818,0.102045,0.102288,0.100367,0.101934,0.102877,0.102650,0.103304,0.103413,0.101549,0.104776,0.105845
HAP1_chr04,0.102781,0.103292,0.102650,0.000000,0.102463,0.104448,0.101634,0.102448,0.103386,0.101514,0.102391,0.103809,0.104120,0.103865,0.103434,0.104679,0.102029,0.104184,0.106699,0.103043,0.103801,0.102250,0.018233,0.109084,0.104585,0.101242,0.102908,0.103724,0.102979,0.103475,0.103295,0.103842,0.103867,0.102906,0.104706,0.101968,0.103521,0.105608,0.102641,0.104362,0.101991,0.025779,0.102447,0.105169,0.101579,0.103148,0.104386,0.102194,0.102469,0.103105,0.105289,0.103859,0.103714,0.103604,0.103592,0.105546,0.107041,0.103018,0.104562,0.101844,0.025065,0.102153,0.104649,0.101010,0.103168,0.103606,0.102383,0.101819,0.104446,0.104730,0.104372,0.103582,0.104478,0.103067,0.105635,0.106686
HAP1_chr05,0.102558,0.103085,0.101579,0.102463,0.000000,0.103709,0.099819,0.101545,0.102769,0.100889,0.101513,0.102930,0.102427,0.103174,0.103716,0.103461,0.101741,0.103993,0.105853,0.102393,0.102970,0.101476,0.102729,0.025562,0.104174,0.100018,0.101868,0.103457,0.102209,0.102274,0.102481,0.103197,0.102251,0.103115,0.103688,0.102009,0.102832,0.105755,0.102669,0.103743,0.100863,0.103582,0.024280,0.104360,0.100291,0.102181,0.103763,0.102187,0.101399,0.102278,0.104156,0.102135,0.103866,0.102551,0.102676,0.105181,0.106750,0.103140,0.104034,0.100982,0.102615,0.010720,0.103680,0.100283,0.103095,0.102958,0.102221,0.101073,0.102477,0.103540,0.103449,0.103772,0.103606,0.102875,0.105050,0.106471
HAP1_chr06,0.103839,0.104649,0.103103,0.104448,0.103709,0.000000,0.101997,0.102542,0.103389,0.101886,0.102849,0.103403,0.103777,0.104310,0.104153,0.104320,0.102124,0.103395,0.105469,0.103977,0.104532,0.103275,0.103777,0.109028,0.028517,0.101677,0.103335,0.103666,0.103215,0.103964,0.103275,0.104040,0.103606,0.103757,0.104612,0.102921,0.103888,0.105180,0.103949,0.104373,0.102485,0.104703,0.103624,0.028679,0.102196,0.103343,0.103990,0.102952,0.102992,0.102742,0.104397,0.104413,0.104405,0.104023,0.103803,0.104815,0.105985,0.103398,0.105634,0.102480,0.103794,0.103591,0.028904,0.102028,0.103314,0.103549,0.102618,0.102194,0.103402,0.104386,0.103760,0.103791,0.104768,0.103381,0.105069,0.105885
HAP1_chr07,0.100550,0.101209,0.099847,0.101634,0.099819,0.101997,0.000000,0.098944,0.099925,0.099340,0.099105,0.100597,0.100023,0.101043,0.101125,0.101591,0.098919,0.101497,0.103677,0.101263,0.101352,0.099899,0.101417,0.106876,0.101982,0.025528,0.099661,0.101079,0.100627,0.100061,0.099987,0.099761,0.100350,0.100742,0.101334,0.099355,0.100437,0.103773,0.101596,0.101223,0.098810,0.101310,0.099963,0.102689,0.026672,0.099849,0.101576,0.099781,0.098998,0.099688,0.101066,0.100902,0.101615,0.100278,0.100170,0.101622,0.104678,0.101196,0.102526,0.099150,0.100921,0.099812,0.101943,0.025403,0.100304,0.100677,0.099681,0.098309,0.100623,0.100356,0.101436,0.101400,0.101125,0.099538,0.102178,0.104058
HAP1_chr08,0.102053,0.103167,0.100788,0.102448,0.101545,0.102542,0.098944,0.000000,0.100940,0.099847,0.099714,0.101849,0.101425,0.101915,0.101634,0.102853,0.099936,0.102524,0.104371,0.102808,0.102846,0.100961,0.102891,0.107115,0.103263,0.099507,0.030059,0.102220,0.101575,0.101242,0.101965,0.101835,0.101197,0.101586,0.102281,0.100014,0.101648,0.104354,0.102054,0.103002,0.100311,0.102897,0.101404,0.103401,0.099923,0.029911,0.102681,0.101636,0.099955,0.100867,0.102294,0.102142,0.102354,0.101634,0.101019,0.103422,0.105673,0.102339,0.103620,0.100615,0.102299,0.101380,0.102951,0.099353,0.028284,0.101668,0.100694,0.100047,0.101985,0.102640,0.102160,0.102839,0.102561,0.101282,0.102932,0.105149
HAP1_chr09,0.103070,0.103610,0.101625,0.103386,0.102769,0.103389,0.099925,0.100940,0.000000,0.100953,0.100086,0.101877,0.102044,0.102322,0.101854,0.102223,0.099896,0.102126,0.104374,0.102639,0.103379,0.101906,0.103027,0.107601,0.103504,0.100089,0.101527,0.021220,0.102333,0.101730,0.101720,0.103121,0.101725,0.101440,0.102570,0.100307,0.101935,0.103956,0.102830,0.103577,0.101248,0.103626,0.102514,0.103549,0.100007,0.101492,0.029891,0.101738,0.101054,0.101620,0.102876,0.101969,0.102442,0.101560,0.101264,0.103025,0.104750,0.102478,0.103934,0.101322,0.103971,0.102187,0.102928,0.100094,0.101846,0.030285,0.101160,0.100113,0.101953,0.102810,0.102740,0.102248,0.102248,0.101315,0.103605,0.104077
HAP1_chr10,0.101967,0.102801,0.101087,0.101514,0.100889,0.101886,0.099340,0.099847,0.100953,0.000000,0.100553,0.101276,0.100868,0.101597,0.101231,0.102426,0.099993,0.102024,0.103762,0.102032,0.103442,0.100483,0.101162,0.106304,0.102726,0.099560,0.100261,0.101358,0.026897,0.101426,0.101247,0.100366,0.101762,0.100352,0.101970,0.100287,0.101817,0.103744,0.102175,0.102828,0.100082,0.101889,0.100866,0.103001,0.099693,0.100194,0.101946,0.028181,0.100355,0.100629,0.101848,0.101602,0.101812,0.101276,0.101730,0.102647,0.104305,0.101334,0.103236,0.100100,0.102384,0.100404,0.102254,0.099188,0.100938,0.101329,0.029156,0.100140,0.101278,0.101695,0.101933,0.101379,0.102170,0.100824,0.103435,0.104366
