,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP1_chr19,HAP1_chr20,HAP1_chr21,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP2_chr18,HAP2_chr19,HAP2_chr20,HAP2_chr21
HAP1_chr01,0.000000,0.060564,0.135471,0.131640,0.130952,0.134818,0.064883,0.133978,0.130659,0.132464,0.131371,0.136511,0.136628,0.138753,0.137649,0.136605,0.135178,0.135807,0.141501,0.132491,0.134443,0.008518,0.060751,0.135474,0.130623,0.131489,0.135030,0.064966,0.138546,0.130416,0.131645,0.130966,0.136296,0.146048,0.137619,0.138069,0.137499,0.133544,0.134697,0.139723,0.132426,0.134634
HAP1_chr02,0.060564,0.000000,0.132924,0.136160,0.134877,0.132794,0.066293,0.131798,0.135002,0.137733,0.136660,0.133628,0.133955,0.135890,0.135378,0.135583,0.131745,0.133675,0.138365,0.138071,0.138739,0.060345,0.009368,0.132723,0.135516,0.136060,0.132473,0.066273,0.134908,0.135077,0.136525,0.136068,0.134198,0.143312,0.134593,0.134614,0.135366,0.131257,0.131818,0.137255,0.138164,0.139587
HAP1_chr03,0.135471,0.132924,0.000000,0.135717,0.134603,0.132062,0.134559,0.131163,0.060586,0.137065,0.134914,0.132983,0.067733,0.135221,0.133651,0.132400,0.131321,0.131263,0.137556,0.137358,0.137856,0.135081,0.133012,0.010364,0.135110,0.135039,0.131908,0.132496,0.133428,0.060709,0.136269,0.134509,0.132475,0.075701,0.133619,0.134635,0.133353,0.130644,0.129436,0.136616,0.136292,0.137728
HAP1_chr04,0.131640,0.136160,0.135717,0.000000,0.137089,0.067825,0.136861,0.060436,0.130268,0.132464,0.131487,0.137198,0.135084,0.138256,0.135069,0.135331,0.134863,0.135415,0.139840,0.132602,0.133580,0.130795,0.135868,0.135818,0.008928,0.137936,0.067359,0.136223,0.060098,0.129899,0.132338,0.131379,0.137332,0.143140,0.137782,0.136062,0.135978,0.133625,0.133667,0.138498,0.133287,0.133603
HAP1_chr05,0.130952,0.134877,0.134603,0.137089,0.000000,0.134172,0.135542,0.133484,0.136463,0.138779,0.060736,0.135709,0.134161,0.137662,0.136723,0.135329,0.133444,0.134428,0.067871,0.137756,0.139118,0.130213,0.134906,0.134073,0.137042,0.008049,0.134444,0.134943,0.137133,0.136790,0.138419,0.060721,0.135918,0.142688,0.136133,0.136659,0.135721,0.132815,0.132749,0.067793,0.138013,0.139614
HAP1_chr06,0.134818,0.132794,0.132062,0.067825,0.134172,0.000000,0.132194,0.068658,0.133652,0.136001,0.134522,0.130740,0.130612,0.135155,0.132749,0.131513,0.128724,0.131967,0.135506,0.135383,0.136796,0.133910,0.132876,0.132037,0.067670,0.134957,0.008672,0.131157,0.068578,0.133464,0.135488,0.134869,0.130919,0.139185,0.134374,0.133580,0.131675,0.128315,0.130487,0.134148,0.135793,0.136894
HAP1_chr07,0.064883,0.066293,0.134559,0.136861,0.135542,0.132194,0.000000,0.132524,0.136761,0.137583,0.137008,0.134430,0.132663,0.137217,0.135151,0.133414,0.131793,0.134708,0.137515,0.136886,0.138144,0.064531,0.066526,0.133902,0.137138,0.136170,0.132372,0.010635,0.134890,0.136919,0.137336,0.136359,0.134258,0.140328,0.136350,0.135192,0.133162,0.130560,0.133533,0.135733,0.139024,0.138520
HAP1_chr08,0.133978,0.131798,0.131163,0.060436,0.133484,0.068658,0.132524,0.000000,0.133038,0.136086,0.135083,0.132918,0.131331,0.134677,0.133060,0.132030,0.130827,0.132479,0.137351,0.134860,0.136583,0.132523,0.132396,0.130938,0.060194,0.134310,0.068337,0.131259,0.009374,0.132975,0.134763,0.134232,0.133301,0.141135,0.133178,0.133545,0.132467,0.130602,0.129553,0.135450,0.134726,0.136718
HAP1_chr09,0.130659,0.135002,0.060586,0.130268,0.136463,0.133652,0.136761,0.133038,0.000000,0.131862,0.129993,0.134844,0.067156,0.137241,0.135864,0.133622,0.132079,0.134062,0.140240,0.131554,0.131862,0.129517,0.136146,0.060913,0.129832,0.137664,0.133879,0.135697,0.136397,0.009237,0.131195,0.129047,0.134809,0.075489,0.135950,0.135987,0.134255,0.131831,0.132288,0.138374,0.131281,0.132322
HAP1_chr10,0.132464,0.137733,0.137065,0.132464,0.138779,0.136001,0.137583,0.136086,0.131862,0.000000,0.132387,0.065044,0.136711,0.057250,0.138032,0.137034,0.135553,0.136808,0.141516,0.133550,0.133861,0.131168,0.137559,0.136774,0.132273,0.139526,0.136001,0.136235,0.138512,0.131919,0.007941,0.132552,0.064968,0.144498,0.057223,0.138156,0.137534,0.135197,0.135824,0.139988,0.133677,0.134305
HAP1_chr11,0.131371,0.136660,0.134914,0.131487,0.060736,0.134522,0.137008,0.135083,0.129993,0.132387,0.000000,0.136538,0.135551,0.138422,0.137030,0.136192,0.134181,0.135217,0.066703,0.132365,0.133026,0.130388,0.136087,0.134697,0.131711,0.060779,0.134076,0.136081,0.137913,0.129311,0.131857,0.008971,0.136803,0.144505,0.137070,0.136982,0.136163,0.133018,0.133595,0.066532,0.132644,0.132905
HAP1_chr12,0.136511,0.133628,0.132983,0.137198,0.135709,0.130740,0.134430,0.132918,0.134844,0.065044,0.136538,0.000000,0.132811,0.066293,0.135278,0.132903,0.131048,0.133213,0.136953,0.137506,0.138355,0.135490,0.133896,0.133226,0.137069,0.136394,0.130207,0.132051,0.135226,0.135314,0.065034,0.136955,0.010126,0.141501,0.066268,0.134766,0.133004,0.130078,0.131498,0.135944,0.137639,0.138514
HAP1_chr13,0.136628,0.133955,0.067733,0.135084,0.134161,0.130612,0.132663,0.131331,0.067156,0.136711,0.135551,0.132811,0.000000,0.136262,0.133708,0.132165,0.129205,0.131813,0.134972,0.137148,0.136794,0.134820,0.133838,0.067924,0.134609,0.134832,0.130544,0.131315,0.133425,0.066955,0.136146,0.136020,0.132835,0.020756,0.134358,0.134023,0.132551,0.128316,0.130081,0.133423,0.137028,0.136798
HAP1_chr14,0.138753,0.135890,0.135221,0.138256,0.137662,0.135155,0.137217,0.134677,0.137241,0.057250,0.138422,0.066293,0.136262,0.000000,0.137034,0.135648,0.134302,0.135970,0.140284,0.138915,0.140208,0.137153,0.136573,0.135055,0.138564,0.137728,0.135819,0.135276,0.137446,0.137186,0.057306,0.137902,0.066258,0.143680,0.008820,0.137060,0.136828,0.133865,0.134196,0.139057,0.138394,0.139932
HAP1_chr15,0.137649,0.135378,0.133651,0.135069,0.136723,0.132749,0.135151,0.133060,0.135864,0.138032,0.137030,0.135278,0.133708,0.137034,0.000000,0.067295,0.131949,0.133469,0.137378,0.057735,0.136696,0.136250,0.134765,0.132672,0.136180,0.136937,0.133265,0.133562,0.133901,0.136023,0.137746,0.137230,0.134879,0.138976,0.136598,0.008571,0.067017,0.130696,0.132342,0.136790,0.057921,0.136590
HAP1_chr16,0.136605,0.135583,0.132400,0.135331,0.135329,0.131513,0.133414,0.132030,0.133622,0.137034,0.136192,0.132903,0.132165,0.135648,0.067295,0.000000,0.129605,0.131960,0.136001,0.066050,0.135796,0.136146,0.135905,0.132184,0.135342,0.135506,0.131581,0.131954,0.134239,0.133803,0.136018,0.135387,0.131926,0.139173,0.134515,0.067221,0.009296,0.128859,0.130185,0.134504,0.066160,0.136146
HAP1_chr17,0.135178,0.131745,0.131321,0.134863,0.133444,0.128724,0.131793,0.130827,0.132079,0.135553,0.134181,0.131048,0.129205,0.134302,0.131949,0.129605,0.000000,0.068466,0.134352,0.134588,0.067389,0.134110,0.131631,0.130677,0.133760,0.133267,0.128189,0.130197,0.131959,0.133193,0.134321,0.133560,0.131256,0.134305,0.133254,0.131941,0.129615,0.009049,0.068056,0.133960,0.134763,0.068600
HAP1_chr18,0.135807,0.133675,0.131263,0.135415,0.134428,0.131967,0.134708,0.132479,0.134062,0.136808,0.135217,0.133213,0.131813,0.135970,0.133469,0.131960,0.068466,0.000000,0.138112,0.135772,0.061032,0.135111,0.133649,0.130197,0.134959,0.134728,0.131906,0.133740,0.135089,0.134215,0.135840,0.134561,0.132937,0.139173,0.135346,0.134083,0.132979,0.068533,0.009049,0.137179,0.135690,0.062018
HAP1_chr19,0.141501,0.138365,0.137556,0.139840,0.067871,0.135506,0.137515,0.137351,0.140240,0.141516,0.066703,0.136953,0.134972,0.140284,0.137378,0.136001,0.134352,0.138112,0.000000,0.140795,0.141475,0.140569,0.137772,0.135365,0.139536,0.067901,0.134618,0.135940,0.138258,0.139948,0.140848,0.066885,0.136942,0.141804,0.140289,0.137759,0.136017,0.133916,0.136910,0.008955,0.141561,0.141071
HAP1_chr20,0.132491,0.138071,0.137358,0.132602,0.137756,0.135383,0.136886,0.134860,0.131554,0.133550,0.132365,0.137506,0.137148,0.138915,0.057735,0.066050,0.134588,0.135772,0.140795,0.000000,0.132491,0.131895,0.138524,0.135897,0.132523,0.138244,0.135610,0.135491,0.138075,0.131728,0.132605,0.132003,0.137279,0.142477,0.138516,0.057804,0.066149,0.134064,0.134112,0.138739,0.006296,0.132334
HAP1_chr21,0.134443,0.138739,0.137856,0.133580,0.139118,0.136796,0.138144,0.136583,0.131862,0.133861,0.133026,0.138355,0.136794,0.140208,0.136696,0.135796,0.067389,0.061032,0.141475,0.132491,0.000000,0.133384,0.138991,0.136772,0.132853,0.139952,0.135880,0.136563,0.138903,0.132149,0.133379,0.132653,0.138245,0.141586,0.139478,0.137064,0.136605,0.067650,0.060784,0.140447,0.133514,0.005245
HAP2_chr01,0.008518,0.060345,0.135081,0.130795,0.130213,0.133910,0.064531,0.132523,0.129517,0.131168,0.130388,0.135490,0.134820,0.137153,0.136250,0.136146,0.134110,0.135111,0.140569,0.131895,0.133384,0.000000,0.060588,0.134209,0.129984,0.130786,0.133924,0.064583,0.137186,0.129410,0.130096,0.129899,0.135424,0.144790,0.136434,0.136852,0.136807,0.132246,0.133587,0.139074,0.131614,0.133940
HAP2_chr02,0.060751,0.009368,0.133012,0.135868,0.134906,0.132876,0.066526,0.132396,0.136146,0.137559,0.136087,0.133896,0.133838,0.136573,0.134765,0.135905,0.131631,0.133649,0.137772,0.138524,0.138991,0.060588,0.000000,0.132970,0.136050,0.135616,0.132575,0.066570,0.135059,0.136027,0.137032,0.135971,0.134183,0.142838,0.135951,0.134509,0.135411,0.131292,0.132057,0.137235,0.138953,0.138887
