unit_a	unit_b	k	shared	kmers_a	kmers_b	jaccard	containment	distance	resolution_limited	z
HAP1_chr01	HAP1_chr02	11	1967665	2019891	2015382	0.951663	0.976324	0.002280	False	19.0430
HAP1_chr01	HAP1_chr02	13	9609978	13512344	13360040	0.556700	0.719308	0.025781	False	1823.6263
HAP1_chr01	HAP1_chr02	15	11090956	24754722	24336724	0.291863	0.455729	0.052961	False	9410.6163
HAP1_chr01	HAP1_chr02	17	9634407	28108913	27481591	0.209644	0.350577	0.062325	False	31827.6214
HAP1_chr01	HAP1_chr02	19	8724087	29321355	28481831	0.177756	0.306304	0.063043	False	111839.7905
HAP1_chr01	HAP1_chr02	23	7496393	30808037	29564231	0.141773	0.253563	0.060564	False	1473365.3161
HAP1_chr01	HAP1_chr03	11	1937946	2019891	1991592	0.934609	0.973064	0.003126	False	14.2427
HAP1_chr01	HAP1_chr03	13	7611767	13512344	12334706	0.417420	0.617102	0.040720	False	1186.5980
HAP1_chr01	HAP1_chr03	15	4587562	24754722	21622164	0.109778	0.212169	0.108020	False	3596.0104
HAP1_chr01	HAP1_chr03	17	2164691	28108913	24252207	0.043124	0.089257	0.146632	False	7402.3928
HAP1_chr01	HAP1_chr03	19	1586113	29321355	25141785	0.029996	0.063087	0.149636	False	21583.7959
HAP1_chr01	HAP1_chr03	23	1263218	30808037	26168999	0.022673	0.048272	0.135471	False	263888.0726
HAP1_chr01	HAP1_chr04	11	1944567	2019891	1999465	0.937236	0.972544	0.002994	False	13.5214
HAP1_chr01	HAP1_chr04	13	7748644	13512344	12571775	0.422604	0.616352	0.040051	False	1193.7607
HAP1_chr01	HAP1_chr04	15	4765289	24754722	22203654	0.112940	0.214617	0.106317	False	3697.7610
HAP1_chr01	HAP1_chr04	17	2322471	28108913	24891564	0.045828	0.093304	0.143207	False	7852.2150
HAP1_chr01	HAP1_chr04	19	1735513	29321355	25748486	0.032540	0.067403	0.145482	False	23342.0032
HAP1_chr01	HAP1_chr04	23	1391711	30808037	26669532	0.024814	0.052184	0.131640	False	287989.7057
HAP1_chr01	HAP1_chr05	11	1944371	2019891	1999528	0.937025	0.972415	0.003005	False	13.3362
HAP1_chr01	HAP1_chr05	13	7734425	13512344	12584350	0.421213	0.614607	0.040229	False	1184.5983
HAP1_chr01	HAP1_chr05	15	4755517	24754722	22250463	0.112557	0.213727	0.106520	False	3682.0910
HAP1_chr01	HAP1_chr05	17	2321642	28108913	25030877	0.045685	0.092751	0.143383	False	7825.8437
HAP1_chr01	HAP1_chr05	19	1745742	29321355	25984802	0.032594	0.067183	0.145398	False	23372.3271
