chrom_a	chrom_b	distance	z_score	p_value	q_value	accepted
chr01	chr02	0.063551	-1.319	0.0935244	0.509431	False
chr01	chr03	0.063940	-1.262	0.103508	0.509431	False
chr02	chr03	0.063983	-1.255	0.104656	0.509431	False
chr02	chr05	0.063985	-1.255	0.104703	0.509431	False
chr01	chr04	0.064014	-1.251	0.105483	0.509431	False
chr06	chr07	0.064016	-1.251	0.105516	0.509431	False
chr03	chr04	0.064174	-1.227	0.109866	0.509431	False
chr03	chr07	0.064188	-1.225	0.110235	0.509431	False
chr01	chr05	0.064203	-1.223	0.110674	0.509431	False
chr02	chr04	0.064211	-1.222	0.11089	0.509431	False
chr01	chr06	0.064229	-1.219	0.11138	0.509431	False
chr07	chr08	0.064236	-1.218	0.111569	0.509431	False
chr06	chr08	0.064246	-1.217	0.111864	0.509431	False
chr03	chr06	0.064249	-1.216	0.111948	0.509431	False
chr05	chr07	0.064272	-1.213	0.112597	0.509431	False
chr02	chr06	0.064314	-1.207	0.113802	0.509431	False
chr03	chr05	0.064337	-1.203	0.114437	0.509431	False
chr05	chr06	0.064342	-1.202	0.114601	0.509431	False
chr02	chr07	0.064353	-1.201	0.114909	0.509431	False
chr03	chr08	0.064487	-1.181	0.118773	0.509431	False
chr05	chr08	0.064497	-1.180	0.119096	0.509431	False
chr02	chr08	0.064512	-1.177	0.119516	0.509431	False
chr01	chr08	0.064647	-1.157	0.123541	0.509431	False
chr04	chr06	0.064665	-1.155	0.124085	0.509431	False
chr01	chr07	0.064666	-1.155	0.124115	0.509431	False
chr04	chr05	0.064724	-1.146	0.125872	0.509431	False
chr04	chr08	0.064917	-1.118	0.131867	0.509431	False
chr04	chr07	0.064992	-1.106	0.134273	0.509431	False
chr11	chr16	0.065868	-0.977	0.164278	0.509431	False
chr11	chr14	0.066157	-0.934	0.175087	0.509431	False
chr14	chr16	0.066229	-0.924	0.177815	0.509431	False
chr13	chr16	0.066540	-0.878	0.190043	0.509431	False
chr13	chr14	0.066687	-0.856	0.196004	0.509431	False
chr10	chr16	0.066734	-0.849	0.19791	0.509431	False
chr11	chr13	0.066852	-0.832	0.202796	0.509431	False
chr09	chr10	0.066868	-0.829	0.203464	0.509431	False
chr09	chr14	0.066871	-0.829	0.20361	0.509431	False
chr10	chr11	0.066876	-0.828	0.203798	0.509431	False
chr10	chr14	0.066890	-0.826	0.204405	0.509431	False
chr15	chr16	0.066957	-0.816	0.207224	0.509431	False
chr09	chr13	0.066958	-0.816	0.207235	0.509431	False
chr10	chr15	0.066969	-0.814	0.207732	0.509431	False
chr09	chr11	0.067021	-0.807	0.209928	0.509431	False
chr09	chr16	0.067033	-0.805	0.210439	0.509431	False
chr10	chr13	0.067080	-0.798	0.212449	0.509431	False
chr09	chr12	0.067173	-0.784	0.216458	0.509431	False
chr11	chr15	0.067188	-0.782	0.21713	0.509431	False
chr09	chr15	0.067241	-0.774	0.219427	0.509431	False
chr13	chr15	0.067286	-0.767	0.221398	0.509431	False
chr14	chr15	0.067347	-0.758	0.224086	0.509431	False
chr10	chr12	0.067442	-0.745	0.228274	0.509431	False
chr12	chr13	0.067479	-0.739	0.229953	0.509431	False
chr12	chr16	0.067519	-0.733	0.231774	0.509431	False
chr11	chr12	0.067536	-0.731	0.232529	0.509431	False
chr12	chr14	0.067557	-0.727	0.233489	0.509431	False
chr12	chr15	0.067672	-0.710	0.238701	0.511503	False
chr03	chr10	0.070349	-0.315	0.376409	0.792441	False
chr05	chr13	0.070793	-0.249	0.401569	0.814214	False
chr06	chr11	0.070830	-0.244	0.403685	0.814214	False
chr02	chr15	0.070890	-0.235	0.407107	0.814214	False
chr01	chr09	0.071190	-0.191	0.424364	0.824459	False
chr04	chr12	0.071218	-0.187	0.425971	0.824459	False
chr07	chr16	0.071409	-0.158	0.437077	0.832527	False
chr08	chr14	0.072623	0.021	0.50837	0.887869	False
chr06	chr10	0.078008	0.817	0.792935	0.887869	False
chr07	chr10	0.078604	0.905	0.817199	0.887869	False
chr02	chr09	0.078765	0.928	0.823415	0.887869	False
chr06	chr15	0.078796	0.933	0.824628	0.887869	False
chr05	chr10	0.078820	0.937	0.825523	0.887869	False
chr06	chr13	0.078852	0.941	0.826718	0.887869	False
chr06	chr16	0.078876	0.945	0.827625	0.887869	False
chr02	chr10	0.078880	0.946	0.827813	0.887869	False
chr06	chr09	0.078890	0.947	0.828152	0.887869	False
chr07	chr11	0.078950	0.956	0.830402	0.887869	False
chr01	chr10	0.078973	0.959	0.831287	0.887869	False
chr05	chr09	0.078974	0.959	0.831305	0.887869	False
chr06	chr14	0.079024	0.967	0.833168	0.887869	False
chr07	chr13	0.079155	0.986	0.837944	0.887869	False
chr07	chr15	0.079191	0.992	0.839282	0.887869	False
chr05	chr11	0.079199	0.993	0.839561	0.887869	False
chr08	chr10	0.079216	0.995	0.840172	0.887869	False
chr04	chr10	0.079219	0.996	0.84028	0.887869	False
chr06	chr12	0.079223	0.996	0.840415	0.887869	False
chr07	chr09	0.079239	0.998	0.840979	0.887869	False
chr08	chr11	0.079260	1.002	0.841739	0.887869	False
chr07	chr14	0.079263	1.002	0.841855	0.887869	False
