unit_a	unit_b	chrom	n_markers_a	n_markers_b	n_highcopy_a	n_highcopy_b
HAP1_chr01	HAP2_chr01	chr01	1410	2857	10793	12362
HAP1_chr01	HAP3_chr01	chr01	978	1724	10793	11461
HAP1_chr01	HAP4_chr01	chr01	3774	436	10793	7854
HAP2_chr01	HAP3_chr01	chr01	2613	2063	12362	11461
HAP2_chr01	HAP4_chr01	chr01	4947	129	12362	7854
HAP3_chr01	HAP4_chr01	chr01	4387	307	11461	7854
HAP1_chr02	HAP2_chr02	chr02	4219	762	12278	8846
HAP1_chr02	HAP3_chr02	chr02	3152	1296	12278	10858
HAP1_chr02	HAP4_chr02	chr02	1896	1085	12278	11452
HAP2_chr02	HAP3_chr02	chr02	1383	3403	8846	10858
HAP2_chr02	HAP4_chr02	chr02	1525	4137	8846	11452
HAP3_chr02	HAP4_chr02	chr02	2133	3152	10858	11452
HAP1_chr03	HAP2_chr03	chr03	2185	1510	11926	11307
HAP1_chr03	HAP3_chr03	chr03	3935	1381	11926	9377
HAP1_chr03	HAP4_chr03	chr03	3075	814	11926	9978
HAP2_chr03	HAP3_chr03	chr03	2680	794	11307	9377
HAP2_chr03	HAP4_chr03	chr03	2603	945	11307	9978
HAP3_chr03	HAP4_chr03	chr03	2139	2314	9377	9978
HAP1_chr04	HAP2_chr04	chr04	1233	942	8424	8070
HAP1_chr04	HAP3_chr04	chr04	630	1425	8424	9154
HAP1_chr04	HAP4_chr04	chr04	945	1857	8424	9148
HAP2_chr04	HAP3_chr04	chr04	681	1795	8070	9154
HAP2_chr04	HAP4_chr04	chr04	816	1987	8070	9148
HAP3_chr04	HAP4_chr04	chr04	1265	1318	9154	9148
HAP1_chr05	HAP2_chr05	chr05	1022	2799	6274	7741
HAP1_chr05	HAP3_chr05	chr05	2470	416	6274	4220
HAP1_chr05	HAP4_chr05	chr05	1386	1637	6274	6488
HAP2_chr05	HAP3_chr05	chr05	4301	442	7741	4220
HAP2_chr05	HAP4_chr05	chr05	2507	730	7741	6488
HAP3_chr05	HAP4_chr05	chr05	552	2918	4220	6488
HAP1_chr06	HAP2_chr06	chr06	1068	1456	5781	6273
HAP1_chr06	HAP3_chr06	chr06	1798	568	5781	4797
HAP1_chr06	HAP4_chr06	chr06	617	1823	5781	6782
HAP2_chr06	HAP3_chr06	chr06	2372	789	6273	4797
HAP2_chr06	HAP4_chr06	chr06	949	1861	6273	6782
HAP3_chr06	HAP4_chr06	chr06	607	2954	4797	6782
HAP1_chr07	HAP2_chr07	chr07	6082	154	7590	1833
HAP1_chr07	HAP3_chr07	chr07	1711	1044	7590	6854
HAP1_chr07	HAP4_chr07	chr07	1811	412	7590	6203
HAP2_chr07	HAP3_chr07	chr07	376	5440	1833	6854
HAP2_chr07	HAP4_chr07	chr07	337	4772	1833	6203
HAP3_chr07	HAP4_chr07	chr07	1569	831	6854	6203
HAP1_chr08	HAP2_chr08	chr08	3092	1252	7518	5691
HAP1_chr08	HAP3_chr08	chr08	3216	287	7518	4794
HAP1_chr08	HAP4_chr08	chr08	2381	439	7518	5777
HAP2_chr08	HAP3_chr08	chr08	1935	1018	5691	4794
HAP2_chr08	HAP4_chr08	chr08	1826	1914	5691	5777
HAP3_chr08	HAP4_chr08	chr08	603	1654	4794	5777
HAP1_chr09	HAP2_chr09	chr09	2742	3069	16007	16457
HAP1_chr09	HAP3_chr09	chr09	9980	2650	16007	8866
HAP1_chr09	HAP4_chr09	chr09	10749	2615	16007	8133
HAP2_chr09	HAP3_chr09	chr09	9665	2292	16457	8866
HAP2_chr09	HAP4_chr09	chr09	10440	2033	16457	8133
HAP3_chr09	HAP4_chr09	chr09	2648	1736	8866	8133
HAP1_chr10	HAP2_chr10	chr10	701	1074	5825	6228
HAP1_chr10	HAP3_chr10	chr10	1433	890	5825	5461
HAP1_chr10	HAP4_chr10	chr10	1207	1747	5825	6548
HAP2_chr10	HAP3_chr10	chr10	1755	897	6228	5461
HAP2_chr10	HAP4_chr10	chr10	1113	1207	6228	6548
HAP3_chr10	HAP4_chr10	chr10	1049	2093	5461	6548
HAP1_chr11	HAP2_chr11	chr11	5013	2637	7343	4363
HAP1_chr11	HAP3_chr11	chr11	4954	903	7343	2903
HAP1_chr11	HAP4_chr11	chr11	3325	548	7343	4904
HAP2_chr11	HAP3_chr11	chr11	2249	776	4363	2903
HAP2_chr11	HAP4_chr11	chr11	2716	3254	4363	4904
HAP3_chr11	HAP4_chr11	chr11	1121	3274	2903	4904
HAP1_chr12	HAP2_chr12	chr12	720	2306	3141	4466
HAP1_chr12	HAP3_chr12	chr12	509	2041	3141	4452
HAP1_chr12	HAP4_chr12	chr12	1445	82	3141	1983
HAP2_chr12	HAP3_chr12	chr12	1623	1432	4466	4452
HAP2_chr12	HAP4_chr12	chr12	2964	152	4466	1983
HAP3_chr12	HAP4_chr12	chr12	2841	147	4452	1983
HAP1_chr13	HAP2_chr13	chr13	1721	348	3290	1909
HAP1_chr13	HAP3_chr13	chr13	509	1388	3290	4020
HAP1_chr13	HAP4_chr13	chr13	1800	328	3290	1810
HAP2_chr13	HAP3_chr13	chr13	397	2508	1909	4020
HAP2_chr13	HAP4_chr13	chr13	375	261	1909	1810
HAP3_chr13	HAP4_chr13	chr13	2498	288	4020	1810
HAP1_chr14	HAP2_chr14	chr14	2073	1340	4650	4050
HAP1_chr14	HAP3_chr14	chr14	1880	825	4650	3688
HAP1_chr14	HAP4_chr14	chr14	1545	838	4650	3950
HAP2_chr14	HAP3_chr14	chr14	1385	1095	4050	3688
HAP2_chr14	HAP4_chr14	chr14	1339	1393	4050	3950
HAP3_chr14	HAP4_chr14	chr14	982	1356	3688	3950
HAP1_chr15	HAP2_chr15	chr15	181	3410	2894	5510
HAP1_chr15	HAP3_chr15	chr15	1481	233	2894	1821
HAP1_chr15	HAP4_chr15	chr15	422	1321	2894	3590
HAP2_chr15	HAP3_chr15	chr15	3960	84	5510	1821
HAP2_chr15	HAP4_chr15	chr15	2546	263	5510	3590
HAP3_chr15	HAP4_chr15	chr15	240	2187	1821	3590
