chrom	group_a	group_b	n_within	n_cross	within_te_marker_fraction	cross_te_marker_fraction	split_ratio	flagged_units
chr01	HAP2_chr01,HAP1_chr01,HAP3_chr01	HAP4_chr01	3	3	0.167326	0.239962	1.43	HAP4_chr01
chr02	HAP2_chr02,HAP1_chr02,HAP3_chr02	HAP4_chr02	3	3	0.223649	0.213818	0.96	
chr03	HAP3_chr03,HAP1_chr03,HAP2_chr03	HAP4_chr03	3	3	0.192180	0.191436	1.00	
chr04	HAP2_chr04	HAP4_chr04,HAP1_chr04,HAP3_chr04	3	3	0.139166	0.146138	1.05	
chr05	HAP3_chr05	HAP4_chr05,HAP1_chr05,HAP2_chr05	3	3	0.245668	0.331870	1.35	
chr06	HAP2_chr06	HAP4_chr06,HAP1_chr06,HAP3_chr06	3	3	0.241811	0.236727	0.98	
chr07	HAP2_chr07	HAP3_chr07,HAP1_chr07,HAP4_chr07	3	3	0.178572	0.655685	3.67	HAP2_chr07
chr08	HAP2_chr08,HAP3_chr08	HAP4_chr08,HAP1_chr08	2	4	0.246875	0.288255	1.17	
chr09	HAP2_chr09	HAP4_chr09,HAP1_chr09,HAP3_chr09	3	3	0.439760	0.386139	0.88	
chr10	HAP2_chr10,HAP1_chr10,HAP3_chr10	HAP4_chr10	3	3	0.193325	0.227324	1.18	
chr11	HAP1_chr11,HAP3_chr11,HAP4_chr11	HAP2_chr11	3	3	0.483612	0.571352	1.18	
chr12	HAP3_chr12,HAP1_chr12,HAP2_chr12	HAP4_chr12	3	3	0.358731	0.415174	1.16	
chr13	HAP3_chr13,HAP1_chr13,HAP2_chr13	HAP4_chr13	3	3	0.382478	0.355381	0.93	
chr14	HAP3_chr14	HAP4_chr14,HAP1_chr14,HAP2_chr14	3	3	0.336964	0.317005	0.94	
chr15	HAP3_chr15,HAP2_chr15	HAP4_chr15,HAP1_chr15	2	4	0.410223	0.387007	0.94	
