unit_a	unit_b	chrom	n_markers_a	n_markers_b	n_highcopy_a	n_highcopy_b	te_marker_fraction	windowed_distance_cv
HAP1_chr01	HAP2_chr01	chr01	1410	2857	10793	12362	0.184280	0.015539
HAP1_chr01	HAP3_chr01	chr01	978	1724	10793	11461	0.121416	0.016992
HAP1_chr01	HAP4_chr01	chr01	3774	436	10793	7854	0.225774	0.008326
HAP2_chr01	HAP3_chr01	chr01	2613	2063	12362	11461	0.196281	0.128724
HAP2_chr01	HAP4_chr01	chr01	4947	129	12362	7854	0.251088	0.009072
HAP3_chr01	HAP4_chr01	chr01	4387	307	11461	7854	0.243024	0.008381
HAP1_chr02	HAP2_chr02	chr02	4219	762	12278	8846	0.235798	0.015172
HAP1_chr02	HAP3_chr02	chr02	3152	1296	12278	10858	0.192254	0.014307
HAP1_chr02	HAP4_chr02	chr02	1896	1085	12278	11452	0.125622	0.022000
HAP2_chr02	HAP3_chr02	chr02	1383	3403	8846	10858	0.242895	0.129709
HAP2_chr02	HAP4_chr02	chr02	1525	4137	8846	11452	0.278944	0.016337
HAP3_chr02	HAP4_chr02	chr02	2133	3152	10858	11452	0.236889	0.019808
HAP1_chr03	HAP2_chr03	chr03	2185	1510	11926	11307	0.159041	0.017764
HAP1_chr03	HAP3_chr03	chr03	3935	1381	11926	9377	0.249542	0.012871
HAP1_chr03	HAP4_chr03	chr03	3075	814	11926	9978	0.177547	0.013113
HAP2_chr03	HAP3_chr03	chr03	2680	794	11307	9377	0.167956	0.117094
HAP2_chr03	HAP4_chr03	chr03	2603	945	11307	9978	0.166690	0.099129
HAP3_chr03	HAP4_chr03	chr03	2139	2314	9377	9978	0.230070	0.100220
HAP1_chr04	HAP2_chr04	chr04	1233	942	8424	8070	0.131866	0.009431
HAP1_chr04	HAP3_chr04	chr04	630	1425	8424	9154	0.116907	0.010921
HAP1_chr04	HAP4_chr04	chr04	945	1857	8424	9148	0.159458	0.012623
HAP2_chr04	HAP3_chr04	chr04	681	1795	8070	9154	0.143753	0.012521
HAP2_chr04	HAP4_chr04	chr04	816	1987	8070	9148	0.162795	0.010991
HAP3_chr04	HAP4_chr04	chr04	1265	1318	9154	9148	0.141132	0.148334
HAP1_chr05	HAP2_chr05	chr05	1022	2799	6274	7741	0.272636	0.017715
HAP1_chr05	HAP3_chr05	chr05	2470	416	6274	4220	0.275014	0.012986
HAP1_chr05	HAP4_chr05	chr05	1386	1637	6274	6488	0.236875	0.021480
HAP2_chr05	HAP3_chr05	chr05	4301	442	7741	4220	0.396539	0.117997
HAP2_chr05	HAP4_chr05	chr05	2507	730	7741	6488	0.227493	0.153280
HAP3_chr05	HAP4_chr05	chr05	552	2918	4220	6488	0.324057	0.145475
HAP1_chr06	HAP2_chr06	chr06	1068	1456	5781	6273	0.209391	0.011552
HAP1_chr06	HAP3_chr06	chr06	1798	568	5781	4797	0.223672	0.012235
HAP1_chr06	HAP4_chr06	chr06	617	1823	5781	6782	0.194221	0.012586
HAP2_chr06	HAP3_chr06	chr06	2372	789	6273	4797	0.285547	0.008592
HAP2_chr06	HAP4_chr06	chr06	949	1861	6273	6782	0.215243	0.008819
HAP3_chr06	HAP4_chr06	chr06	607	2954	4797	6782	0.307540	0.274541
HAP1_chr07	HAP2_chr07	chr07	6082	154	7590	1833	0.661785	0.005573
HAP1_chr07	HAP3_chr07	chr07	1711	1044	7590	6854	0.190737	0.008298
HAP1_chr07	HAP4_chr07	chr07	1811	412	7590	6203	0.161169	0.010739
HAP2_chr07	HAP3_chr07	chr07	376	5440	1833	6854	0.669506	0.011444
HAP2_chr07	HAP4_chr07	chr07	337	4772	1833	6203	0.635764	0.009782
HAP3_chr07	HAP4_chr07	chr07	1569	831	6854	6203	0.183809	0.042219
HAP1_chr08	HAP2_chr08	chr08	3092	1252	7518	5691	0.328867	0.010076
HAP1_chr08	HAP3_chr08	chr08	3216	287	7518	4794	0.284519	0.008569
HAP1_chr08	HAP4_chr08	chr08	2381	439	7518	5777	0.212110	0.009511
HAP2_chr08	HAP3_chr08	chr08	1935	1018	5691	4794	0.281640	0.173645
HAP2_chr08	HAP4_chr08	chr08	1826	1914	5691	5777	0.326125	0.159548
HAP3_chr08	HAP4_chr08	chr08	603	1654	4794	5777	0.213509	0.011741
HAP1_chr09	HAP2_chr09	chr09	2742	3069	16007	16457	0.178998	0.012529
HAP1_chr09	HAP3_chr09	chr09	9980	2650	16007	8866	0.507780	0.007669
HAP1_chr09	HAP4_chr09	chr09	10749	2615	16007	8133	0.553604	0.006809
HAP2_chr09	HAP3_chr09	chr09	9665	2292	16457	8866	0.472179	0.010554
HAP2_chr09	HAP4_chr09	chr09	10440	2033	16457	8133	0.507239	0.011425
HAP3_chr09	HAP4_chr09	chr09	2648	1736	8866	8133	0.257898	0.161739
HAP1_chr10	HAP2_chr10	chr10	701	1074	5825	6228	0.147266	0.111332
HAP1_chr10	HAP3_chr10	chr10	1433	890	5825	5461	0.205830	0.201089
HAP1_chr10	HAP4_chr10	chr10	1207	1747	5825	6548	0.238746	0.153699
HAP2_chr10	HAP3_chr10	chr10	1755	897	6228	5461	0.226880	0.128841
HAP2_chr10	HAP4_chr10	chr10	1113	1207	6228	6548	0.181590	0.165507
HAP3_chr10	HAP4_chr10	chr10	1049	2093	5461	6548	0.261637	0.158447
HAP1_chr11	HAP2_chr11	chr11	5013	2637	7343	4363	0.653511	0.011391
HAP1_chr11	HAP3_chr11	chr11	4954	903	7343	2903	0.571638	0.034087
HAP1_chr11	HAP4_chr11	chr11	3325	548	7343	4904	0.316241	0.040715
HAP2_chr11	HAP3_chr11	chr11	2249	776	4363	2903	0.416323	0.125037
HAP2_chr11	HAP4_chr11	chr11	2716	3254	4363	4904	0.644221	0.173223
HAP3_chr11	HAP4_chr11	chr11	1121	3274	2903	4904	0.562956	0.128798
HAP1_chr12	HAP2_chr12	chr12	720	2306	3141	4466	0.397792	0.074377
HAP1_chr12	HAP3_chr12	chr12	509	2041	3141	4452	0.335836	0.221759
HAP1_chr12	HAP4_chr12	chr12	1445	82	3141	1983	0.298009	0.005704
HAP2_chr12	HAP3_chr12	chr12	1623	1432	4466	4452	0.342566	0.106058
HAP2_chr12	HAP4_chr12	chr12	2964	152	4466	1983	0.483176	0.007001
HAP3_chr12	HAP4_chr12	chr12	2841	147	4452	1983	0.464336	0.005388
