chrom	n_haplotype_copies	own_mean_distance	homeolog_partner	homeolog_distance	homeolog_z	homeolog_q	distance_ratio
chr01	2	0.000025	chr03	0.065519	-6.800	1.11196e-09	942.71
chr02	2	0.000030	chr05	0.065486	-6.805	1.11196e-09	942.25
chr03	2	0.000114	chr01	0.065519	-6.800	1.11196e-09	942.71
chr04	2	0.000047	chr12	0.072921	-5.701	3.61007e-07	1005.81
chr05	2	0.000109	chr02	0.065486	-6.805	1.11196e-09	942.25
chr06	2	0.000019	chr15	0.071343	-5.936	1.16694e-07	706.36
chr07	2	0.000078	chr14	0.066968	-6.585	3.62922e-09	422.51
chr08	2	0.000061	chr09	0.066252	-6.691	2.01842e-09	1003.83
chr09	2	0.000071	chr08	0.066252	-6.691	2.01842e-09	1003.83
chr10	2	0.000154	chr17	0.064546	-6.944	7.37847e-10	228.08
chr11	2	0.000029	chr16	0.070341	-6.084	4.97515e-08	581.33
chr12	2	0.000098	chr04	0.072921	-5.701	3.61007e-07	1005.81
chr13	2	0.000046	chr23	0.071415	-5.925	1.17188e-07	1124.64
chr14	2	0.000239	chr07	0.066968	-6.585	3.62922e-09	422.51
chr15	2	0.000183	chr06	0.071343	-5.936	1.16694e-07	706.36
chr16	2	0.000213	chr11	0.070341	-6.084	4.97515e-08	581.33
chr17	2	0.000412	chr10	0.064546	-6.944	7.37847e-10	228.08
chr18	2	0.000046	chr28	0.063914	-7.038	7.37847e-10	169.98
chr19	2	0.000022	chr31	0.068065	-6.422	8.57142e-09	687.52
chr20	2	0.000117	chr44	0.077762	-4.983	1.66512e-05	308.58
chr21	2	0.000211	chr32	0.067223	-6.547	4.15786e-09	416.24
chr22	2	0.000031	chr39	0.068737	-6.322	1.49314e-08	597.71
chr23	2	0.000081	chr13	0.071415	-5.925	1.17188e-07	1124.64
chr24	2	0.000203	chr42	0.069073	-6.272	1.74294e-08	354.22
chr25	2	0.000075	chr26	0.064413	-6.964	7.37847e-10	1463.93
chr26	2	0.000013	chr25	0.064413	-6.964	7.37847e-10	1463.93
chr27	2	0.000081	chr37	0.068827	-6.309	1.49314e-08	555.06
chr28	2	0.000706	chr18	0.063914	-7.038	7.37847e-10	169.98
chr29	2	0.000549	chr36	0.072378	-5.782	2.35494e-07	243.29
chr30	2	0.003217	chr35	0.064733	-6.916	7.37847e-10	39.85
chr31	2	0.000176	chr19	0.068065	-6.422	8.57142e-09	687.52
chr32	2	0.000112	chr21	0.067223	-6.547	4.15786e-09	416.24
chr33	2	0.000012	chr43	0.074354	-5.489	1.123e-06	1118.11
chr34	2	0.000047	chr47	0.073766	-5.576	7.13451e-07	410.95
chr35	2	0.000032	chr30	0.064733	-6.916	7.37847e-10	39.85
chr36	2	0.000046	chr29	0.072378	-5.782	2.35494e-07	243.29
chr37	2	0.000167	chr27	0.068827	-6.309	1.49314e-08	555.06
chr38	2	0.000082	chr46	0.071796	-5.868	1.47753e-07	213.68
chr39	2	0.000199	chr22	0.068737	-6.322	1.49314e-08	597.71
chr40	2	0.000145	chr45	0.071533	-5.907	1.23161e-07	414.68
chr41	2	0.000044	chr50	0.069154	-6.260	1.74786e-08	716.62
chr42	2	0.000187	chr24	0.069073	-6.272	1.74294e-08	354.22
chr43	2	0.000121	chr33	0.074354	-5.489	1.123e-06	1118.11
chr44	2	0.000387	chr20	0.077762	-4.983	1.66512e-05	308.58
chr45	2	0.000200	chr40	0.071533	-5.907	1.23161e-07	414.68
chr46	2	0.000590	chr38	0.071796	-5.868	1.47753e-07	213.68
chr47	2	0.000312	chr34	0.073766	-5.576	7.13451e-07	410.95
chr48	2	0.000948					
chr49	2	0.000441					
chr50	2	0.000149	chr41	0.069154	-6.260	1.74786e-08	716.62
chr51	2	0.001222					
