,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16
HAP1_chr01,0.000000,0.075350,0.078891,0.077997,0.078140,0.077855,0.113709,0.112637,0.078974,0.104670,0.113338,0.098603,0.113891,0.114231,0.083517,0.118047,0.000363,0.075335,0.078969,0.078033,0.078127,0.077953,0.113659,0.112583,0.079244,0.104366,0.113256,0.098663,0.113961,0.114167,0.083405,0.118052
HAP1_chr02,0.075350,0.000000,0.077978,0.077284,0.077497,0.076814,0.093440,0.111702,0.077534,0.112964,0.111553,0.112437,0.112543,0.113282,0.082021,0.116436,0.075343,0.000615,0.078062,0.077317,0.077483,0.076941,0.093109,0.111435,0.077779,0.113046,0.111417,0.112609,0.112577,0.113253,0.081916,0.116432
HAP1_chr03,0.078891,0.077978,0.000000,0.076433,0.076755,0.076506,0.110740,0.108833,0.076882,0.111174,0.108940,0.109716,0.109553,0.109777,0.079579,0.094159,0.078884,0.077992,0.000763,0.076446,0.076682,0.076576,0.110724,0.108571,0.076932,0.111343,0.108858,0.109732,0.109526,0.109777,0.079526,0.094115
HAP1_chr04,0.077997,0.077284,0.076433,0.000000,0.075806,0.075619,0.111456,0.094075,0.076870,0.111795,0.109658,0.110300,0.109938,0.110715,0.080366,0.112744,0.078008,0.077338,0.076462,0.000347,0.075771,0.075700,0.111475,0.094097,0.076937,0.111903,0.109620,0.110354,0.109874,0.110712,0.080329,0.112787
HAP1_chr05,0.078140,0.077497,0.076755,0.075806,0.000000,0.075454,0.111718,0.109736,0.076861,0.112298,0.109603,0.110743,0.109628,0.095742,0.080306,0.112683,0.078119,0.077495,0.076747,0.075817,0.001001,0.075579,0.111729,0.109434,0.076958,0.112447,0.109558,0.110813,0.109543,0.095776,0.080244,0.112702
HAP1_chr06,0.077855,0.076814,0.076506,0.075619,0.075454,0.000000,0.111861,0.110020,0.075791,0.112371,0.109888,0.110722,0.095088,0.110636,0.079754,0.112977,0.077839,0.076834,0.076482,0.075602,0.075496,0.000551,0.111834,0.109568,0.075819,0.112528,0.109851,0.110772,0.095088,0.110568,0.079719,0.112968
HAP1_chr07,0.113709,0.093440,0.110740,0.111456,0.111718,0.111861,0.000000,0.080684,0.112539,0.082888,0.080900,0.081530,0.081523,0.081680,0.112480,0.084353,0.113713,0.093455,0.110768,0.111467,0.111715,0.111607,0.000482,0.080859,0.112565,0.083084,0.080943,0.081597,0.081597,0.081605,0.112324,0.084393
HAP1_chr08,0.112637,0.111702,0.108833,0.094075,0.109736,0.110020,0.080684,0.000000,0.110355,0.081701,0.077544,0.078791,0.077756,0.078577,0.111360,0.081713,0.112632,0.111697,0.108800,0.094047,0.109739,0.109814,0.080779,0.000829,0.110318,0.080575,0.077504,0.078830,0.077793,0.078545,0.111248,0.081761
HAP1_chr09,0.078974,0.077534,0.076882,0.076870,0.076861,0.075791,0.112539,0.110355,0.000000,0.112809,0.094718,0.111089,0.110394,0.111154,0.078926,0.113003,0.078964,0.077563,0.076837,0.076890,0.076863,0.075876,0.112577,0.109974,0.001760,0.113013,0.094680,0.111114,0.110337,0.111065,0.078902,0.113036
HAP1_chr10,0.104670,0.112964,0.111174,0.111795,0.112298,0.112371,0.082888,0.081701,0.112809,0.000000,0.081694,0.081791,0.082160,0.082444,0.095545,0.084221,0.104634,0.112936,0.111154,0.111801,0.112362,0.112147,0.082969,0.081765,0.112860,0.001547,0.081752,0.081833,0.082286,0.082324,0.095303,0.084245
HAP1_chr11,0.113338,0.111553,0.108940,0.109658,0.109603,0.109888,0.080900,0.077544,0.094718,0.081694,0.000000,0.079213,0.078045,0.078440,0.111114,0.081400,0.113323,0.111586,0.108937,0.109659,0.109656,0.109702,0.080942,0.077545,0.094813,0.081732,0.000989,0.079228,0.078121,0.078420,0.110981,0.081458
