chrom	unit_a	unit_b	hap_a	hap_b	distance	resolution_limited
chr01	HAP1_chr01	HAP2_chr01	HAP1	HAP2	0.000363	False
chr02	HAP1_chr02	HAP2_chr02	HAP1	HAP2	0.000615	False
chr03	HAP1_chr03	HAP2_chr03	HAP1	HAP2	0.000763	False
chr04	HAP1_chr04	HAP2_chr04	HAP1	HAP2	0.000347	False
chr05	HAP1_chr05	HAP2_chr05	HAP1	HAP2	0.001001	False
chr06	HAP1_chr06	HAP2_chr06	HAP1	HAP2	0.000551	False
chr07	HAP1_chr07	HAP2_chr07	HAP1	HAP2	0.000482	False
chr08	HAP1_chr08	HAP2_chr08	HAP1	HAP2	0.000829	False
chr09	HAP1_chr09	HAP2_chr09	HAP1	HAP2	0.001760	False
chr10	HAP1_chr10	HAP2_chr10	HAP1	HAP2	0.001547	False
chr11	HAP1_chr11	HAP2_chr11	HAP1	HAP2	0.000989	False
chr12	HAP1_chr12	HAP2_chr12	HAP1	HAP2	0.000454	False
chr13	HAP1_chr13	HAP2_chr13	HAP1	HAP2	0.000967	False
chr14	HAP1_chr14	HAP2_chr14	HAP1	HAP2	0.000813	False
chr15	HAP1_chr15	HAP2_chr15	HAP1	HAP2	0.000368	False
chr16	HAP1_chr16	HAP2_chr16	HAP1	HAP2	0.000171	False
