,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP3_chr01,HAP3_chr02,HAP3_chr03,HAP3_chr04,HAP3_chr05,HAP3_chr06,HAP3_chr07,HAP3_chr08,HAP3_chr09,HAP3_chr10,HAP3_chr11,HAP4_chr01,HAP4_chr02,HAP4_chr03,HAP4_chr04,HAP4_chr05,HAP4_chr06,HAP4_chr07,HAP4_chr08,HAP4_chr09,HAP4_chr10,HAP4_chr11
HAP1_chr01,0.000000,0.832994,0.840187,0.841856,0.843679,0.842774,0.844665,0.843821,0.846346,0.846723,0.848517,0.433140,0.833018,0.840639,0.841810,0.841495,0.845957,0.848001,0.843136,0.848968,0.851123,0.849973,0.447592,0.834020,0.842643,0.843400,0.843160,0.845716,0.843898,0.842373,0.846949,0.847988,0.851206,0.437197,0.831815,0.841449,0.842123,0.841810,0.841994,0.845677,0.847982,0.848435,0.851693,0.851052
HAP1_chr02,0.832994,0.000000,0.840374,0.842958,0.844083,0.843311,0.845194,0.843394,0.845923,0.849026,0.849362,0.833806,0.435011,0.840308,0.843069,0.842454,0.845739,0.846435,0.844117,0.849472,0.852170,0.848897,0.833221,0.438075,0.843989,0.844786,0.843976,0.846104,0.843840,0.841981,0.847801,0.848950,0.851513,0.833418,0.445565,0.842627,0.842990,0.843463,0.843316,0.845906,0.849366,0.849446,0.852742,0.851571
HAP1_chr03,0.840187,0.840374,0.000000,0.846601,0.848461,0.845533,0.848250,0.846085,0.848704,0.849772,0.849979,0.839627,0.841045,0.499419,0.846615,0.846860,0.847944,0.848370,0.846000,0.851340,0.854002,0.852310,0.839915,0.840427,0.512890,0.848408,0.847944,0.847938,0.845635,0.845026,0.850497,0.850820,0.852004,0.839853,0.839487,0.493618,0.846878,0.848426,0.845127,0.848560,0.850316,0.851004,0.854473,0.853197
HAP1_chr04,0.841856,0.842958,0.846601,0.000000,0.848889,0.849537,0.850351,0.850505,0.851205,0.853259,0.854501,0.841869,0.842375,0.846568,0.424616,0.847829,0.850679,0.852543,0.850119,0.854160,0.855312,0.854294,0.842090,0.843372,0.849687,0.431963,0.850292,0.851159,0.850224,0.848480,0.852084,0.852689,0.855775,0.841107,0.841911,0.848423,0.435416,0.849289,0.848856,0.851559,0.853946,0.853829,0.856744,0.855634
HAP1_chr05,0.843679,0.844083,0.848461,0.848889,0.000000,0.848323,0.851829,0.849547,0.852104,0.853384,0.854268,0.843756,0.843955,0.848108,0.849857,0.457758,0.851660,0.852856,0.850518,0.854924,0.855556,0.855604,0.843759,0.843377,0.850045,0.851465,0.479746,0.852058,0.852237,0.849449,0.853628,0.853595,0.856068,0.844341,0.843887,0.850531,0.850368,0.465906,0.849592,0.852026,0.854175,0.855149,0.857069,0.856262
HAP1_chr06,0.842774,0.843311,0.845533,0.849537,0.848323,0.000000,0.850250,0.848730,0.850504,0.852449,0.852476,0.843785,0.843186,0.845222,0.847568,0.848764,0.482048,0.851060,0.848723,0.853245,0.853985,0.853658,0.842435,0.844124,0.847306,0.850178,0.849156,0.487056,0.848782,0.848318,0.851544,0.852244,0.853562,0.843538,0.842772,0.846918,0.848940,0.848580,0.496403,0.849909,0.853368,0.852077,0.854426,0.854322
HAP1_chr07,0.844665,0.845194,0.848250,0.850351,0.851829,0.850250,0.000000,0.850619,0.853654,0.853408,0.854716,0.845709,0.845480,0.849907,0.849801,0.850187,0.851251,0.484353,0.850232,0.855100,0.857828,0.854170,0.845375,0.846185,0.850363,0.852006,0.851406,0.850569,0.488404,0.850029,0.854415,0.853051,0.855943,0.846120,0.844945,0.849829,0.851069,0.850640,0.849599,0.475091,0.854445,0.854869,0.856525,0.856437
HAP1_chr08,0.843821,0.843394,0.846085,0.850505,0.849547,0.848730,0.850619,0.000000,0.850934,0.852551,0.852385,0.843239,0.844786,0.846363,0.851263,0.849205,0.851085,0.852648,0.493269,0.852920,0.854542,0.853098,0.843578,0.843713,0.848036,0.851378,0.849171,0.850403,0.848473,0.480429,0.852572,0.851895,0.854003,0.843929,0.843494,0.848214,0.851553,0.849355,0.848738,0.851278,0.522905,0.853417,0.855486,0.854456
HAP1_chr09,0.846346,0.845923,0.848704,0.851205,0.852104,0.850504,0.853654,0.850934,0.000000,0.853443,0.854125,0.846316,0.846316,0.847876,0.851320,0.851443,0.852796,0.854188,0.851509,0.468003,0.856206,0.854485,0.846255,0.845637,0.850231,0.852744,0.852140,0.852760,0.852470,0.849780,0.469355,0.852767,0.855068,0.846958,0.846145,0.850574,0.851975,0.850822,0.851199,0.853589,0.855405,0.457324,0.857662,0.856930
HAP1_chr10,0.846723,0.849026,0.849772,0.853259,0.853384,0.852449,0.853408,0.852551,0.853443,0.000000,0.854976,0.847218,0.849014,0.850568,0.853052,0.852332,0.853243,0.854142,0.851801,0.855853,0.540147,0.855306,0.847398,0.849705,0.853242,0.853570,0.852454,0.854329,0.852351,0.850221,0.855326,0.415110,0.854985,0.845816,0.848024,0.852403,0.853511,0.851863,0.850652,0.854481,0.854963,0.855727,0.534093,0.855924
HAP1_chr11,0.848517,0.849362,0.849979,0.854501,0.854268,0.852476,0.854716,0.852385,0.854125,0.854976,0.000000,0.847963,0.848303,0.850343,0.854013,0.853060,0.853106,0.854897,0.851817,0.856231,0.856841,0.533163,0.847839,0.849351,0.852512,0.855246,0.853788,0.853530,0.853576,0.850502,0.855774,0.854938,0.528075,0.849429,0.848036,0.852530,0.853116,0.852810,0.852086,0.854831,0.854760,0.854411,0.857220,0.527833
HAP2_chr01,0.433140,0.833806,0.839627,0.841869,0.843756,0.843785,0.845709,0.843239,0.846316,0.847218,0.847963,0.000000,0.834006,0.840693,0.842078,0.841670,0.845807,0.847526,0.843646,0.849726,0.851663,0.848722,0.443722,0.834559,0.843227,0.843731,0.842920,0.846577,0.844136,0.841590,0.847279,0.848139,0.850922,0.443341,0.832402,0.840877,0.841820,0.841766,0.842474,0.846642,0.848900,0.848816,0.852268,0.851329
HAP2_chr02,0.833018,0.435011,0.841045,0.842375,0.843955,0.843186,0.845480,0.844786,0.846316,0.849014,0.848303,0.834006,0.000000,0.841114,0.842364,0.841509,0.846569,0.846456,0.844473,0.849207,0.852967,0.849559,0.832899,0.394169,0.843868,0.844013,0.843640,0.846518,0.843633,0.843281,0.847834,0.849560,0.851310,0.832973,0.427624,0.842709,0.842741,0.842687,0.843651,0.846323,0.849504,0.849335,0.852974,0.851922
HAP2_chr03,0.840639,0.840308,0.499419,0.846568,0.848108,0.845222,0.849907,0.846363,0.847876,0.850568,0.850343,0.840693,0.841114,0.000000,0.847448,0.846888,0.848974,0.849724,0.845860,0.851215,0.853951,0.851600,0.840124,0.840839,0.490329,0.848340,0.848547,0.848382,0.848597,0.845648,0.850185,0.850900,0.852812,0.839969,0.840419,0.480452,0.847760,0.847414,0.846592,0.850452,0.851369,0.851183,0.854779,0.852767
