unit_a	unit_b	kmers_a	kmers_b	shared	union	jaccard_distance	containment
HAP1_chr01	HAP1_chr02	33167423	32683527	9423702	56427248	0.832994	0.288332
HAP1_chr01	HAP1_chr03	33167423	27431484	8350049	52248858	0.840187	0.304397
HAP1_chr01	HAP1_chr04	33167423	28655126	8441861	53380688	0.841856	0.294602
HAP1_chr01	HAP1_chr05	33167423	27708185	8229664	52645944	0.843679	0.297012
HAP1_chr01	HAP1_chr06	33167423	26494879	8106013	51556289	0.842774	0.305946
HAP1_chr01	HAP1_chr07	33167423	25994701	7954370	51207754	0.844665	0.306000
HAP1_chr01	HAP1_chr08	33167423	25612866	7940158	50840131	0.843821	0.310007
HAP1_chr01	HAP1_chr09	33167423	25637798	7832188	50973033	0.846346	0.305494
HAP1_chr01	HAP1_chr10	33167423	23883247	7582366	49468304	0.846723	0.317476
HAP1_chr01	HAP1_chr11	33167423	23795843	7493772	49469494	0.848517	0.314919
HAP1_chr01	HAP2_chr01	33167423	33619673	24162294	42624802	0.433140	0.728495
HAP1_chr01	HAP2_chr02	33167423	33073539	9478348	56762614	0.833018	0.286584
HAP1_chr01	HAP2_chr03	33167423	26828717	8246827	51749313	0.840639	0.307388
HAP1_chr01	HAP2_chr04	33167423	28640897	8442038	53366282	0.841810	0.294755
HAP1_chr01	HAP2_chr05	33167423	28186522	8394345	52959600	0.841495	0.297814
HAP1_chr01	HAP2_chr06	33167423	25664743	7853005	50979161	0.845957	0.305984
HAP1_chr01	HAP2_chr07	33167423	25821481	7783223	51205681	0.848001	0.301424
HAP1_chr01	HAP2_chr08	33167423	25079853	7898006	50349270	0.843136	0.314914
HAP1_chr01	HAP2_chr09	33167423	24512195	7568377	50111241	0.848968	0.308760
HAP1_chr01	HAP2_chr10	33167423	22906993	7266389	48808027	0.851123	0.317213
HAP1_chr01	HAP2_chr11	33167423	23719169	7421139	49465453	0.849973	0.312875
HAP1_chr01	HAP3_chr01	33167423	33658636	23779353	43046706	0.447592	0.716949
HAP1_chr01	HAP3_chr02	33167423	33170979	9443404	56894998	0.834020	0.284719
HAP1_chr01	HAP3_chr03	33167423	26547863	8119021	51596265	0.842643	0.305826
HAP1_chr01	HAP3_chr04	33167423	28330687	8326640	53171470	0.843400	0.293909
HAP1_chr01	HAP3_chr05	33167423	27691526	8251017	52607932	0.843160	0.297962
HAP1_chr01	HAP3_chr06	33167423	25609482	7856238	50920667	0.845716	0.306771
HAP1_chr01	HAP3_chr07	33167423	26380859	8040494	51507788	0.843898	0.304785
HAP1_chr01	HAP3_chr08	33167423	25966901	8051977	51082347	0.842373	0.310086
HAP1_chr01	HAP3_chr09	33167423	25253452	7754547	50666328	0.846949	0.307069
HAP1_chr01	HAP3_chr10	33167423	23486954	7475739	49178638	0.847988	0.318293
HAP1_chr01	HAP3_chr11	33167423	22884473	7259934	48791962	0.851206	0.317243
HAP1_chr01	HAP4_chr01	33167423	33447820	23989764	42625479	0.437197	0.723293
HAP1_chr01	HAP4_chr02	33167423	33497177	9597771	57066829	0.831815	0.289373
HAP1_chr01	HAP4_chr03	33167423	26712570	8194733	51685260	0.841449	0.306774
HAP1_chr01	HAP4_chr04	33167423	28529521	8412402	53284542	0.842123	0.294867
HAP1_chr01	HAP4_chr05	33167423	27981533	8351965	52796991	0.841810	0.298481
HAP1_chr01	HAP4_chr06	33167423	26898629	8195810	51870242	0.841994	0.304692
HAP1_chr01	HAP4_chr07	33167423	25884630	7894742	51157311	0.845677	0.304997
HAP1_chr01	HAP4_chr08	33167423	24051497	7550493	49668427	0.847982	0.313930
HAP1_chr01	HAP4_chr09	33167423	24737561	7621265	50283719	0.848435	0.308085
HAP1_chr01	HAP4_chr10	33167423	22658244	7210017	48615650	0.851693	0.318207
HAP1_chr01	HAP4_chr11	33167423	23110457	7295793	48982087	0.851052	0.315692
HAP1_chr02	HAP1_chr03	32683527	27431484	8275020	51839991	0.840374	0.301661
HAP1_chr02	HAP1_chr04	32683527	28655126	8325328	53013325	0.842958	0.290535
HAP1_chr02	HAP1_chr05	32683527	27708185	8146013	52245699	0.844083	0.293993
HAP1_chr02	HAP1_chr06	32683527	26494879	8016488	51161918	0.843311	0.302567
HAP1_chr02	HAP1_chr07	32683527	25994701	7866031	50812197	0.845194	0.302601
HAP1_chr02	HAP1_chr08	32683527	25612866	7893389	50403004	0.843394	0.308181
HAP1_chr02	HAP1_chr09	32683527	25637798	7786304	50535021	0.845923	0.303704
HAP1_chr02	HAP1_chr10	32683527	23883247	7419916	49146858	0.849026	0.310675
HAP1_chr02	HAP1_chr11	32683527	23795843	7394115	49085255	0.849362	0.310731
HAP1_chr02	HAP2_chr01	32683527	33619673	9448873	56854327	0.833806	0.289102
HAP1_chr02	HAP2_chr02	32683527	33073539	23739485	42017581	0.435011	0.726344
HAP1_chr02	HAP2_chr03	32683527	26828717	8194947	51317297	0.840308	0.305454
HAP1_chr02	HAP2_chr04	32683527	28640897	8318311	53006113	0.843069	0.290435
HAP1_chr02	HAP2_chr05	32683527	28186522	8284624	52585425	0.842454	0.293921
HAP1_chr02	HAP2_chr06	32683527	25664743	7797941	50550329	0.845739	0.303839
HAP1_chr02	HAP2_chr07	32683527	25821481	7788297	50716711	0.846435	0.301621
HAP1_chr02	HAP2_chr08	32683527	25079853	7789986	49973394	0.844117	0.310607
HAP1_chr02	HAP2_chr09	32683527	24512195	7483146	49712576	0.849472	0.305283
HAP1_chr02	HAP2_chr10	32683527	22906993	7159545	48430975	0.852170	0.312548
HAP1_chr02	HAP2_chr11	32683527	23719169	7403875	48998821	0.848897	0.312147
HAP1_chr02	HAP3_chr01	32683527	33658636	9482906	56859257	0.833221	0.290143
HAP1_chr02	HAP3_chr02	32683527	33170979	23692112	42162394	0.438075	0.724895
HAP1_chr02	HAP3_chr03	32683527	26547863	7993650	51237740	0.843989	0.301103
HAP1_chr02	HAP3_chr04	32683527	28330687	8197848	52816366	0.844786	0.289363
HAP1_chr02	HAP3_chr05	32683527	27691526	8148602	52226451	0.843976	0.294263
HAP1_chr02	HAP3_chr06	32683527	25609482	7774587	50518422	0.846104	0.303582
HAP1_chr02	HAP3_chr07	32683527	26380859	7977691	51086695	0.843840	0.302405
HAP1_chr02	HAP3_chr08	32683527	25966901	8003205	50647223	0.841981	0.308208
HAP1_chr02	HAP3_chr09	32683527	25253452	7653150	50283829	0.847801	0.303054
HAP1_chr02	HAP3_chr10	32683527	23486954	7371144	48799337	0.848950	0.313840
HAP1_chr02	HAP3_chr11	32683527	22884473	7184358	48383642	0.851513	0.313940
HAP1_chr02	HAP4_chr01	32683527	33447820	9443213	56688134	0.833418	0.288929
HAP1_chr02	HAP4_chr02	32683527	33497177	23605299	42575405	0.445565	0.722238
HAP1_chr02	HAP4_chr03	32683527	26712570	8076324	51319773	0.842627	0.302342
HAP1_chr02	HAP4_chr04	32683527	28529521	8306802	52906246	0.842990	0.291165
HAP1_chr02	HAP4_chr05	32683527	27981533	8210979	52454081	0.843463	0.293443
HAP1_chr02	HAP4_chr06	32683527	26898629	8070998	51511158	0.843316	0.300052
HAP1_chr02	HAP4_chr07	32683527	25884630	7820002	50748155	0.845906	0.302110
HAP1_chr02	HAP4_chr08	32683527	24051497	7427392	49307632	0.849366	0.308812
HAP1_chr02	HAP4_chr09	32683527	24737561	7513771	49907317	0.849446	0.303739
HAP1_chr02	HAP4_chr10	32683527	22658244	7103465	48238306	0.852742	0.313505
HAP1_chr02	HAP4_chr11	32683527	23110457	7211096	48582888	0.851571	0.312027
HAP1_chr03	HAP1_chr04	27431484	28655126	7459352	48627258	0.846601	0.271927
HAP1_chr03	HAP1_chr05	27431484	27708185	7256229	47883440	0.848461	0.264522
HAP1_chr03	HAP1_chr06	27431484	26494879	7215296	46711067	0.845533	0.272328
HAP1_chr03	HAP1_chr07	27431484	25994701	7039233	46386952	0.848250	0.270795
HAP1_chr03	HAP1_chr08	27431484	25612866	7075329	45969021	0.846085	0.276241
HAP1_chr03	HAP1_chr09	27431484	25637798	6974038	46095244	0.848704	0.272022
HAP1_chr03	HAP1_chr10	27431484	23883247	6702065	44612666	0.849772	0.280618
HAP1_chr03	HAP1_chr11	27431484	23795843	6682624	44544703	0.849979	0.280832
HAP1_chr03	HAP2_chr01	27431484	33619673	8437778	52613379	0.839627	0.307595
HAP1_chr03	HAP2_chr02	27431484	33073539	8298510	52206513	0.841045	0.302518
HAP1_chr03	HAP2_chr03	27431484	26828717	18100745	36159456	0.499419	0.674678
HAP1_chr03	HAP2_chr04	27431484	28640897	7456885	48615496	0.846615	0.271837
HAP1_chr03	HAP2_chr05	27431484	28186522	7386209	48231797	0.846860	0.269260
HAP1_chr03	HAP2_chr06	27431484	25664743	7007978	46088249	0.847944	0.273059
HAP1_chr03	HAP2_chr07	27431484	25821481	7011595	46241370	0.848370	0.271541
HAP1_chr03	HAP2_chr08	27431484	25079853	7007594	45503743	0.846000	0.279411
HAP1_chr03	HAP2_chr09	27431484	24512195	6722564	45221115	0.851340	0.274254
HAP1_chr03	HAP2_chr10	27431484	22906993	6413014	43925463	0.854002	0.279959
HAP1_chr03	HAP2_chr11	27431484	23719169	6582301	44568352	0.852310	0.277510
HAP1_chr03	HAP3_chr01	27431484	33658636	8430101	52660019	0.839915	0.307315
HAP1_chr03	HAP3_chr02	27431484	33170979	8339714	52262749	0.840427	0.304020
HAP1_chr03	HAP3_chr03	27431484	26547863	17681199	36298148	0.512890	0.666012
