,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13
HAP1_chr01,0.000000,0.088503,0.087622,0.093821,0.090810,0.091057,0.097108,0.099529,0.101219,0.097784,0.109613,0.108728,0.108001
HAP1_chr02,0.088503,0.000000,0.089010,0.095150,0.091203,0.090912,0.098020,0.100444,0.102215,0.098972,0.109861,0.108495,0.107722
HAP1_chr03,0.087622,0.089010,0.000000,0.093791,0.090446,0.090807,0.097846,0.099720,0.101970,0.097939,0.109792,0.107807,0.107096
HAP1_chr04,0.093821,0.095150,0.093791,0.000000,0.095934,0.095993,0.102044,0.102007,0.105291,0.102588,0.111971,0.110992,0.110159
HAP1_chr05,0.090810,0.091203,0.090446,0.095934,0.000000,0.091983,0.098008,0.098102,0.100351,0.098051,0.106957,0.105087,0.105914
HAP1_chr06,0.091057,0.090912,0.090807,0.095993,0.091983,0.000000,0.098074,0.098297,0.101399,0.098891,0.108079,0.107134,0.105796
HAP1_chr07,0.097108,0.098020,0.097846,0.102044,0.098008,0.098074,0.000000,0.102825,0.106214,0.103121,0.111414,0.110319,0.109940
HAP1_chr08,0.099529,0.100444,0.099720,0.102007,0.098102,0.098297,0.102825,0.000000,0.104061,0.102721,0.107380,0.108025,0.106612
HAP1_chr09,0.101219,0.102215,0.101970,0.105291,0.100351,0.101399,0.106214,0.104061,0.000000,0.103920,0.111131,0.110596,0.110221
HAP1_chr10,0.097784,0.098972,0.097939,0.102588,0.098051,0.098891,0.103121,0.102721,0.103920,0.000000,0.108230,0.107381,0.106266
HAP1_chr11,0.109613,0.109861,0.109792,0.111971,0.106957,0.108079,0.111414,0.107380,0.111131,0.108230,0.000000,0.113241,0.111151
HAP1_chr12,0.108728,0.108495,0.107807,0.110992,0.105087,0.107134,0.110319,0.108025,0.110596,0.107381,0.113241,0.000000,0.110367
HAP1_chr13,0.108001,0.107722,0.107096,0.110159,0.105914,0.105796,0.109940,0.106612,0.110221,0.106266,0.111151,0.110367,0.000000
