,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP1_chr19,HAP1_chr20,HAP1_chr21,HAP1_chr22,HAP1_chr23,HAP1_chr24,HAP1_chr25,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr09,HAP2_chr10,HAP2_chr12,HAP2_chr13,HAP2_chr17,HAP2_chr18,HAP2_chr21,HAP2_chr24,HAP2_chr25,HAP3_chr01,HAP3_chr02,HAP3_chr03,HAP3_chr04,HAP3_chr05,HAP3_chr06,HAP3_chr07,HAP3_chr08,HAP3_chr09,HAP3_chr10,HAP3_chr11,HAP3_chr12,HAP3_chr13,HAP3_chr14,HAP3_chr15,HAP3_chr16,HAP3_chr17,HAP3_chr18,HAP3_chr19,HAP3_chr20,HAP3_chr21,HAP3_chr22,HAP3_chr23,HAP3_chr24,HAP3_chr25,HAP4_chr01,HAP4_chr02,HAP4_chr03,HAP4_chr05,HAP4_chr06,HAP4_chr07,HAP4_chr09,HAP4_chr10,HAP4_chr12,HAP4_chr13,HAP4_chr17,HAP4_chr18,HAP4_chr21,HAP4_chr24,HAP4_chr25
HAP1_chr01,0.000000,0.131751,0.126284,0.128486,0.128651,0.132283,0.129037,0.132138,0.130104,0.137925,0.135317,0.134195,0.136412,0.134822,0.131550,0.130188,0.132726,0.128074,0.127209,0.131845,0.136509,0.124732,0.133009,0.136612,0.134928,0.017623,0.130123,0.126832,0.128000,0.131922,0.128148,0.130130,0.139560,0.134096,0.137699,0.134987,0.127487,0.133448,0.136513,0.133802,0.018483,0.129533,0.127696,0.128338,0.128109,0.132335,0.128446,0.132915,0.131421,0.139976,0.133937,0.133693,0.137305,0.135044,0.130990,0.129941,0.135758,0.127821,0.127713,0.131994,0.134182,0.126957,0.132587,0.135992,0.135238,0.018503,0.129961,0.126463,0.128068,0.131173,0.127849,0.131187,0.140277,0.134035,0.135403,0.132511,0.128200,0.133972,0.135958,0.134477
HAP1_chr02,0.131751,0.000000,0.127634,0.130342,0.129316,0.133142,0.130737,0.131638,0.130950,0.137694,0.134232,0.134759,0.135735,0.134981,0.131807,0.129838,0.134290,0.128439,0.128167,0.131696,0.136764,0.126679,0.133338,0.135834,0.133949,0.130594,0.017577,0.129742,0.129113,0.132232,0.130166,0.131502,0.138297,0.133832,0.137533,0.135695,0.128709,0.133279,0.134287,0.134183,0.129418,0.017437,0.129720,0.129229,0.128891,0.131807,0.130282,0.133137,0.132329,0.138241,0.133395,0.134426,0.135600,0.135351,0.132161,0.129879,0.135076,0.128133,0.128061,0.132948,0.134070,0.128509,0.132716,0.135486,0.135506,0.130324,0.017819,0.128997,0.129129,0.132077,0.129663,0.131657,0.137575,0.133943,0.134398,0.133062,0.128892,0.131820,0.134533,0.131681
HAP1_chr03,0.126284,0.127634,0.000000,0.122852,0.122251,0.128565,0.123723,0.128163,0.126408,0.134531,0.131156,0.132846,0.133205,0.130765,0.127704,0.126030,0.128769,0.123768,0.124131,0.127875,0.132846,0.118313,0.129115,0.133910,0.129774,0.125305,0.124120,0.018262,0.122630,0.128378,0.123328,0.126003,0.136249,0.131469,0.136158,0.131455,0.123836,0.130736,0.133188,0.130207,0.124126,0.125715,0.016999,0.122293,0.122418,0.127926,0.123201,0.129257,0.128520,0.136588,0.130619,0.132757,0.134490,0.132146,0.127273,0.125904,0.132149,0.124465,0.124971,0.128774,0.131822,0.122316,0.128281,0.133898,0.132509,0.124756,0.123269,0.018599,0.122837,0.128322,0.122784,0.127887,0.136729,0.132115,0.131818,0.128512,0.124726,0.129655,0.133266,0.129349
HAP1_chr04,0.128486,0.130342,0.122852,0.000000,0.127722,0.130450,0.126445,0.129064,0.128226,0.135025,0.128135,0.132628,0.134644,0.132335,0.127310,0.128020,0.129820,0.125623,0.125555,0.129071,0.132959,0.119327,0.128356,0.132401,0.130496,0.128150,0.127472,0.123584,0.125876,0.129410,0.126495,0.127649,0.137672,0.131056,0.135593,0.131995,0.124784,0.130043,0.131885,0.129423,0.125879,0.128246,0.124269,0.010849,0.127095,0.128882,0.127276,0.128761,0.128812,0.136401,0.128927,0.131522,0.136051,0.133256,0.127829,0.127313,0.133032,0.123554,0.126095,0.129704,0.131811,0.120672,0.126666,0.132762,0.131464,0.126800,0.127202,0.123625,0.127014,0.129300,0.126109,0.128597,0.136236,0.132062,0.132778,0.128333,0.124104,0.129608,0.131555,0.129407
HAP1_chr05,0.128651,0.129316,0.122251,0.127722,0.000000,0.130021,0.125641,0.130400,0.127904,0.136418,0.133239,0.133511,0.133875,0.132595,0.130623,0.128280,0.131137,0.126239,0.125236,0.129601,0.134562,0.123582,0.130239,0.135862,0.129526,0.126815,0.124521,0.124169,0.016273,0.129659,0.125248,0.128145,0.137712,0.131929,0.135522,0.132449,0.126825,0.131319,0.134779,0.132638,0.126049,0.125729,0.125271,0.126813,0.016148,0.129165,0.123416,0.131465,0.129146,0.138190,0.131419,0.132227,0.134539,0.134339,0.130035,0.127398,0.133194,0.126102,0.125529,0.130426,0.132321,0.126253,0.131755,0.135248,0.132854,0.126764,0.123990,0.124120,0.016126,0.129555,0.124894,0.128443,0.137498,0.131959,0.132806,0.129978,0.127359,0.131051,0.134220,0.132112
HAP1_chr06,0.132283,0.133142,0.128565,0.130450,0.130021,0.000000,0.130905,0.133870,0.131280,0.138590,0.134475,0.136172,0.137764,0.136014,0.132988,0.131852,0.133275,0.129752,0.128743,0.133435,0.136905,0.126935,0.133408,0.136952,0.135634,0.130628,0.131632,0.129151,0.129776,0.015354,0.131119,0.132354,0.140065,0.135006,0.138289,0.135098,0.129511,0.134270,0.136921,0.135142,0.130308,0.132333,0.130659,0.130873,0.130579,0.015294,0.131433,0.134057,0.133278,0.139698,0.132878,0.135492,0.137586,0.136485,0.132469,0.131687,0.133953,0.129732,0.129151,0.133733,0.134630,0.129035,0.133686,0.137130,0.135424,0.130629,0.130732,0.129096,0.129909,0.015758,0.130576,0.133152,0.140233,0.135084,0.137760,0.132159,0.129662,0.133717,0.137241,0.134336
HAP1_chr07,0.129037,0.130737,0.123723,0.126445,0.125641,0.130905,0.000000,0.130937,0.128903,0.138248,0.134671,0.134759,0.135790,0.134593,0.131353,0.129242,0.132999,0.126284,0.126488,0.130930,0.135751,0.123151,0.132236,0.136450,0.133738,0.127401,0.128204,0.123725,0.125732,0.130761,0.015993,0.127940,0.139759,0.133401,0.137231,0.134487,0.126486,0.132840,0.135295,0.133773,0.126423,0.129414,0.125112,0.126571,0.125890,0.130007,0.015799,0.132259,0.129386,0.139803,0.133640,0.134172,0.136890,0.135908,0.131164,0.128069,0.134871,0.126477,0.126561,0.131628,0.134602,0.126255,0.131962,0.136470,0.134704,0.127608,0.128298,0.124767,0.126157,0.130585,0.015983,0.129444,0.140293,0.134333,0.135389,0.131658,0.127868,0.132335,0.134776,0.133014
HAP1_chr08,0.132138,0.131638,0.128163,0.129064,0.130400,0.133870,0.130937,0.000000,0.132226,0.137858,0.135364,0.135677,0.134751,0.135349,0.132162,0.131289,0.133768,0.127961,0.128095,0.132284,0.135924,0.126395,0.133141,0.135866,0.134864,0.131297,0.130991,0.129588,0.129734,0.133195,0.130250,0.132034,0.139571,0.135793,0.136688,0.135155,0.124479,0.133948,0.135870,0.133793,0.130702,0.131868,0.130132,0.127927,0.130601,0.132831,0.131497,0.010091,0.132437,0.138469,0.134349,0.135043,0.136379,0.136014,0.131458,0.130588,0.134496,0.127967,0.129125,0.133478,0.133731,0.128327,0.132712,0.136036,0.135089,0.131550,0.130667,0.128552,0.130143,0.133168,0.131338,0.132814,0.138805,0.134972,0.135827,0.132925,0.128903,0.133152,0.135585,0.131864
HAP1_chr09,0.130104,0.130950,0.126408,0.128226,0.127904,0.131280,0.128903,0.132226,0.000000,0.137488,0.134001,0.133959,0.135205,0.134508,0.130509,0.130047,0.133656,0.127802,0.127036,0.130923,0.135525,0.125688,0.132495,0.135496,0.134076,0.128732,0.129863,0.127620,0.128083,0.131520,0.128337,0.017107,0.138273,0.133428,0.137308,0.134081,0.127402,0.132320,0.135042,0.132767,0.128278,0.129784,0.127786,0.127793,0.128158,0.131687,0.129238,0.132682,0.016637,0.139655,0.132428,0.133740,0.136652,0.135614,0.130960,0.129414,0.134919,0.127639,0.127216,0.131390,0.133611,0.127547,0.132218,0.135198,0.133504,0.128000,0.129070,0.126905,0.127457,0.131435,0.128267,0.016467,0.139862,0.133559,0.134901,0.132558,0.128056,0.131720,0.134457,0.132902
HAP1_chr10,0.137925,0.137694,0.134531,0.135025,0.136418,0.138590,0.138248,0.137858,0.137488,0.000000,0.137930,0.140243,0.139647,0.138479,0.136415,0.137638,0.139065,0.135876,0.135514,0.137585,0.140254,0.131847,0.137362,0.139937,0.136515,0.137776,0.135781,0.134376,0.136304,0.138698,0.137835,0.137918,0.015675,0.140734,0.139892,0.140115,0.136399,0.138879,0.140426,0.136397,0.137477,0.136811,0.135709,0.134092,0.136895,0.138112,0.137627,0.138766,0.138137,0.016407,0.137139,0.140383,0.139984,0.139647,0.137057,0.137302,0.138069,0.136562,0.135704,0.138171,0.139049,0.133660,0.137192,0.140486,0.136160,0.138229,0.136089,0.133166,0.136399,0.139029,0.137545,0.136979,0.016748,0.139457,0.138116,0.136499,0.136081,0.137226,0.140982,0.136147
HAP1_chr11,0.135317,0.134232,0.131156,0.128135,0.133239,0.134475,0.134671,0.135364,0.134001,0.137930,0.000000,0.137454,0.138124,0.136747,0.134743,0.134075,0.134869,0.132449,0.132142,0.133524,0.137548,0.127635,0.133895,0.137870,0.135352,0.133777,0.133382,0.130940,0.132503,0.135445,0.133585,0.134276,0.141018,0.137301,0.139999,0.137547,0.132561,0.135330,0.137602,0.134487,0.133482,0.133993,0.131912,0.128045,0.133634,0.134766,0.134754,0.135895,0.134766,0.140066,0.015034,0.136684,0.139078,0.137530,0.134295,0.133608,0.137642,0.132084,0.131687,0.134269,0.135490,0.128953,0.133793,0.138775,0.135716,0.133801,0.133809,0.131945,0.132513,0.134763,0.133996,0.134059,0.140293,0.137264,0.136972,0.134330,0.132617,0.135327,0.136646,0.135354
HAP1_chr12,0.134195,0.134759,0.132846,0.132628,0.133511,0.136172,0.134759,0.135677,0.133959,0.140243,0.137454,0.000000,0.138410,0.138812,0.133974,0.134281,0.136890,0.131934,0.130704,0.135007,0.137791,0.129992,0.135232,0.136981,0.136698,0.134123,0.133118,0.132712,0.133272,0.136385,0.134711,0.134225,0.140591,0.016485,0.140350,0.137310,0.131926,0.135641,0.137430,0.135880,0.133591,0.133803,0.133753,0.132911,0.133196,0.135940,0.134643,0.136553,0.134591,0.140791,0.136280,0.017241,0.139681,0.138845,0.134382,0.133169,0.137947,0.132014,0.131275,0.135046,0.135787,0.131334,0.135378,0.137740,0.136350,0.133624,0.133534,0.132065,0.134016,0.135414,0.134293,0.134110,0.141331,0.016839,0.138367,0.136775,0.132326,0.135588,0.138052,0.136306
HAP1_chr13,0.136412,0.135735,0.133205,0.134644,0.133875,0.137764,0.135790,0.134751,0.135205,0.139647,0.138124,0.138410,0.000000,0.138907,0.135037,0.135109,0.137081,0.134521,0.132703,0.135258,0.139559,0.130800,0.136989,0.139133,0.138319,0.135459,0.134263,0.133913,0.133877,0.137289,0.135265,0.136212,0.141081,0.138706,0.014567,0.138796,0.134228,0.137717,0.139005,0.136868,0.134641,0.134717,0.134683,0.134224,0.135098,0.135811,0.135841,0.135345,0.136059,0.141637,0.136149,0.137618,0.014697,0.139252,0.135541,0.134338,0.138314,0.133941,0.132918,0.136115,0.137909,0.132836,0.136011,0.138739,0.137518,0.135489,0.134708,0.132795,0.133955,0.137003,0.135617,0.136725,0.139713,0.137668,0.014716,0.136134,0.134671,0.137120,0.138107,0.135927
HAP1_chr14,0.134822,0.134981,0.130765,0.132335,0.132595,0.136014,0.134593,0.135349,0.134508,0.138479,0.136747,0.138812,0.138907,0.000000,0.135196,0.134637,0.135417,0.133380,0.131035,0.135310,0.139447,0.129502,0.135082,0.139370,0.136130,0.134693,0.133454,0.131362,0.133466,0.136657,0.135321,0.135255,0.140119,0.137459,0.139826,0.138502,0.132857,0.135808,0.137566,0.136705,0.133611,0.134303,0.133234,0.131952,0.133703,0.135420,0.134818,0.136341,0.135531,0.140435,0.135713,0.137231,0.139222,0.015466,0.135656,0.134475,0.137904,0.133531,0.132529,0.135719,0.136964,0.130796,0.134733,0.138380,0.136701,0.133935,0.132389,0.130946,0.134193,0.136143,0.134280,0.135642,0.138179,0.138190,0.136883,0.133620,0.132468,0.136655,0.138107,0.135792
HAP1_chr15,0.131550,0.131807,0.127704,0.127310,0.130623,0.132988,0.131353,0.132162,0.130509,0.136415,0.134743,0.133974,0.135037,0.135196,0.000000,0.129575,0.133602,0.129287,0.129145,0.130866,0.134865,0.126035,0.131897,0.135542,0.132890,0.131584,0.130368,0.128892,0.129312,0.131523,0.131300,0.130950,0.138351,0.133661,0.137858,0.133759,0.128665,0.131993,0.134219,0.132475,0.129747,0.131122,0.129717,0.127796,0.130219,0.132377,0.130716,0.132203,0.131757,0.137622,0.133286,0.134583,0.137322,0.135298,0.012658,0.129888,0.135581,0.128892,0.128489,0.131594,0.134403,0.127320,0.131897,0.135526,0.133187,0.130736,0.129780,0.128530,0.130829,0.132757,0.131807,0.131172,0.139254,0.134507,0.135187,0.132683,0.129284,0.132570,0.134117,0.132193
