chrom	n_haplotype_copies	haplotype_labels
chr01	4	HAP1,HAP2,HAP3,HAP4
chr02	4	HAP1,HAP2,HAP3,HAP4
chr03	4	HAP1,HAP2,HAP3,HAP4
chr04	2	HAP1,HAP3
chr05	4	HAP1,HAP2,HAP3,HAP4
chr06	4	HAP1,HAP2,HAP3,HAP4
chr07	4	HAP1,HAP2,HAP3,HAP4
chr08	2	HAP1,HAP3
chr09	4	HAP1,HAP2,HAP3,HAP4
chr10	4	HAP1,HAP2,HAP3,HAP4
chr11	2	HAP1,HAP3
chr12	4	HAP1,HAP2,HAP3,HAP4
chr13	4	HAP1,HAP2,HAP3,HAP4
chr14	2	HAP1,HAP3
chr15	2	HAP1,HAP3
chr16	2	HAP1,HAP3
chr17	4	HAP1,HAP2,HAP3,HAP4
chr18	4	HAP1,HAP2,HAP3,HAP4
chr19	2	HAP1,HAP3
chr20	2	HAP1,HAP3
chr21	4	HAP1,HAP2,HAP3,HAP4
chr22	2	HAP1,HAP3
chr23	2	HAP1,HAP3
chr24	4	HAP1,HAP2,HAP3,HAP4
chr25	4	HAP1,HAP2,HAP3,HAP4
