chrom	n_haplotype_copies	haplotype_labels
chr01	2	HAP1,HAP2
chr02	2	HAP1,HAP2
chr03	2	HAP1,HAP2
chr04	2	HAP1,HAP2
chr05	2	HAP1,HAP2
chr06	2	HAP1,HAP2
chr07	2	HAP1,HAP2
chr08	2	HAP1,HAP2
chr09	2	HAP1,HAP2
chr10	2	HAP1,HAP2
chr11	2	HAP1,HAP2
chr12	2	HAP1,HAP2
chr13	2	HAP1,HAP2
chr14	2	HAP1,HAP2
chr15	2	HAP1,HAP2
chr16	2	HAP1,HAP2
chr17	2	HAP1,HAP2
chr18	2	HAP1,HAP2
chr19	2	HAP1,HAP2
chr20	2	HAP1,HAP2
chr21	2	HAP1,HAP2
chr22	2	HAP1,HAP2
chr23	2	HAP1,HAP2
chr24	2	HAP1,HAP2
chr25	2	HAP1,HAP2
chr26	2	HAP1,HAP2
chr27	2	HAP1,HAP2
chr28	2	HAP1,HAP2
chr29	2	HAP1,HAP2
chr30	2	HAP1,HAP2
chr31	2	HAP1,HAP2
chr32	2	HAP1,HAP2
chr33	2	HAP1,HAP2
chr34	2	HAP1,HAP2
chr35	2	HAP1,HAP2
chr36	2	HAP1,HAP2
chr37	2	HAP1,HAP2
chr38	2	HAP1,HAP2
