,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP1_chr19,HAP1_chr20,HAP1_chr21,HAP1_chr22,HAP1_chr23,HAP1_chr24,HAP1_chr25,HAP1_chr26,HAP1_chr27,HAP1_chr28,HAP1_chr29,HAP1_chr30,HAP1_chr31,HAP1_chr32,HAP1_chr33,HAP1_chr34,HAP1_chr35,HAP1_chr36,HAP1_chr37,HAP1_chr38,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP2_chr18,HAP2_chr19,HAP2_chr20,HAP2_chr21,HAP2_chr22,HAP2_chr23,HAP2_chr24,HAP2_chr25,HAP2_chr26,HAP2_chr27,HAP2_chr28,HAP2_chr29,HAP2_chr30,HAP2_chr31,HAP2_chr32,HAP2_chr33,HAP2_chr34,HAP2_chr35,HAP2_chr36,HAP2_chr37,HAP2_chr38
HAP1_chr01,0.000000,0.074859,0.140250,0.143367,0.142926,0.144344,0.140643,0.142659,0.139370,0.143146,0.142653,0.143594,0.139614,0.142933,0.143092,0.143780,0.144265,0.145893,0.148935,0.146036,0.150162,0.142213,0.145962,0.144553,0.140290,0.144912,0.147088,0.149315,0.150845,0.149167,0.145512,0.151469,0.155231,0.152919,0.153469,0.157572,0.150837,0.152965,0.009171,0.075093,0.139793,0.143332,0.143237,0.143160,0.144414,0.143210,0.139241,0.142137,0.144645,0.142649,0.141758,0.143057,0.143174,0.144561,0.142935,0.146864,0.148658,0.145777,0.151966,0.141187,0.146004,0.149213,0.141296,0.144441,0.146783,0.149319,0.149267,0.149519,0.144385,0.151582,0.151893,0.152684,0.151489,0.157653,0.152168,0.153911
HAP1_chr02,0.074859,0.000000,0.142033,0.144431,0.145853,0.144571,0.142664,0.143797,0.138941,0.143549,0.143320,0.148147,0.143194,0.144486,0.145458,0.144164,0.145452,0.145412,0.148172,0.147236,0.148947,0.145871,0.146030,0.145977,0.143433,0.146656,0.149221,0.148562,0.151227,0.151879,0.146175,0.149973,0.155761,0.153514,0.153611,0.155347,0.151366,0.151545,0.075091,0.008875,0.140438,0.143374,0.147210,0.143922,0.143320,0.146956,0.140527,0.144491,0.144677,0.145849,0.143476,0.144206,0.144654,0.145705,0.145922,0.146302,0.147491,0.149060,0.151611,0.142383,0.146832,0.149266,0.144336,0.146952,0.148607,0.147827,0.149821,0.151096,0.144603,0.150352,0.151907,0.154305,0.153440,0.157372,0.152190,0.152559
HAP1_chr03,0.140250,0.142033,0.000000,0.134727,0.133241,0.137747,0.135636,0.136720,0.077733,0.135286,0.134156,0.136357,0.134320,0.137606,0.136807,0.136502,0.148432,0.147657,0.139940,0.148018,0.150344,0.143150,0.146394,0.135691,0.137574,0.144566,0.146534,0.148518,0.150399,0.148987,0.136042,0.150230,0.154647,0.152594,0.151110,0.156636,0.150933,0.151546,0.140444,0.141759,0.010618,0.137881,0.135726,0.136505,0.133834,0.137897,0.078964,0.135824,0.133395,0.138112,0.135286,0.138072,0.135027,0.137959,0.149885,0.148623,0.141545,0.148358,0.151663,0.140838,0.146562,0.139173,0.138635,0.146053,0.145657,0.148500,0.148975,0.148389,0.134698,0.150475,0.149419,0.151605,0.149908,0.153986,0.153744,0.155541
HAP1_chr04,0.143367,0.144431,0.134727,0.000000,0.131444,0.133174,0.131534,0.133704,0.134794,0.132756,0.130684,0.133733,0.133564,0.140197,0.129382,0.076992,0.149361,0.148355,0.136846,0.150331,0.152578,0.142909,0.146970,0.135419,0.140055,0.147903,0.147402,0.147712,0.148985,0.149082,0.132936,0.150550,0.153341,0.153020,0.151214,0.154039,0.150659,0.152652,0.143394,0.145941,0.134299,0.010088,0.133178,0.132620,0.132729,0.135691,0.136610,0.132039,0.132343,0.132968,0.135033,0.138859,0.129152,0.077807,0.148855,0.147735,0.138620,0.150843,0.152111,0.140146,0.147839,0.135826,0.140803,0.146143,0.146160,0.147857,0.147672,0.149226,0.132206,0.149489,0.150424,0.151314,0.147008,0.153861,0.152040,0.155648
HAP1_chr05,0.142926,0.145853,0.133241,0.131444,0.000000,0.132922,0.132276,0.126650,0.132103,0.131212,0.075899,0.128181,0.131877,0.137303,0.131735,0.131176,0.147968,0.149039,0.137214,0.146406,0.147529,0.140308,0.144980,0.134695,0.137904,0.143648,0.146179,0.147311,0.148032,0.146865,0.131479,0.146817,0.152609,0.151129,0.150035,0.151784,0.150104,0.148057,0.143906,0.145078,0.132484,0.133524,0.009613,0.131859,0.134053,0.128832,0.134036,0.130895,0.076350,0.128955,0.132513,0.137875,0.131415,0.134298,0.148400,0.149168,0.137001,0.148426,0.148146,0.137975,0.145410,0.134244,0.138736,0.144446,0.144108,0.146802,0.144822,0.146484,0.133486,0.149587,0.148971,0.151425,0.147479,0.151349,0.149924,0.150306
HAP1_chr06,0.144344,0.144571,0.137747,0.133174,0.132922,0.000000,0.132399,0.130601,0.133566,0.133317,0.132675,0.132639,0.078047,0.135229,0.132033,0.133976,0.148733,0.148614,0.137554,0.148275,0.147793,0.139437,0.148111,0.131853,0.141618,0.147433,0.147439,0.143395,0.149187,0.150135,0.137399,0.149984,0.154315,0.150120,0.149641,0.152835,0.149065,0.152240,0.144695,0.147323,0.136761,0.134782,0.135431,0.010817,0.133384,0.133853,0.133937,0.131752,0.134079,0.132287,0.078217,0.133557,0.132163,0.136684,0.148701,0.149975,0.137141,0.149113,0.150195,0.138090,0.147416,0.134976,0.142503,0.146742,0.146327,0.142219,0.146830,0.147914,0.137562,0.148318,0.149330,0.151720,0.148782,0.156009,0.152453,0.155128
HAP1_chr07,0.140643,0.142664,0.135636,0.131534,0.132276,0.132399,0.000000,0.129005,0.130846,0.131069,0.131119,0.130401,0.130450,0.137087,0.131520,0.134089,0.147200,0.150647,0.139329,0.147681,0.150826,0.142452,0.147335,0.077808,0.135785,0.145355,0.144601,0.149347,0.149265,0.147768,0.133094,0.148542,0.152544,0.154418,0.149871,0.153558,0.150841,0.151567,0.142768,0.142856,0.133665,0.133489,0.135045,0.131150,0.011673,0.134028,0.133078,0.131163,0.132311,0.129753,0.131518,0.135671,0.129820,0.137618,0.148974,0.148795,0.138343,0.149706,0.151940,0.139329,0.145738,0.078525,0.136524,0.145267,0.145024,0.147905,0.145897,0.148109,0.131947,0.146502,0.149504,0.151460,0.148161,0.154663,0.152402,0.154147
HAP1_chr08,0.142659,0.143797,0.136720,0.133704,0.126650,0.130601,0.129005,0.000000,0.131461,0.132953,0.126088,0.075356,0.134101,0.137055,0.128254,0.132014,0.147197,0.147685,0.137636,0.148450,0.146356,0.140570,0.144064,0.131904,0.141170,0.142921,0.144564,0.146526,0.145778,0.148215,0.131724,0.147154,0.149769,0.149240,0.149743,0.151626,0.148554,0.146910,0.142658,0.145123,0.134459,0.134508,0.129074,0.129585,0.130770,0.016397,0.132037,0.130600,0.126002,0.075734,0.136310,0.138423,0.128057,0.134098,0.149076,0.147324,0.137284,0.148315,0.146311,0.139410,0.146040,0.134178,0.139935,0.142839,0.143609,0.145662,0.144793,0.145411,0.131395,0.145157,0.147133,0.149475,0.148508,0.149883,0.149135,0.149260
HAP1_chr09,0.139370,0.138941,0.077733,0.134794,0.132103,0.133566,0.130846,0.131461,0.000000,0.133455,0.128840,0.136058,0.132581,0.135061,0.128967,0.134703,0.149025,0.148644,0.137469,0.147531,0.148860,0.142442,0.146712,0.131652,0.137398,0.145013,0.147128,0.145703,0.146518,0.149325,0.134853,0.148511,0.151574,0.152152,0.149158,0.152920,0.150812,0.150058,0.140605,0.140268,0.077651,0.136069,0.134379,0.132605,0.133608,0.132812,0.010645,0.133613,0.130499,0.136391,0.132294,0.136197,0.127773,0.137706,0.148827,0.149650,0.138158,0.148302,0.150689,0.140618,0.146389,0.135286,0.136780,0.145706,0.146126,0.143228,0.145994,0.144801,0.134763,0.147467,0.149702,0.149562,0.147324,0.155932,0.152808,0.154536
HAP1_chr10,0.143146,0.143549,0.135286,0.132756,0.131212,0.133317,0.131069,0.132953,0.133455,0.000000,0.128538,0.134812,0.134058,0.138170,0.130674,0.132672,0.142098,0.143881,0.075730,0.147138,0.150237,0.139929,0.145826,0.134723,0.140137,0.147378,0.145024,0.146942,0.148830,0.147292,0.134257,0.148443,0.152914,0.150973,0.149424,0.152422,0.150686,0.149374,0.143434,0.145561,0.133349,0.134839,0.134089,0.130810,0.133595,0.136215,0.135136,0.009357,0.131136,0.134206,0.135315,0.138485,0.129380,0.134122,0.143269,0.144449,0.076115,0.148245,0.150038,0.137644,0.146719,0.135396,0.140702,0.147429,0.143694,0.144796,0.147129,0.147211,0.133679,0.147270,0.150240,0.150592,0.147640,0.151487,0.151240,0.149396
