unit_a	unit_b	chrom	n_markers_a	n_markers_b	n_highcopy_a	n_highcopy_b
HAP1_chr01	HAP2_chr01	chr01	437	454	7867	7884
HAP1_chr02	HAP2_chr02	chr02	818	1420	6944	7545
HAP1_chr03	HAP2_chr03	chr03	5955	1699	11120	7464
HAP1_chr04	HAP2_chr04	chr04	7184	483	12114	7149
HAP1_chr05	HAP2_chr05	chr05	7329	2017	12891	7449
HAP1_chr06	HAP2_chr06	chr06	3896	2502	10518	9488
HAP1_chr07	HAP2_chr07	chr07	5019	1210	9079	6066
HAP1_chr08	HAP2_chr08	chr08	5066	6219	8426	9299
HAP1_chr09	HAP2_chr09	chr09	3589	1180	7704	5961
HAP1_chr10	HAP2_chr10	chr10	2905	1436	8901	7423
HAP1_chr11	HAP2_chr11	chr11	4750	1667	9107	5979
HAP1_chr12	HAP2_chr12	chr12	2250	2706	8576	8964
HAP1_chr13	HAP2_chr13	chr13	808	1534	8614	9175
HAP1_chr14	HAP2_chr14	chr14	2085	854	5248	4275
HAP1_chr15	HAP2_chr15	chr15	1587	3390	7578	9226
HAP1_chr16	HAP2_chr16	chr16	3163	1346	8773	7517
HAP1_chr17	HAP2_chr17	chr17	131	230	3615	3707
HAP1_chr18	HAP2_chr18	chr18	458	191	4281	4087
HAP1_chr19	HAP2_chr19	chr19	2633	4272	7966	8213
HAP1_chr20	HAP2_chr20	chr20	206	216	3869	3879
HAP1_chr21	HAP2_chr21	chr21	261	117	4004	3860
HAP1_chr22	HAP2_chr22	chr22	221	175	3338	3283
HAP1_chr23	HAP2_chr23	chr23	576	226	4037	3766
HAP1_chr24	HAP2_chr24	chr24	1151	1082	8992	8787
HAP1_chr25	HAP2_chr25	chr25	2046	180	5147	3486
HAP1_chr26	HAP2_chr26	chr26	922	278	3652	3269
HAP1_chr27	HAP2_chr27	chr27	348	369	4232	4210
HAP1_chr28	HAP2_chr28	chr28	125	169	2569	2620
HAP1_chr29	HAP2_chr29	chr29	509	136	2612	2404
HAP1_chr30	HAP2_chr30	chr30	117	127	2205	2215
HAP1_chr31	HAP2_chr31	chr31	874	1638	4488	5116
HAP1_chr32	HAP2_chr32	chr32	101	146	1862	1914
HAP1_chr33	HAP2_chr33	chr33	84	193	1858	1960
HAP1_chr34	HAP2_chr34	chr34	152	73	1919	1833
HAP1_chr35	HAP2_chr35	chr35	65	158	1723	1805
HAP1_chr36	HAP2_chr36	chr36	115	129	1554	1575
HAP1_chr37	HAP2_chr37	chr37	115	38	1340	1256
HAP1_chr38	HAP2_chr38	chr38	70	65	1237	1225
