unit_a	unit_b	chrom	n_markers_a	n_markers_b	n_highcopy_a	n_highcopy_b
HAP1_chr01	HAP2_chr01	chr01	83995	55391	1082748	1054687
HAP1_chr02	HAP2_chr02	chr02	42681	86625	956260	1001718
HAP1_chr03	HAP2_chr03	chr03	65689	55995	930935	921729
HAP1_chr04	HAP2_chr04	chr04	50756	91348	931368	971561
HAP1_chr05	HAP2_chr05	chr05	60319	49526	887989	877008
HAP1_chr06	HAP2_chr06	chr06	83525	28800	865968	812920
HAP1_chr07	HAP2_chr07	chr07	46125	55333	797181	806989
HAP1_chr08	HAP2_chr08	chr08	34652	75443	774393	813720
HAP1_chr09	HAP2_chr09	chr09	41614	47345	782490	787499
HAP1_chr10	HAP2_chr10	chr10	41895	57037	762992	777350
HAP1_chr11	HAP2_chr11	chr11	64142	31052	740187	706878
HAP1_chr12	HAP2_chr12	chr12	80688	30199	725997	675646
HAP1_chr13	HAP2_chr13	chr13	45517	35669	723163	712935
HAP1_chr14	HAP2_chr14	chr14	22994	77206	703255	756900
HAP1_chr15	HAP2_chr15	chr15	56352	36494	695288	679586
HAP1_chr16	HAP2_chr16	chr16	54741	27436	693428	666300
