unit_a	unit_b	chrom	n_markers_a	n_markers_b	n_highcopy_a	n_highcopy_b
HAP1_chr01	HAP2_chr01	chr01	1409	938	21034	20558
HAP1_chr02	HAP2_chr02	chr02	461	1728	12421	13415
HAP1_chr03	HAP2_chr03	chr03	1341	5778	12550	15421
HAP1_chr04	HAP2_chr04	chr04	1444	916	11293	11068
HAP1_chr05	HAP2_chr05	chr05	2747	252	10283	7886
HAP1_chr06	HAP2_chr06	chr06	746	4004	14433	17414
HAP1_chr07	HAP2_chr07	chr07	461	2401	9459	11238
HAP1_chr08	HAP2_chr08	chr08	1165	1457	10481	10650
HAP1_chr09	HAP2_chr09	chr09	216	1909	8268	9802
HAP1_chr10	HAP2_chr10	chr10	370	1881	7564	8579
HAP1_chr11	HAP2_chr11	chr11	312	490	7386	7564
HAP1_chr12	HAP2_chr12	chr12	1056	2126	7480	8873
HAP1_chr13	HAP2_chr13	chr13	318	1856	6091	7206
HAP1_chr14	HAP2_chr14	chr14	835	284	6285	5917
HAP1_chr15	HAP2_chr15	chr15	253	299	5809	5856
HAP1_chr16	HAP2_chr16	chr16	250	1093	5713	6506
HAP1_chr17	HAP2_chr17	chr17	608	1595	6383	7440
HAP1_chr18	HAP2_chr18	chr18	572	1945	6039	7401
HAP1_chr19	HAP2_chr19	chr19	193	2296	4893	7014
HAP1_chr20	HAP2_chr20	chr20	336	129	1566	1350
HAP1_chr21	HAP2_chr21	chr21	67	335	1607	1839
