chrom_a	chrom_b	distance	z_score	p_value	q_value	accepted
chr33	chr34	0.069869	-14.584	0	0	True
chr35	chr36	0.070937	-14.385	0	0	True
chr23	chr26	0.071125	-14.350	0	0	True
chr37	chr38	0.071655	-14.251	0	0	True
chr27	chr29	0.072575	-14.080	0	0	True
chr17	chr18	0.072756	-14.046	0	0	True
chr30	chr32	0.073040	-13.993	0	0	True
chr20	chr21	0.073226	-13.958	0	0	True
chr22	chr28	0.073928	-13.827	0	0	True
chr01	chr02	0.075007	-13.626	0	0	True
chr08	chr12	0.075557	-13.524	0	0	True
chr14	chr25	0.075735	-13.491	0	0	True
chr10	chr19	0.075948	-13.451	0	0	True
chr05	chr11	0.076361	-13.374	0	0	True
chr04	chr16	0.077354	-13.189	0	0	True
chr06	chr13	0.077937	-13.080	0	0	True
chr07	chr24	0.078165	-13.038	0	0	True
chr03	chr09	0.078182	-13.035	0	0	True
chr15	chr31	0.080624	-12.579	0	0	True
chr08	chr11	0.127239	-3.892	4.97514e-05	0.00174876	False
chr05	chr08	0.128609	-3.636	0.000138248	0.00462801	False
chr05	chr12	0.128871	-3.588	0.000166928	0.00533412	False
chr10	chr15	0.129379	-3.493	0.000238841	0.00730022	False
chr11	chr12	0.129748	-3.424	0.000308466	0.00903549	False
chr08	chr15	0.130014	-3.374	0.00036977	0.0103979	False
chr04	chr15	0.130077	-3.363	0.000385796	0.0104313	False
chr09	chr15	0.130172	-3.345	0.000411287	0.0107087	False
chr10	chr11	0.130259	-3.329	0.000436068	0.0109484	False
chr09	chr11	0.130628	-3.260	0.000556865	0.0134992	False
chr11	chr15	0.130777	-3.232	0.000613824	0.0143839	False
chr07	chr13	0.131120	-3.168	0.000766264	0.0173769	False
chr06	chr15	0.131339	-3.127	0.000881506	0.0193656	False
chr15	chr16	0.131423	-3.112	0.000929325	0.0197974	False
chr07	chr15	0.131504	-3.097	0.000978132	0.0202243	False
chr06	chr10	0.131605	-3.078	0.00104208	0.0209309	False
chr08	chr31	0.131704	-3.060	0.00110812	0.0216391	False
chr06	chr08	0.131863	-3.030	0.00122304	0.0232378	False
chr06	chr12	0.131976	-3.009	0.0013115	0.0242627	False
chr06	chr07	0.132025	-3.000	0.00135125	0.0243572	False
chr07	chr12	0.132154	-2.976	0.00146161	0.0256877	False
chr08	chr09	0.132386	-2.933	0.00168118	0.0284532	False
chr07	chr10	0.132442	-2.922	0.00173934	0.0284532	False
chr05	chr10	0.132443	-2.922	0.00174038	0.0284532	False
chr07	chr11	0.132712	-2.872	0.00204162	0.0320171	False
chr06	chr24	0.132719	-2.870	0.00204946	0.0320171	False
chr07	chr09	0.132787	-2.858	0.00213312	0.0325997	False
chr05	chr15	0.132875	-2.841	0.00224697	0.0329328	False
chr15	chr24	0.132877	-2.841	0.00224861	0.0329328	False
chr07	chr08	0.132932	-2.831	0.00232195	0.0333129	False
chr04	chr31	0.133003	-2.817	0.00242088	0.0335994	False
chr06	chr11	0.133047	-2.809	0.00248341	0.0335994	False
chr04	chr11	0.133053	-2.808	0.00249097	0.0335994	False
chr05	chr13	0.133082	-2.803	0.0025331	0.0335994	False
chr04	chr07	0.133223	-2.776	0.00274803	0.0354994	False
chr05	chr06	0.133252	-2.771	0.00279446	0.0354994	False
chr04	chr05	0.133273	-2.767	0.00282783	0.0354994	False
chr09	chr13	0.133408	-2.742	0.0030534	0.0376586	False
chr03	chr11	0.133484	-2.728	0.00318765	0.0380557	False
chr04	chr10	0.133552	-2.715	0.00331318	0.0380557	False
chr12	chr15	0.133557	-2.714	0.00332251	0.0380557	False
chr07	chr31	0.133627	-2.701	0.00345425	0.0380557	False
chr13	chr31	0.133630	-2.701	0.00346152	0.0380557	False
chr06	chr09	0.133643	-2.698	0.00348632	0.0380557	False
chr04	chr12	0.133643	-2.698	0.00348681	0.0380557	False
chr05	chr31	0.133660	-2.695	0.00351866	0.0380557	False
chr10	chr16	0.133721	-2.684	0.00364058	0.0383749	False
chr04	chr06	0.133729	-2.682	0.00365735	0.0383749	False
chr16	chr31	0.133756	-2.677	0.00371274	0.0383832	False
chr08	chr10	0.133794	-2.670	0.00379092	0.0384889	False
chr10	chr31	0.133820	-2.665	0.00384705	0.0384889	False
chr11	chr16	0.133839	-2.662	0.00388721	0.0384889	False
chr12	chr13	0.133912	-2.648	0.00404719	0.0395163	False
chr06	chr16	0.133966	-2.638	0.00417101	0.0401674	False
chr03	chr07	0.134026	-2.627	0.00430941	0.0409394	False
chr05	chr16	0.134128	-2.608	0.004555	0.0426398	False
chr05	chr09	0.134155	-2.603	0.00462366	0.0426398	False
chr09	chr10	0.134174	-2.599	0.00467036	0.0426398	False
chr10	chr12	0.134213	-2.592	0.0047702	0.042993	False
chr03	chr05	0.134277	-2.580	0.0049395	0.0439553	False
chr05	chr07	0.134302	-2.575	0.00500588	0.0439891	False
chr13	chr15	0.134367	-2.563	0.00518538	0.0450039	False
chr03	chr13	0.134447	-2.548	0.00541092	0.0463888	False
chr10	chr13	0.134504	-2.538	0.00557796	0.0472447	False
chr11	chr13	0.134556	-2.528	0.00573661	0.04801	False
chr08	chr16	0.134591	-2.522	0.00584098	0.0483083	False
chr03	chr10	0.134620	-2.516	0.00593368	0.0485043	False
chr05	chr24	0.134692	-2.503	0.00616344	0.0498035	False
chr04	chr13	0.134830	-2.477	0.00662423	0.0525566	False
chr09	chr24	0.134838	-2.475	0.00665369	0.0525566	False
chr03	chr15	0.134921	-2.460	0.00694569	0.0538266	False
chr10	chr24	0.134929	-2.458	0.00697731	0.0538266	False
chr03	chr31	0.134968	-2.451	0.00711981	0.0538266	False
chr13	chr24	0.134969	-2.451	0.00712073	0.0538266	False
chr11	chr31	0.135041	-2.438	0.00739156	0.0552794	False
chr08	chr24	0.135322	-2.385	0.00853308	0.0631448	False
chr04	chr08	0.135386	-2.373	0.00881485	0.0645504	False
chr09	chr31	0.135655	-2.323	0.0100812	0.0730629	False
chr12	chr16	0.135718	-2.311	0.0104033	0.0746275	False
chr11	chr24	0.135767	-2.302	0.0106605	0.0757003	False
chr06	chr19	0.135884	-2.281	0.0112879	0.0793537	False
chr03	chr04	0.136027	-2.254	0.0121031	0.0842421	False
chr08	chr13	0.136114	-2.238	0.0126227	0.0869975	False
chr04	chr24	0.136198	-2.222	0.0131426	0.0897013	False
chr09	chr14	0.136222	-2.217	0.0132945	0.0898656	False
chr13	chr16	0.136289	-2.205	0.0137217	0.09187	False
chr06	chr14	0.136323	-2.199	0.0139455	0.0924876	False
chr04	chr09	0.136417	-2.181	0.0145842	0.0958193	False
chr06	chr31	0.136537	-2.159	0.0154313	0.100109	False
chr03	chr12	0.136549	-2.157	0.0155219	0.100109	False
chr03	chr08	0.136570	-2.153	0.0156679	0.100132	False
chr03	chr06	0.136628	-2.142	0.0161053	0.101905	False
chr12	chr24	0.136646	-2.139	0.0162352	0.101905	False
chr09	chr16	0.136780	-2.113	0.0172808	0.107489	False
chr03	chr16	0.136799	-2.110	0.0174307	0.107489	False
chr07	chr16	0.136845	-2.101	0.0178033	0.108832	False
chr12	chr31	0.137033	-2.066	0.019391	0.117516	False
chr09	chr12	0.137082	-2.057	0.0198257	0.119124	False
chr07	chr14	0.137179	-2.039	0.0207132	0.123402	False
chr03	chr24	0.137263	-2.023	0.0215114	0.12708	False
chr11	chr19	0.137333	-2.010	0.0221897	0.129995	False
chr24	chr31	0.137407	-1.997	0.0229265	0.130654	False
chr13	chr19	0.137413	-1.995	0.0229949	0.130654	False
chr15	chr19	0.137415	-1.995	0.0230102	0.130654	False
chr09	chr25	0.137418	-1.995	0.0230457	0.130654	False
chr07	chr25	0.137527	-1.974	0.0241772	0.135973	False
chr03	chr14	0.137632	-1.955	0.0253027	0.139391	False
chr16	chr24	0.137636	-1.954	0.0253495	0.139391	False
chr05	chr19	0.137639	-1.954	0.0253798	0.139391	False
chr13	chr22	0.137898	-1.905	0.0283716	0.154614	False
chr08	chr19	0.138123	-1.863	0.0312131	0.167651	False
chr05	chr14	0.138135	-1.861	0.0313772	0.167651	False
chr19	chr24	0.138143	-1.859	0.0314794	0.167651	False
chr06	chr22	0.138223	-1.845	0.0325498	0.171488	False
chr09	chr19	0.138238	-1.842	0.0327538	0.171488	False
chr03	chr25	0.138251	-1.839	0.0329315	0.171488	False
chr26	chr34	0.138332	-1.824	0.0340565	0.176042	False
chr16	chr19	0.138412	-1.809	0.0351948	0.180598	False
chr10	chr22	0.138448	-1.803	0.0357151	0.18194	False
chr10	chr14	0.138492	-1.794	0.0363752	0.18397	False
chr08	chr14	0.138527	-1.788	0.036891	0.185245	False
chr11	chr14	0.138646	-1.766	0.0387081	0.192991	False
chr14	chr15	0.138684	-1.759	0.03931	0.194612	False
chr14	chr24	0.138768	-1.743	0.0406626	0.198945	False
chr04	chr19	0.138781	-1.741	0.0408787	0.198945	False
chr15	chr25	0.138791	-1.739	0.0410342	0.198945	False
chr13	chr25	0.138812	-1.735	0.0413839	0.199266	False
chr07	chr19	0.139078	-1.685	0.0459679	0.219833	False
chr05	chr25	0.139149	-1.672	0.0472535	0.224454	False
chr11	chr25	0.139178	-1.667	0.047798	0.225517	False
chr23	chr34	0.139278	-1.648	0.0496859	0.232861	False
chr10	chr25	0.139303	-1.643	0.0501514	0.233487	False
chr14	chr16	0.139596	-1.589	0.0560497	0.25923	False
chr05	chr22	0.139741	-1.562	0.0591836	0.271935	False
chr04	chr14	0.139913	-1.530	0.0630569	0.287851	False
chr01	chr09	0.139963	-1.520	0.0642133	0.2902	False
chr04	chr25	0.139982	-1.517	0.0646592	0.2902	False
chr25	chr31	0.139992	-1.515	0.0649008	0.2902	False
chr13	chr14	0.140007	-1.512	0.0652437	0.2902	False
chr12	chr19	0.140023	-1.509	0.0656357	0.2902	False
chr08	chr22	0.140104	-1.494	0.0675863	0.296642	False
chr01	chr03	0.140136	-1.488	0.0683692	0.296642	False
chr08	chr25	0.140143	-1.487	0.0685414	0.296642	False
chr26	chr33	0.140164	-1.483	0.0690537	0.296642	False
chr02	chr09	0.140170	-1.482	0.0692024	0.296642	False
chr03	chr19	0.140239	-1.469	0.0709239	0.302179	False
chr16	chr22	0.140549	-1.411	0.0791041	0.333255	False
chr14	chr31	0.140551	-1.411	0.0791659	0.333255	False
chr23	chr33	0.140748	-1.374	0.0847153	0.354325	False
chr12	chr25	0.140764	-1.371	0.0851791	0.354325	False
chr01	chr13	0.140837	-1.357	0.0873119	0.36106	False
chr19	chr31	0.141021	-1.323	0.0928839	0.381856	False
chr20	chr22	0.141138	-1.301	0.0965771	0.394731	False
chr04	chr22	0.141180	-1.294	0.097915	0.397886	False
chr27	chr30	0.141227	-1.285	0.099421	0.401684	False
chr06	chr25	0.141251	-1.280	0.100205	0.402537	False
chr02	chr03	0.141311	-1.269	0.102193	0.405884	False
chr22	chr25	0.141311	-1.269	0.102193	0.405884	False
chr01	chr25	0.141343	-1.263	0.103268	0.407852	False
