chrom	n_haplotype_copies	own_mean_distance	homeolog_partner	homeolog_distance	homeolog_z	homeolog_q	distance_ratio
chr01	2	0.009171	chr02	0.075007	-13.626	0	8.31
chr02	2	0.008875	chr01	0.075007	-13.626	0	8.31
chr03	2	0.010618	chr09	0.078182	-13.035	0	7.35
chr04	2	0.010088	chr16	0.077354	-13.189	0	7.67
chr05	2	0.009613	chr11	0.076361	-13.374	0	7.96
chr06	2	0.010817	chr13	0.077937	-13.080	0	7.40
chr07	2	0.011673	chr24	0.078165	-13.038	0	6.36
chr08	2	0.016397	chr12	0.075557	-13.524	0	5.84
chr09	2	0.010645	chr03	0.078182	-13.035	0	7.35
chr10	2	0.009357	chr19	0.075948	-13.451	0	7.76
chr11	2	0.009572	chr05	0.076361	-13.374	0	7.96
chr12	2	0.009496	chr08	0.075557	-13.524	0	5.84
chr13	2	0.010254	chr06	0.077937	-13.080	0	7.40
chr14	2	0.008505	chr25	0.075735	-13.491	0	9.23
chr15	2	0.012559	chr31	0.080624	-12.579	0	6.85
chr16	2	0.010075	chr04	0.077354	-13.189	0	7.67
chr17	2	0.007667	chr18	0.072756	-14.046	0	9.15
chr18	2	0.008235	chr17	0.072756	-14.046	0	9.15
chr19	2	0.010209	chr10	0.075948	-13.451	0	7.76
chr20	2	0.008515	chr21	0.073226	-13.958	0	8.94
chr21	2	0.007871	chr20	0.073226	-13.958	0	8.94
chr22	2	0.008407	chr28	0.073928	-13.827	0	8.69
chr23	2	0.008459	chr26	0.071125	-14.350	0	8.48
chr24	2	0.012912	chr07	0.078165	-13.038	0	6.36
chr25	2	0.007901	chr14	0.075735	-13.491	0	9.23
chr26	2	0.008309	chr23	0.071125	-14.350	0	8.48
chr27	2	0.008812	chr29	0.072575	-14.080	0	8.61
chr28	2	0.008602	chr22	0.073928	-13.827	0	8.69
chr29	2	0.008042	chr27	0.072575	-14.080	0	8.61
chr30	2	0.007855	chr32	0.073040	-13.993	0	8.86
chr31	2	0.010972	chr15	0.080624	-12.579	0	6.85
chr32	2	0.008628	chr30	0.073040	-13.993	0	8.86
chr33	2	0.008784	chr34	0.069869	-14.584	0	8.40
chr34	2	0.007855	chr33	0.069869	-14.584	0	8.40
chr35	2	0.008221	chr36	0.070937	-14.385	0	8.65
chr36	2	0.008184	chr35	0.070937	-14.385	0	8.65
chr37	2	0.007491	chr38	0.071655	-14.251	0	10.26
chr38	2	0.006470	chr37	0.071655	-14.251	0	10.26
