chrom_a	chrom_b	distance	z_score	p_value	q_value	accepted
chr01	chr06	0.069324	-1.425	0.0770613	0.589176	False
chr02	chr03	0.069392	-1.145	0.126205	0.589176	False
chr01	chr04	0.069394	-1.137	0.127714	0.589176	False
chr03	chr07	0.069448	-0.914	0.180461	0.589176	False
chr03	chr06	0.069464	-0.845	0.19898	0.589176	False
chr04	chr07	0.069478	-0.788	0.215255	0.589176	False
chr06	chr07	0.069483	-0.767	0.221667	0.589176	False
chr01	chr07	0.069486	-0.757	0.224448	0.589176	False
chr03	chr04	0.069515	-0.634	0.263028	0.613732	False
chr01	chr03	0.069561	-0.445	0.328322	0.689476	False
chr04	chr06	0.069603	-0.270	0.393749	0.751702	False
chr02	chr07	0.069667	-0.003	0.498623	0.87259	False
chr02	chr06	0.069774	0.436	0.668429	0.952386	False
chr05	chr06	0.069783	0.475	0.68258	0.952386	False
chr01	chr02	0.069806	0.572	0.716426	0.952386	False
chr03	chr05	0.069835	0.689	0.754671	0.952386	False
chr01	chr05	0.069878	0.867	0.807127	0.952386	False
chr02	chr04	0.069892	0.926	0.822876	0.952386	False
chr05	chr07	0.069931	1.088	0.861682	0.952386	False
chr04	chr05	0.070125	1.890	0.970646	0.985573	False
chr02	chr05	0.070196	2.185	0.985573	0.985573	False
