chrom	n_haplotype_copies	own_mean_distance	homeolog_partner	homeolog_distance	homeolog_z	homeolog_q	distance_ratio
chr01	4	0.013867					
chr02	4	0.012562					
chr03	4	0.018346	chr05	0.112866	-3.818	0.00504592	7.59
chr04	4	0.013672					
chr05	4	0.011400	chr03	0.112866	-3.818	0.00504592	7.59
chr06	4	0.011499					
chr07	4	0.015051					
chr08	4	0.013520					
chr09	4	0.011801					
chr10	4	0.012934					
chr11	4	0.022641					
chr12	4	0.012252					
chr13	4	0.012976					
chr14	4	0.012857					
chr15	4	0.014216					
chr16	4	0.011442					
chr17	4	0.012127					
chr18	4	0.012847					
chr19	4	0.038243	chr22	0.083347	-13.248	0	3.27
chr20	4	0.011917					
chr21	4	0.014183					
chr22	2	0.012806	chr19	0.083347	-13.248	0	3.27
chr23	4	0.012403					
chr24	4	0.013650					
chr25	4	0.014468					
