unit_a	unit_b	chrom	n_markers_a	n_markers_b	n_highcopy_a	n_highcopy_b
HAP1_chr01	HAP2_chr01	chr01	340	385	76895	76940
HAP1_chr02	HAP2_chr02	chr02	159	325	76982	77148
HAP1_chr03	HAP2_chr03	chr03	881	2789	65025	66705
HAP1_chr04	HAP2_chr04	chr04	1335	409	70014	69476
HAP1_chr05	HAP2_chr05	chr05	120	3922	39250	42365
HAP1_chr06	HAP2_chr06	chr06	650	2005	53501	54696
HAP1_chr07	HAP2_chr07	chr07	242	1258	46917	47920
HAP1_chr08	HAP2_chr08	chr08	4573	78	33558	30347
HAP1_chr09	HAP2_chr09	chr09	668	399	38180	37946
HAP1_chr10	HAP2_chr10	chr10	384	193	39371	39235
HAP1_chr11	HAP2_chr11	chr11	104	140	28668	28691
HAP1_chr12	HAP2_chr12	chr12	2443	259	24563	22873
HAP1_chr13	HAP2_chr13	chr13	2700	631	21313	20172
HAP1_chr14	HAP2_chr14	chr14	53	891	24231	24563
HAP1_chr15	HAP2_chr15	chr15	5345	3683	21888	21047
HAP1_chr16	HAP2_chr16	chr16	98	830	19894	20381
