unit	win_start	win_end	a_hits	b_hits	a_frac	b_frac	assigned
HAPA_chr04	1	250000	38707	5715	0.0783	0.0139	a
HAPA_chr04	250001	500000	36834	4521	0.0745	0.0110	a
HAPA_chr04	500001	750000	27557	9463	0.0557	0.0230	a
HAPA_chr04	750001	1000000	33527	5695	0.0678	0.0139	a
HAPA_chr04	1000001	1250000	36113	6821	0.0731	0.0166	a
HAPA_chr04	1250001	1500000	32983	5703	0.0667	0.0139	a
HAPA_chr04	1500001	1750000	34100	7916	0.0690	0.0193	a
HAPA_chr04	1750001	2000000	30509	8520	0.0617	0.0207	a
HAPA_chr04	2000001	2250000	37368	7968	0.0756	0.0194	a
HAPA_chr04	2250001	2500000	27570	6052	0.0558	0.0147	a
HAPA_chr04	2500001	2750000	27213	5526	0.0550	0.0134	a
HAPA_chr04	2750001	3000000	30276	5928	0.0612	0.0144	a
HAPA_chr04	3000001	3250000	17584	6004	0.0356	0.0146	a
HAPA_chr04	3250001	3500000	34693	5464	0.0702	0.0133	a
HAPA_chr04	3500001	3750000	56016	5013	0.1133	0.0122	a
HAPA_chr04	3750001	4000000	37784	5740	0.0764	0.0140	a
HAPA_chr04	4000001	4250000	31752	8851	0.0642	0.0215	a
HAPA_chr04	4250001	4500000	37578	4188	0.0760	0.0102	a
HAPA_chr04	4500001	4750000	40449	4034	0.0818	0.0098	a
HAPA_chr04	4750001	5000000	37598	8059	0.0761	0.0196	a
HAPA_chr04	5000001	5250000	31525	5431	0.0638	0.0132	a
HAPA_chr04	5250001	5500000	25472	5762	0.0515	0.0140	a
HAPA_chr04	5500001	5750000	28876	3561	0.0584	0.0087	a
HAPA_chr04	5750001	6000000	26670	8661	0.0539	0.0211	a
HAPA_chr04	6000001	6250000	32926	6160	0.0666	0.0150	a
HAPA_chr04	6250001	6500000	29144	6750	0.0590	0.0164	a
HAPA_chr04	6500001	6750000	35056	7016	0.0709	0.0171	a
HAPA_chr04	6750001	7000000	48027	3641	0.0972	0.0089	a
HAPA_chr04	7000001	7250000	41976	4129	0.0849	0.0100	a
HAPA_chr04	7250001	7500000	35004	10331	0.0708	0.0251	a
HAPA_chr04	7500001	7750000	36440	6929	0.0737	0.0169	a
HAPA_chr04	7750001	8000000	48367	10366	0.0978	0.0252	a
HAPA_chr04	8000001	8250000	48696	5992	0.0985	0.0146	a
HAPA_chr04	8250001	8500000	33208	11508	0.0672	0.0280	a
HAPA_chr04	8500001	8750000	36029	8788	0.0729	0.0214	a
HAPA_chr04	8750001	9000000	37289	6587	0.0754	0.0160	a
HAPA_chr04	9000001	9250000	36438	9815	0.0737	0.0239	a
HAPA_chr04	9250001	9500000	36878	8064	0.0746	0.0196	a
HAPA_chr04	9500001	9750000	45363	5455	0.0918	0.0133	a
HAPA_chr04	9750001	10000000	42540	5757	0.0861	0.0140	a
HAPA_chr04	10000001	10250000	40875	7842	0.0827	0.0191	a
HAPA_chr04	10250001	10500000	40191	6102	0.0813	0.0148	a
HAPA_chr04	10500001	10750000	33737	8931	0.0682	0.0217	a
HAPA_chr04	10750001	11000000	40308	5132	0.0815	0.0125	a
HAPA_chr04	11000001	11250000	33800	9626	0.0684	0.0234	a
HAPA_chr04	11250001	11500000	35921	5837	0.0727	0.0142	a
HAPA_chr04	11500001	11750000	33407	5494	0.0676	0.0134	a
HAPA_chr04	11750001	12000000	32939	5447	0.0666	0.0132	a
HAPA_chr04	12000001	12250000	43005	5709	0.0870	0.0139	a
HAPA_chr04	12250001	12500000	31749	4463	0.0642	0.0109	a
HAPA_chr04	12500001	12750000	48920	5718	0.0990	0.0139	a
HAPA_chr04	12750001	13000000	38643	4629	0.0782	0.0113	a
HAPA_chr04	13000001	13250000	36066	7302	0.0730	0.0178	a
HAPA_chr04	13250001	13500000	41888	6068	0.0847	0.0148	a
HAPA_chr04	13500001	13750000	43953	6432	0.0889	0.0156	a
HAPA_chr04	13750001	14000000	42959	6963	0.0869	0.0169	a
HAPA_chr04	14000001	14250000	40502	7557	0.0819	0.0184	a
HAPA_chr04	14250001	14500000	50518	6221	0.1022	0.0151	a
HAPA_chr04	14500001	14750000	43738	8405	0.0885	0.0204	a
HAPA_chr04	14750001	15000000	38824	8901	0.0785	0.0216	a
HAPA_chr04	15000001	15250000	22703	7808	0.0459	0.0190	a
HAPA_chr04	15250001	15500000	27592	6581	0.0558	0.0160	a
HAPA_chr04	15500001	15750000	24407	8679	0.0494	0.0211	a
HAPA_chr04	15750001	16000000	35181	6013	0.0712	0.0146	a
HAPA_chr04	16000001	16250000	34694	5307	0.0702	0.0129	a
HAPA_chr04	16250001	16500000	34177	5931	0.0691	0.0144	a
HAPA_chr04	16500001	16750000	40643	4955	0.0822	0.0121	a
HAPA_chr04	16750001	17000000	35448	6198	0.0717	0.0151	a
HAPA_chr04	17000001	17250000	33514	4253	0.0678	0.0103	a
HAPA_chr04	17250001	17500000	42820	4213	0.0866	0.0102	a
HAPA_chr04	17500001	17750000	31739	17527	0.0642	0.0426	ambiguous
HAPA_chr04	17750001	18000000	31364	5018	0.0634	0.0122	a
HAPA_chr04	18000001	18250000	38673	6303	0.0782	0.0153	a
HAPA_chr04	18250001	18500000	42650	7127	0.0863	0.0173	a
HAPA_chr04	18500001	18750000	30815	9665	0.0623	0.0235	a
HAPA_chr04	18750001	19000000	42475	8372	0.0859	0.0204	a
HAPA_chr04	19000001	19250000	28433	6878	0.0575	0.0167	a
HAPA_chr04	19250001	19500000	33738	12244	0.0682	0.0298	a
HAPA_chr04	19500001	19750000	40464	4550	0.0819	0.0111	a
HAPA_chr04	19750001	20000000	50698	10783	0.1026	0.0262	a
HAPA_chr04	20000001	20250000	29631	7053	0.0599	0.0172	a
HAPA_chr04	20250001	20500000	36660	11375	0.0742	0.0277	a
HAPA_chr04	20500001	20750000	42817	5639	0.0866	0.0137	a
HAPA_chr04	20750001	21000000	39172	10434	0.0792	0.0254	a
HAPA_chr04	21000001	21250000	26459	11938	0.0535	0.0290	ambiguous
HAPA_chr04	21250001	21500000	42117	7691	0.0852	0.0187	a
HAPA_chr04	21500001	21750000	36976	12203	0.0748	0.0297	a
HAPA_chr04	21750001	22000000	38100	7365	0.0771	0.0179	a
HAPA_chr04	22000001	22250000	50477	8199	0.1021	0.0199	a
HAPA_chr04	22250001	22500000	43529	8909	0.0881	0.0217	a
HAPA_chr04	22500001	22750000	32209	6916	0.0652	0.0168	a
HAPA_chr04	22750001	23000000	42112	11542	0.0852	0.0281	a
HAPA_chr04	23000001	23250000	44015	8469	0.0890	0.0206	a
HAPA_chr04	23250001	23500000	29754	6151	0.0602	0.0150	a
HAPA_chr04	23500001	23750000	39643	5741	0.0802	0.0140	a
HAPA_chr04	23750001	24000000	26344	6033	0.0533	0.0147	a
HAPA_chr04	24000001	24250000	43611	4445	0.0882	0.0108	a
HAPA_chr04	24250001	24500000	32182	9210	0.0651	0.0224	a
HAPA_chr04	24500001	24750000	38467	7352	0.0778	0.0179	a
HAPA_chr04	24750001	25000000	31466	5300	0.0637	0.0129	a
HAPA_chr04	25000001	25250000	33792	6320	0.0684	0.0154	a
HAPA_chr04	25250001	25500000	47570	8500	0.0962	0.0207	a
HAPA_chr04	25500001	25750000	45369	4662	0.0918	0.0113	a
HAPA_chr04	25750001	26000000	42519	4787	0.0860	0.0116	a
HAPA_chr04	26000001	26250000	44880	13638	0.0908	0.0332	a
HAPA_chr04	26250001	26500000	53000	4541	0.1072	0.0110	a
HAPA_chr04	26500001	26750000	35449	4608	0.0717	0.0112	a
HAPA_chr04	26750001	27000000	33863	13468	0.0685	0.0328	a
HAPA_chr04	27000001	27250000	43733	6743	0.0885	0.0164	a
HAPA_chr04	27250001	27500000	34888	7935	0.0706	0.0193	a
HAPA_chr04	27500001	27750000	38733	7326	0.0784	0.0178	a
HAPA_chr04	27750001	28000000	35380	5360	0.0716	0.0130	a
HAPA_chr04	28000001	28250000	31951	5293	0.0646	0.0129	a
HAPA_chr04	28250001	28500000	35751	4631	0.0723	0.0113	a
HAPA_chr04	28500001	28750000	36791	6065	0.0744	0.0147	a
HAPA_chr04	28750001	29000000	26732	8439	0.0541	0.0205	a
HAPA_chr04	29000001	29250000	23317	6560	0.0472	0.0160	a
HAPA_chr04	29250001	29500000	41502	6630	0.0840	0.0161	a
HAPA_chr04	29500001	29750000	49754	6227	0.1006	0.0151	a
HAPA_chr04	29750001	30000000	29981	6310	0.0606	0.0153	a
HAPA_chr04	30000001	30250000	40228	5551	0.0814	0.0135	a
HAPA_chr04	30250001	30500000	28058	7124	0.0568	0.0173	a
HAPA_chr04	30500001	30750000	40970	5721	0.0829	0.0139	a
HAPA_chr04	30750001	31000000	43312	7736	0.0876	0.0188	a
