,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13
HAP1_chr01,0.000000,0.103992,0.104972,0.103743,0.103307,0.104681,0.103045,0.106235,0.106195,0.104269,0.106034,0.104678,0.106482
HAP1_chr02,0.103992,0.000000,0.105075,0.104912,0.104681,0.104905,0.104709,0.106308,0.105807,0.104408,0.107346,0.106031,0.107484
HAP1_chr03,0.104972,0.105075,0.000000,0.105693,0.105109,0.105274,0.105087,0.106116,0.106126,0.104887,0.107831,0.106243,0.107053
HAP1_chr04,0.103743,0.104912,0.105693,0.000000,0.104493,0.105129,0.103821,0.106575,0.105839,0.104139,0.106284,0.105049,0.105360
HAP1_chr05,0.103307,0.104681,0.105109,0.104493,0.000000,0.104081,0.103654,0.105879,0.105356,0.103479,0.105780,0.104755,0.105719
HAP1_chr06,0.104681,0.104905,0.105274,0.105129,0.104081,0.000000,0.104786,0.105814,0.105540,0.104063,0.106330,0.104997,0.105882
HAP1_chr07,0.103045,0.104709,0.105087,0.103821,0.103654,0.104786,0.000000,0.105273,0.104519,0.103310,0.105313,0.104227,0.104954
HAP1_chr08,0.106235,0.106308,0.106116,0.106575,0.105879,0.105814,0.105273,0.000000,0.106046,0.104975,0.107737,0.105673,0.106274
HAP1_chr09,0.106195,0.105807,0.106126,0.105839,0.105356,0.105540,0.104519,0.106046,0.000000,0.103848,0.107388,0.105477,0.105305
HAP1_chr10,0.104269,0.104408,0.104887,0.104139,0.103479,0.104063,0.103310,0.104975,0.103848,0.000000,0.104368,0.102735,0.104006
HAP1_chr11,0.106034,0.107346,0.107831,0.106284,0.105780,0.106330,0.105313,0.107737,0.107388,0.104368,0.000000,0.106132,0.106321
HAP1_chr12,0.104678,0.106031,0.106243,0.105049,0.104755,0.104997,0.104227,0.105673,0.105477,0.102735,0.106132,0.000000,0.104574
HAP1_chr13,0.106482,0.107484,0.107053,0.105360,0.105719,0.105882,0.104954,0.106274,0.105305,0.104006,0.106321,0.104574,0.000000
