unit_a	unit_b	chrom	n_markers_a	n_markers_b	n_highcopy_a	n_highcopy_b	te_marker_fraction	windowed_distance_cv
HAP1_chr01	HAP2_chr01	chr01	11794	2938	34098	25983	0.245202	0.122518
HAP1_chr02	HAP2_chr02	chr02	10482	2497	33317	25984	0.218866	0.115438
HAP1_chr03	HAP2_chr03	chr03	4416	11827	26193	33440	0.272383	0.100859
HAP1_chr04	HAP2_chr04	chr04	2125	6417	20496	24599	0.189422	0.129011
HAP1_chr05	HAP2_chr05	chr05	3436	2212	23293	22001	0.124696	0.072228
HAP1_chr06	HAP2_chr06	chr06	4181	2018	21176	19211	0.153490	0.181946
HAP1_chr07	HAP2_chr07	chr07	3413	3595	28213	28358	0.123880	0.160162
HAP1_chr08	HAP2_chr08	chr08	3515	5545	34098	35512	0.130154	0.126374
HAP1_chr09	HAP2_chr09	chr09	3386	6454	23040	26427	0.198920	0.113036
HAP1_chr10	HAP2_chr10	chr10	3235	3267	22927	22618	0.142760	0.204748
HAP1_chr11	HAP2_chr11	chr11	1799	3316	22023	23501	0.112358	0.085027
HAP1_chr12	HAP2_chr12	chr12	5745	1759	22032	18022	0.187347	0.200041
HAP1_chr13	HAP2_chr13	chr13	3815	4088	26901	27145	0.146227	0.151065
HAP1_chr14	HAP2_chr14	chr14	3437	1957	23199	21355	0.121067	0.126762
HAP1_chr15	HAP2_chr15	chr15	4058	3942	21367	21822	0.185232	0.180633
HAP1_chr16	HAP2_chr16	chr16	2210	6341	25833	29163	0.155484	0.166270
