unit_a	unit_b	chrom	n_markers_a	n_markers_b	n_highcopy_a	n_highcopy_b
HAP1_chr01	HAP2_chr01	chr01	11794	2938	34098	25983
HAP1_chr02	HAP2_chr02	chr02	10482	2497	33317	25984
HAP1_chr03	HAP2_chr03	chr03	4416	11827	26193	33440
HAP1_chr04	HAP2_chr04	chr04	2125	6417	20496	24599
HAP1_chr05	HAP2_chr05	chr05	3436	2212	23293	22001
HAP1_chr06	HAP2_chr06	chr06	4181	2018	21176	19211
HAP1_chr07	HAP2_chr07	chr07	3413	3595	28213	28358
HAP1_chr08	HAP2_chr08	chr08	3515	5545	34098	35512
HAP1_chr09	HAP2_chr09	chr09	3386	6454	23040	26427
HAP1_chr10	HAP2_chr10	chr10	3235	3267	22927	22618
HAP1_chr11	HAP2_chr11	chr11	1799	3316	22023	23501
HAP1_chr12	HAP2_chr12	chr12	5745	1759	22032	18022
HAP1_chr13	HAP2_chr13	chr13	3815	4088	26901	27145
HAP1_chr14	HAP2_chr14	chr14	3437	1957	23199	21355
HAP1_chr15	HAP2_chr15	chr15	4058	3942	21367	21822
HAP1_chr16	HAP2_chr16	chr16	2210	6341	25833	29163
