unit_a	unit_b	chrom	n_markers_a	n_markers_b	n_highcopy_a	n_highcopy_b
HAP1_chr01	HAP2_chr01	chr01	1341	1716	10384	10751
HAP1_chr01	HAP3_chr01	chr01	4120	2584	10384	9213
HAP1_chr01	HAP4_chr01	chr01	3899	3103	10384	9893
HAP2_chr01	HAP3_chr01	chr01	4552	2602	10751	9213
HAP2_chr01	HAP4_chr01	chr01	4354	3143	10751	9893
HAP3_chr01	HAP4_chr01	chr01	1382	2090	9213	9893
HAP1_chr02	HAP2_chr02	chr02	18962	441	20103	1694
HAP1_chr02	HAP3_chr02	chr02	18028	1816	20103	4760
HAP1_chr02	HAP4_chr02	chr02	18848	328	20103	1769
HAP2_chr02	HAP3_chr02	chr02	79	3528	1694	4760
HAP2_chr02	HAP4_chr02	chr02	664	755	1694	1769
HAP3_chr02	HAP4_chr02	chr02	3430	433	4760	1769
HAP1_chr03	HAP2_chr03	chr03	936	1118	3575	3721
HAP1_chr03	HAP3_chr03	chr03	1346	2708	3575	4917
HAP1_chr03	HAP4_chr03	chr03	1347	1916	3575	4133
HAP2_chr03	HAP3_chr03	chr03	1206	2465	3721	4917
HAP2_chr03	HAP4_chr03	chr03	1339	1805	3721	4133
HAP3_chr03	HAP4_chr03	chr03	1583	357	4917	4133
HAP1_chr04	HAP2_chr04	chr04	2293	2616	4284	4650
HAP1_chr04	HAP3_chr04	chr04	714	1112	4284	4698
HAP1_chr04	HAP4_chr04	chr04	769	992	4284	4519
HAP2_chr04	HAP3_chr04	chr04	2424	2550	4650	4698
HAP2_chr04	HAP4_chr04	chr04	2466	2377	4650	4519
HAP3_chr04	HAP4_chr04	chr04	882	630	4698	4519
HAP1_chr05	HAP2_chr05	chr05	2101	693	4116	2717
HAP1_chr05	HAP3_chr05	chr05	1579	635	4116	3327
HAP1_chr05	HAP4_chr05	chr05	1169	1007	4116	4052
HAP2_chr05	HAP3_chr05	chr05	828	1429	2717	3327
HAP2_chr05	HAP4_chr05	chr05	737	2073	2717	4052
HAP3_chr05	HAP4_chr05	chr05	676	1437	3327	4052
HAP1_chr06	HAP2_chr06	chr06	1266	1223	4649	4504
HAP1_chr06	HAP3_chr06	chr06	1319	1306	4649	4632
HAP1_chr06	HAP4_chr06	chr06	2531	1992	4649	4125
HAP2_chr06	HAP3_chr06	chr06	1300	1340	4504	4632
HAP2_chr06	HAP4_chr06	chr06	2323	1939	4504	4125
HAP3_chr06	HAP4_chr06	chr06	2397	1876	4632	4125
HAP1_chr07	HAP2_chr07	chr07	2673	535	4482	2345
HAP1_chr07	HAP3_chr07	chr07	2253	1113	4482	3186
HAP1_chr07	HAP4_chr07	chr07	1031	1106	4482	4272
HAP2_chr07	HAP3_chr07	chr07	569	1411	2345	3186
HAP2_chr07	HAP4_chr07	chr07	805	2744	2345	4272
HAP3_chr07	HAP4_chr07	chr07	1186	2282	3186	4272
HAP1_chr08	HAP2_chr08	chr08	1006	2470	2939	4348
HAP1_chr08	HAP3_chr08	chr08	1151	1913	2939	3646
HAP1_chr08	HAP4_chr08	chr08	1180	872	2939	2617
HAP2_chr08	HAP3_chr08	chr08	1502	710	4348	3646
HAP2_chr08	HAP4_chr08	chr08	2515	536	4348	2617
HAP3_chr08	HAP4_chr08	chr08	1831	592	3646	2617
