unit_a	unit_b	chrom	n_markers_a	n_markers_b	n_highcopy_a	n_highcopy_b	te_marker_fraction	windowed_distance_cv
HAP1_chr01	HAP2_chr01	chr01	1341	1716	10384	10751	0.144642	0.289655
HAP1_chr01	HAP3_chr01	chr01	4120	2584	10384	9213	0.342093	0.109705
HAP1_chr01	HAP4_chr01	chr01	3899	3103	10384	9893	0.345317	0.123812
HAP2_chr01	HAP3_chr01	chr01	4552	2602	10751	9213	0.358345	0.130409
HAP2_chr01	HAP4_chr01	chr01	4354	3143	10751	9893	0.363156	0.104877
HAP3_chr01	HAP4_chr01	chr01	1382	2090	9213	9893	0.181723	0.140611
HAP1_chr02	HAP2_chr02	chr02	18962	441	20103	1694	0.890168	0.036504
HAP1_chr02	HAP3_chr02	chr02	18028	1816	20103	4760	0.798134	0.102797
HAP1_chr02	HAP4_chr02	chr02	18848	328	20103	1769	0.876737	0.029013
HAP2_chr02	HAP3_chr02	chr02	79	3528	1694	4760	0.558878	0.081619
HAP2_chr02	HAP4_chr02	chr02	664	755	1694	1769	0.409760	0.076241
HAP3_chr02	HAP4_chr02	chr02	3430	433	4760	1769	0.591668	0.027082
HAP1_chr03	HAP2_chr03	chr03	936	1118	3575	3721	0.281524	0.158913
HAP1_chr03	HAP3_chr03	chr03	1346	2708	3575	4917	0.477390	0.083915
HAP1_chr03	HAP4_chr03	chr03	1347	1916	3575	4133	0.423326	0.077895
HAP2_chr03	HAP3_chr03	chr03	1206	2465	3721	4917	0.424983	0.075709
HAP2_chr03	HAP4_chr03	chr03	1339	1805	3721	4133	0.400306	0.064822
HAP3_chr03	HAP4_chr03	chr03	1583	357	4917	4133	0.214365	0.156147
HAP1_chr04	HAP2_chr04	chr04	2293	2616	4284	4650	0.549474	0.032763
HAP1_chr04	HAP3_chr04	chr04	714	1112	4284	4698	0.203295	0.155375
HAP1_chr04	HAP4_chr04	chr04	769	992	4284	4519	0.200045	0.139308
HAP2_chr04	HAP3_chr04	chr04	2424	2550	4650	4698	0.532092	0.013388
HAP2_chr04	HAP4_chr04	chr04	2466	2377	4650	4519	0.528193	0.027842
HAP3_chr04	HAP4_chr04	chr04	882	630	4698	4519	0.164045	0.116865
HAP1_chr05	HAP2_chr05	chr05	2101	693	4116	2717	0.408898	0.217773
HAP1_chr05	HAP3_chr05	chr05	1579	635	4116	3327	0.297461	0.143824
HAP1_chr05	HAP4_chr05	chr05	1169	1007	4116	4052	0.266405	0.139550
HAP2_chr05	HAP3_chr05	chr05	828	1429	2717	3327	0.373428	0.092409
HAP2_chr05	HAP4_chr05	chr05	737	2073	2717	4052	0.415128	0.104522
HAP3_chr05	HAP4_chr05	chr05	676	1437	3327	4052	0.286353	0.171931
HAP1_chr06	HAP2_chr06	chr06	1266	1223	4649	4504	0.271933	0.055024
HAP1_chr06	HAP3_chr06	chr06	1319	1306	4649	4632	0.282836	0.202076
HAP1_chr06	HAP4_chr06	chr06	2531	1992	4649	4125	0.515500	0.092161
HAP2_chr06	HAP3_chr06	chr06	1300	1340	4504	4632	0.288967	0.078271
HAP2_chr06	HAP4_chr06	chr06	2323	1939	4504	4125	0.493916	0.061345
HAP3_chr06	HAP4_chr06	chr06	2397	1876	4632	4125	0.487952	0.099358
HAP1_chr07	HAP2_chr07	chr07	2673	535	4482	2345	0.469899	0.105053
HAP1_chr07	HAP3_chr07	chr07	2253	1113	4482	3186	0.438967	0.114338
HAP1_chr07	HAP4_chr07	chr07	1031	1106	4482	4272	0.244117	0.062267
HAP2_chr07	HAP3_chr07	chr07	569	1411	2345	3186	0.357982	0.069501
HAP2_chr07	HAP4_chr07	chr07	805	2744	2345	4272	0.536346	0.165497
HAP3_chr07	HAP4_chr07	chr07	1186	2282	3186	4272	0.465004	0.078470
HAP1_chr08	HAP2_chr08	chr08	1006	2470	2939	4348	0.477014	0.092687
HAP1_chr08	HAP3_chr08	chr08	1151	1913	2939	3646	0.465300	0.073930
HAP1_chr08	HAP4_chr08	chr08	1180	872	2939	2617	0.369330	0.056697
HAP2_chr08	HAP3_chr08	chr08	1502	710	4348	3646	0.276708	0.119986
HAP2_chr08	HAP4_chr08	chr08	2515	536	4348	2617	0.438047	0.051649
HAP3_chr08	HAP4_chr08	chr08	1831	592	3646	2617	0.386875	0.115501
