,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP3_chr01,HAP3_chr02,HAP3_chr03,HAP3_chr04,HAP3_chr05,HAP3_chr06,HAP3_chr07,HAP3_chr08,HAP4_chr01,HAP4_chr02,HAP4_chr03,HAP4_chr04,HAP4_chr05,HAP4_chr06,HAP4_chr07,HAP4_chr08
HAP1_chr01,0.000000,0.144020,0.128133,0.130114,0.128965,0.129648,0.129445,0.128832,0.058137,0.136596,0.079130,0.140676,0.135270,0.136551,0.137997,0.133088,0.058603,0.130091,0.082024,0.137522,0.135595,0.136132,0.138024,0.134998,0.058030,0.135888,0.079083,0.137573,0.136430,0.134584,0.141411,0.136149
HAP1_chr02,0.144020,0.000000,0.143308,0.141368,0.141967,0.144340,0.139634,0.142256,0.134988,0.057316,0.140376,0.127017,0.136827,0.137499,0.138499,0.135628,0.134514,0.062122,0.138835,0.136428,0.137421,0.137109,0.137285,0.136433,0.134090,0.057151,0.139420,0.136478,0.134825,0.138061,0.139497,0.135645
HAP1_chr03,0.128133,0.143308,0.000000,0.128889,0.127339,0.128157,0.123817,0.127603,0.113347,0.134020,0.059373,0.136534,0.133935,0.133578,0.134562,0.130687,0.114961,0.128629,0.056389,0.135075,0.134200,0.133640,0.134619,0.132949,0.112593,0.133571,0.057779,0.134819,0.135300,0.132145,0.137234,0.133681
HAP1_chr04,0.130114,0.141368,0.128889,0.000000,0.128278,0.128674,0.127285,0.128231,0.134296,0.134229,0.137460,0.046842,0.134820,0.134483,0.134600,0.130917,0.133577,0.129681,0.136836,0.044214,0.135030,0.134522,0.134195,0.133470,0.133280,0.133956,0.137510,0.045473,0.135738,0.133179,0.135951,0.133590
HAP1_chr05,0.128965,0.141967,0.127339,0.128278,0.000000,0.128249,0.125944,0.125434,0.132592,0.133013,0.135338,0.137145,0.047632,0.133305,0.132890,0.129397,0.131458,0.128302,0.133970,0.135162,0.049138,0.132948,0.132961,0.131071,0.129386,0.132552,0.135381,0.135448,0.050192,0.131328,0.134615,0.131709
HAP1_chr06,0.129648,0.144340,0.128157,0.128674,0.128249,0.000000,0.127406,0.127309,0.133627,0.134373,0.137673,0.137787,0.135003,0.048724,0.135139,0.131278,0.133352,0.128618,0.136420,0.136031,0.135346,0.048614,0.134987,0.133089,0.133091,0.134338,0.137425,0.135337,0.135226,0.039280,0.135470,0.133775
HAP1_chr07,0.129445,0.139634,0.123817,0.127285,0.125944,0.127406,0.000000,0.124301,0.132912,0.131408,0.134644,0.135544,0.131275,0.132522,0.047468,0.126620,0.131627,0.127385,0.133959,0.131959,0.131481,0.132418,0.047927,0.128874,0.132341,0.131447,0.135020,0.132464,0.131980,0.131567,0.059242,0.128952
HAP1_chr08,0.128832,0.142256,0.127603,0.128231,0.125434,0.127309,0.124301,0.000000,0.132910,0.132262,0.134785,0.136629,0.131881,0.132238,0.130818,0.040312,0.131578,0.127698,0.134067,0.133964,0.132499,0.131461,0.130241,0.045363,0.131887,0.131914,0.135125,0.133873,0.132864,0.130503,0.132686,0.049704
HAP2_chr01,0.058137,0.134988,0.113347,0.134296,0.132592,0.133627,0.132912,0.132910,0.000000,0.119002,0.122331,0.131189,0.119810,0.119306,0.119742,0.119190,0.010910,0.134747,0.122008,0.121694,0.120403,0.119618,0.120110,0.119556,0.009137,0.118409,0.123650,0.121185,0.121943,0.120892,0.119946,0.118831
HAP2_chr02,0.136596,0.057316,0.134020,0.134229,0.133013,0.134373,0.131408,0.132262,0.119002,0.000000,0.122309,0.130514,0.118519,0.119928,0.119800,0.117840,0.117755,0.046061,0.122495,0.121769,0.120007,0.119752,0.119742,0.118648,0.118498,0.006995,0.122923,0.121739,0.120135,0.121148,0.119639,0.117881
HAP2_chr03,0.079130,0.140376,0.059373,0.137460,0.135338,0.137673,0.134644,0.134785,0.122331,0.122309,0.000000,0.133182,0.122973,0.123128,0.123600,0.121725,0.121759,0.137042,0.017238,0.123630,0.123036,0.122800,0.123552,0.122116,0.121604,0.122149,0.012546,0.124480,0.124831,0.125173,0.126504,0.122353
HAP2_chr04,0.140676,0.127017,0.136534,0.046842,0.137145,0.137787,0.135544,0.136629,0.131189,0.130514,0.133182,0.000000,0.130585,0.130482,0.129860,0.129859,0.130346,0.139588,0.131461,0.034063,0.130554,0.130679,0.129999,0.130496,0.130716,0.130355,0.132233,0.036278,0.129764,0.130850,0.132144,0.129673
HAP2_chr05,0.135270,0.136827,0.133935,0.134820,0.047632,0.135003,0.131275,0.131881,0.119810,0.118519,0.122973,0.130585,0.000000,0.119892,0.120502,0.117446,0.119131,0.134982,0.122364,0.121605,0.011358,0.120421,0.120192,0.118831,0.118559,0.118198,0.122935,0.121983,0.015447,0.121910,0.121007,0.118968
HAP2_chr06,0.136551,0.137499,0.133578,0.134483,0.133305,0.048724,0.132522,0.132238,0.119306,0.119928,0.123128,0.130482,0.119892,0.000000,0.121327,0.118662,0.119370,0.134821,0.122765,0.122452,0.121178,0.012663,0.120893,0.119597,0.119618,0.119976,0.124362,0.122497,0.122048,0.016437,0.121686,0.119726
HAP2_chr07,0.137997,0.138499,0.134562,0.134600,0.132890,0.135139,0.047468,0.130818,0.119742,0.119800,0.123600,0.129860,0.120502,0.121327,0.000000,0.117228,0.119316,0.135500,0.122719,0.122251,0.119685,0.121493,0.009907,0.117921,0.120193,0.119738,0.124339,0.121724,0.121652,0.122525,0.021038,0.117314
HAP2_chr08,0.133088,0.135628,0.130687,0.130917,0.129397,0.131278,0.126620,0.040312,0.119190,0.117840,0.121725,0.129859,0.117446,0.118662,0.117228,0.000000,0.118178,0.131578,0.121289,0.120875,0.118363,0.118973,0.117186,0.014259,0.118335,0.118145,0.122086,0.120996,0.119392,0.119326,0.118255,0.018777
HAP3_chr01,0.058603,0.134514,0.114961,0.133577,0.131458,0.133352,0.131627,0.131578,0.010910,0.117755,0.121759,0.130346,0.119131,0.119370,0.119316,0.118178,0.000000,0.133983,0.121255,0.120765,0.119720,0.119013,0.119632,0.118942,0.008243,0.117970,0.122899,0.120727,0.121008,0.120948,0.119450,0.117765
HAP3_chr02,0.130091,0.062122,0.128629,0.129681,0.128302,0.128618,0.127385,0.127698,0.134747,0.046061,0.137042,0.139588,0.134982,0.134821,0.135500,0.131578,0.133983,0.000000,0.136047,0.136873,0.135080,0.134789,0.135460,0.133241,0.133802,0.045920,0.137711,0.136412,0.135272,0.133020,0.136461,0.133393
HAP3_chr03,0.082024,0.138835,0.056389,0.136836,0.133970,0.136420,0.133959,0.134067,0.122008,0.122495,0.017238,0.131461,0.122364,0.122765,0.122719,0.121289,0.121255,0.136047,0.000000,0.123078,0.122121,0.122535,0.122354,0.121570,0.121000,0.121829,0.016287,0.123108,0.124203,0.123958,0.125442,0.122083
HAP3_chr04,0.137522,0.136428,0.135075,0.044214,0.135162,0.136031,0.131959,0.133964,0.121694,0.121769,0.123630,0.034063,0.121605,0.122452,0.122251,0.120875,0.120765,0.136873,0.123078,0.000000,0.121591,0.122274,0.121993,0.121043,0.120699,0.121536,0.124258,0.009983,0.123356,0.124085,0.122899,0.120948
HAP3_chr05,0.135595,0.137421,0.134200,0.135030,0.049138,0.135346,0.131481,0.132499,0.120403,0.120007,0.123036,0.130554,0.011358,0.121178,0.119685,0.118363,0.119720,0.135080,0.122121,0.121591,0.000000,0.121008,0.119394,0.118761,0.118786,0.119550,0.123754,0.122299,0.019435,0.122573,0.120008,0.118880
HAP3_chr06,0.136132,0.137109,0.133640,0.134522,0.132948,0.048614,0.132418,0.131461,0.119618,0.119752,0.122800,0.130679,0.120421,0.012663,0.121493,0.118973,0.119013,0.134789,0.122535,0.122274,0.121008,0.000000,0.120780,0.119649,0.119119,0.119860,0.123469,0.122147,0.121954,0.016038,0.121704,0.119329
HAP3_chr07,0.138024,0.137285,0.134619,0.134195,0.132961,0.134987,0.047927,0.130241,0.120110,0.119742,0.123552,0.129999,0.120192,0.120893,0.009907,0.117186,0.119632,0.135460,0.122354,0.121993,0.119394,0.120780,0.000000,0.118044,0.119809,0.119922,0.124446,0.121630,0.121991,0.121791,0.020661,0.117426
HAP3_chr08,0.134998,0.136433,0.132949,0.133470,0.131071,0.133089,0.128874,0.045363,0.119556,0.118648,0.122116,0.130496,0.118831,0.119597,0.117921,0.014259,0.118942,0.133241,0.121570,0.121043,0.118761,0.119649,0.118044,0.000000,0.118727,0.118372,0.123083,0.121115,0.120476,0.120722,0.118488,0.012874
HAP4_chr01,0.058030,0.134090,0.112593,0.133280,0.129386,0.133091,0.132341,0.131887,0.009137,0.118498,0.121604,0.130716,0.118559,0.119618,0.120193,0.118335,0.008243,0.133802,0.121000,0.120699,0.118786,0.119119,0.119809,0.118727,0.000000,0.118289,0.122705,0.119765,0.120263,0.121114,0.119865,0.118242
HAP4_chr02,0.135888,0.057151,0.133571,0.133956,0.132552,0.134338,0.131447,0.131914,0.118409,0.006995,0.122149,0.130355,0.118198,0.119976,0.119738,0.118145,0.117970,0.045920,0.121829,0.121536,0.119550,0.119860,0.119922,0.118372,0.118289,0.000000,0.122466,0.121814,0.120431,0.121214,0.119806,0.117855
HAP4_chr03,0.079083,0.139420,0.057779,0.137510,0.135381,0.137425,0.135020,0.135125,0.123650,0.122923,0.012546,0.132233,0.122935,0.124362,0.124339,0.122086,0.122899,0.137711,0.016287,0.124258,0.123754,0.123469,0.124446,0.123083,0.122705,0.122466,0.000000,0.124853,0.126096,0.125435,0.128262,0.123272
HAP4_chr04,0.137573,0.136478,0.134819,0.045473,0.135448,0.135337,0.132464,0.133873,0.121185,0.121739,0.124480,0.036278,0.121983,0.122497,0.121724,0.120996,0.120727,0.136412,0.123108,0.009983,0.122299,0.122147,0.121630,0.121115,0.119765,0.121814,0.124853,0.000000,0.123600,0.123746,0.121712,0.121216
HAP4_chr05,0.136430,0.134825,0.135300,0.135738,0.050192,0.135226,0.131980,0.132864,0.121943,0.120135,0.124831,0.129764,0.015447,0.122048,0.121652,0.119392,0.121008,0.135272,0.124203,0.123356,0.019435,0.121954,0.121991,0.120476,0.120263,0.120431,0.126096,0.123600,0.000000,0.123275,0.121355,0.120187
HAP4_chr06,0.134584,0.138061,0.132145,0.133179,0.131328,0.039280,0.131567,0.130503,0.120892,0.121148,0.125173,0.130850,0.121910,0.016437,0.122525,0.119326,0.120948,0.133020,0.123958,0.124085,0.122573,0.016038,0.121791,0.120722,0.121114,0.121214,0.125435,0.123746,0.123275,0.000000,0.121796,0.120950
HAP4_chr07,0.141411,0.139497,0.137234,0.135951,0.134615,0.135470,0.059242,0.132686,0.119946,0.119639,0.126504,0.132144,0.121007,0.121686,0.021038,0.118255,0.119450,0.136461,0.125442,0.122899,0.120008,0.121704,0.020661,0.118488,0.119865,0.119806,0.128262,0.121712,0.121355,0.121796,0.000000,0.117458
HAP4_chr08,0.136149,0.135645,0.133681,0.133590,0.131709,0.133775,0.128952,0.049704,0.118831,0.117881,0.122353,0.129673,0.118968,0.119726,0.117314,0.018777,0.117765,0.133393,0.122083,0.120948,0.118880,0.119329,0.117426,0.012874,0.118242,0.117855,0.123272,0.121216,0.120187,0.120950,0.117458,0.000000
