chrom	unit_a	unit_b	hap_a	hap_b	distance	resolution_limited
chr01	HAP1_chr01	HAP2_chr01	HAP1	HAP2	0.025289	False
chr01	HAP1_chr01	HAP3_chr01	HAP1	HAP3	0.036350	False
chr01	HAP1_chr01	HAP4_chr01	HAP1	HAP4	0.030760	False
chr01	HAP2_chr01	HAP3_chr01	HAP2	HAP3	0.032855	False
chr01	HAP2_chr01	HAP4_chr01	HAP2	HAP4	0.033938	False
chr01	HAP3_chr01	HAP4_chr01	HAP3	HAP4	0.028323	False
chr02	HAP1_chr02	HAP2_chr02	HAP1	HAP2	0.041310	False
chr02	HAP1_chr02	HAP3_chr02	HAP1	HAP3	0.039184	False
chr02	HAP1_chr02	HAP4_chr02	HAP1	HAP4	0.044769	False
chr02	HAP2_chr02	HAP3_chr02	HAP2	HAP3	0.027905	False
chr02	HAP2_chr02	HAP4_chr02	HAP2	HAP4	0.039640	False
chr02	HAP3_chr02	HAP4_chr02	HAP3	HAP4	0.035955	False
chr03	HAP1_chr03	HAP2_chr03	HAP1	HAP2	0.023049	False
chr03	HAP1_chr03	HAP3_chr03	HAP1	HAP3	0.041738	False
chr03	HAP1_chr03	HAP4_chr03	HAP1	HAP4	0.042464	False
chr03	HAP2_chr03	HAP3_chr03	HAP2	HAP3	0.043790	False
chr03	HAP2_chr03	HAP4_chr03	HAP2	HAP4	0.044292	False
chr03	HAP3_chr03	HAP4_chr03	HAP3	HAP4	0.021771	False
chr04	HAP1_chr04	HAP2_chr04	HAP1	HAP2	0.042288	False
chr04	HAP1_chr04	HAP3_chr04	HAP1	HAP3	0.026943	False
chr04	HAP1_chr04	HAP4_chr04	HAP1	HAP4	0.027387	False
chr04	HAP2_chr04	HAP3_chr04	HAP2	HAP3	0.037860	False
chr04	HAP2_chr04	HAP4_chr04	HAP2	HAP4	0.038551	False
chr04	HAP3_chr04	HAP4_chr04	HAP3	HAP4	0.025519	False
chr05	HAP1_chr05	HAP2_chr05	HAP1	HAP2	0.033096	False
chr05	HAP1_chr05	HAP3_chr05	HAP1	HAP3	0.031908	False
chr05	HAP1_chr05	HAP4_chr05	HAP1	HAP4	0.029326	False
chr05	HAP2_chr05	HAP3_chr05	HAP2	HAP3	0.044279	False
chr05	HAP2_chr05	HAP4_chr05	HAP2	HAP4	0.036091	False
chr05	HAP3_chr05	HAP4_chr05	HAP3	HAP4	0.032383	False
chr06	HAP1_chr06	HAP2_chr06	HAP1	HAP2	0.027960	False
chr06	HAP1_chr06	HAP3_chr06	HAP1	HAP3	0.023591	False
chr06	HAP1_chr06	HAP4_chr06	HAP1	HAP4	0.049272	False
chr06	HAP2_chr06	HAP3_chr06	HAP2	HAP3	0.027332	False
chr06	HAP2_chr06	HAP4_chr06	HAP2	HAP4	0.049500	False
chr06	HAP3_chr06	HAP4_chr06	HAP3	HAP4	0.050936	False
chr07	HAP1_chr07	HAP2_chr07	HAP1	HAP2	0.045402	False
chr07	HAP1_chr07	HAP3_chr07	HAP1	HAP3	0.040537	False
chr07	HAP1_chr07	HAP4_chr07	HAP1	HAP4	0.029525	False
chr07	HAP2_chr07	HAP3_chr07	HAP2	HAP3	0.043436	False
chr07	HAP2_chr07	HAP4_chr07	HAP2	HAP4	0.045447	False
chr07	HAP3_chr07	HAP4_chr07	HAP3	HAP4	0.035886	False
chr08	HAP1_chr08	HAP2_chr08	HAP1	HAP2	0.048887	False
chr08	HAP1_chr08	HAP3_chr08	HAP1	HAP3	0.052253	False
chr08	HAP1_chr08	HAP4_chr08	HAP1	HAP4	0.050444	False
chr08	HAP2_chr08	HAP3_chr08	HAP2	HAP3	0.025422	False
chr08	HAP2_chr08	HAP4_chr08	HAP2	HAP4	0.038394	False
chr08	HAP3_chr08	HAP4_chr08	HAP3	HAP4	0.031997	False
