,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP3_chr01,HAP3_chr02,HAP3_chr03,HAP3_chr04,HAP3_chr05,HAP3_chr06,HAP3_chr07,HAP3_chr08,HAP4_chr01,HAP4_chr02,HAP4_chr03,HAP4_chr04,HAP4_chr05,HAP4_chr06,HAP4_chr07,HAP4_chr08
HAP1_chr01,0.000000,0.129784,0.128310,0.129989,0.127451,0.127332,0.128893,0.134038,0.025289,0.132508,0.127946,0.132054,0.129748,0.126476,0.132989,0.127738,0.036350,0.127818,0.126874,0.128519,0.128056,0.126950,0.129399,0.127265,0.030760,0.130731,0.127863,0.130302,0.128137,0.133368,0.130299,0.128712
HAP1_chr02,0.129784,0.000000,0.127538,0.126920,0.125801,0.125574,0.125919,0.128797,0.130610,0.041310,0.127614,0.129619,0.126345,0.125148,0.130932,0.123996,0.129414,0.039184,0.125981,0.126328,0.125602,0.125235,0.127366,0.123706,0.130178,0.044769,0.126085,0.126852,0.125564,0.131076,0.128319,0.125640
HAP1_chr03,0.128310,0.127538,0.000000,0.128847,0.124453,0.125435,0.125198,0.127121,0.130872,0.130271,0.023049,0.126441,0.117905,0.123527,0.125027,0.125724,0.123409,0.123576,0.041738,0.128035,0.124568,0.124754,0.120573,0.123802,0.123169,0.121156,0.042464,0.129195,0.125365,0.123827,0.127789,0.121749
HAP1_chr04,0.129989,0.126920,0.128847,0.000000,0.125760,0.126566,0.126645,0.132730,0.130780,0.131295,0.128825,0.042288,0.128503,0.127106,0.132092,0.127618,0.130961,0.127062,0.125718,0.026943,0.126106,0.126290,0.128544,0.126654,0.130818,0.131271,0.126336,0.027387,0.125621,0.132633,0.127349,0.129086
HAP1_chr05,0.127451,0.125801,0.124453,0.125760,0.000000,0.121119,0.123906,0.129769,0.127765,0.126021,0.124036,0.128585,0.033096,0.120255,0.128378,0.122628,0.127115,0.122604,0.122216,0.123774,0.031908,0.121002,0.124754,0.122450,0.128580,0.126278,0.122114,0.125273,0.029326,0.127684,0.125112,0.125300
HAP1_chr06,0.127332,0.125574,0.125435,0.126566,0.121119,0.000000,0.123540,0.131181,0.126157,0.126472,0.125843,0.129961,0.124836,0.027960,0.128375,0.122183,0.128073,0.123794,0.120468,0.125063,0.122063,0.023591,0.125080,0.123623,0.129066,0.128087,0.121791,0.125757,0.120268,0.049272,0.123042,0.125917
HAP1_chr07,0.128893,0.125919,0.125198,0.126645,0.123906,0.123540,0.000000,0.129861,0.128965,0.127847,0.125382,0.130682,0.125032,0.122526,0.045402,0.122805,0.128349,0.123682,0.123298,0.123944,0.124867,0.122159,0.040537,0.123109,0.129085,0.126334,0.124078,0.126894,0.123660,0.129891,0.029525,0.125459
HAP1_chr08,0.134038,0.128797,0.127121,0.132730,0.129769,0.131181,0.129861,0.000000,0.134969,0.134181,0.127937,0.124269,0.127722,0.130867,0.120595,0.048887,0.131859,0.130120,0.130382,0.133249,0.126520,0.130375,0.127193,0.052253,0.132056,0.129800,0.130881,0.132755,0.131116,0.118976,0.131433,0.050444
HAP2_chr01,0.025289,0.130610,0.130872,0.130780,0.127765,0.126157,0.128965,0.134969,0.000000,0.132151,0.130673,0.133287,0.131625,0.126849,0.134378,0.127171,0.032855,0.128282,0.126466,0.128861,0.128152,0.127259,0.129206,0.128092,0.033938,0.133195,0.127194,0.129427,0.126005,0.133942,0.130396,0.131068
HAP2_chr02,0.132508,0.041310,0.130271,0.131295,0.126021,0.126472,0.127847,0.134181,0.132151,0.000000,0.130438,0.133713,0.129471,0.126761,0.133155,0.127389,0.132930,0.027905,0.126455,0.129638,0.127144,0.126302,0.129023,0.127337,0.134143,0.039640,0.125768,0.130610,0.126045,0.133374,0.128005,0.129588
HAP2_chr03,0.127946,0.127614,0.023049,0.128825,0.124036,0.125843,0.125382,0.127937,0.130673,0.130438,0.000000,0.126451,0.118233,0.124030,0.126531,0.125729,0.124589,0.124271,0.043790,0.128471,0.125389,0.124513,0.120788,0.123743,0.123750,0.120725,0.044292,0.129041,0.125278,0.124938,0.128755,0.122138
HAP2_chr04,0.132054,0.129619,0.126441,0.042288,0.128585,0.129961,0.130682,0.124269,0.133287,0.133713,0.126451,0.000000,0.126881,0.129066,0.124700,0.129548,0.129986,0.130436,0.129734,0.037860,0.127778,0.128936,0.128188,0.128955,0.130818,0.130215,0.130197,0.038551,0.128686,0.123348,0.131274,0.129382
HAP2_chr05,0.129748,0.126345,0.117905,0.128503,0.033096,0.124836,0.125032,0.127722,0.131625,0.129471,0.118233,0.126881,0.000000,0.122574,0.126918,0.126876,0.124232,0.124241,0.125274,0.127896,0.044279,0.123716,0.120491,0.124351,0.125288,0.119713,0.126289,0.128945,0.036091,0.125317,0.128246,0.123066
HAP2_chr06,0.126476,0.125148,0.123527,0.127106,0.120255,0.027960,0.122526,0.130867,0.126849,0.126761,0.124030,0.129066,0.122574,0.000000,0.127798,0.122282,0.126748,0.122744,0.121803,0.125903,0.121645,0.027332,0.123725,0.121917,0.127340,0.126152,0.122511,0.126661,0.120934,0.049500,0.123517,0.124180
HAP2_chr07,0.132989,0.130932,0.125027,0.132092,0.128378,0.128375,0.045402,0.120595,0.134378,0.133155,0.126531,0.124700,0.126918,0.127798,0.000000,0.128858,0.131018,0.128213,0.128522,0.130989,0.126847,0.128489,0.043436,0.127152,0.131213,0.128627,0.129210,0.131568,0.128035,0.120321,0.045447,0.127426
HAP2_chr08,0.127738,0.123996,0.125724,0.127618,0.122628,0.122183,0.122805,0.048887,0.127171,0.127389,0.125729,0.129548,0.126876,0.122282,0.128858,0.000000,0.127392,0.124144,0.122280,0.125605,0.123065,0.122827,0.125010,0.025422,0.128241,0.127637,0.123401,0.127219,0.122061,0.130441,0.124271,0.038394
HAP3_chr01,0.036350,0.129414,0.123409,0.130961,0.127115,0.128073,0.128349,0.131859,0.032855,0.132930,0.124589,0.129986,0.124232,0.126748,0.131018,0.127392,0.000000,0.127159,0.128340,0.129727,0.128291,0.127574,0.124005,0.126893,0.028323,0.126634,0.128224,0.130453,0.127525,0.131494,0.130792,0.126186
HAP3_chr02,0.127818,0.039184,0.123576,0.127062,0.122604,0.123794,0.123682,0.130120,0.128282,0.027905,0.124271,0.130436,0.124241,0.122744,0.128213,0.124144,0.127159,0.000000,0.122220,0.126559,0.123272,0.122425,0.123973,0.122893,0.127093,0.035955,0.123471,0.127348,0.122555,0.129007,0.124636,0.124856
HAP3_chr03,0.126874,0.125981,0.041738,0.125718,0.122216,0.120468,0.123298,0.130382,0.126466,0.126455,0.043790,0.129734,0.125274,0.121803,0.128522,0.122280,0.128340,0.122220,0.000000,0.124286,0.122192,0.121281,0.125544,0.122873,0.128350,0.128387,0.021771,0.125096,0.120670,0.128753,0.124220,0.126050
HAP3_chr04,0.128519,0.126328,0.128035,0.026943,0.123774,0.125063,0.123944,0.133249,0.128861,0.129638,0.128471,0.037860,0.127896,0.125903,0.130989,0.125605,0.129727,0.126559,0.124286,0.000000,0.125416,0.124556,0.127239,0.125784,0.130001,0.130236,0.124679,0.025519,0.123721,0.132588,0.124469,0.128887
HAP3_chr05,0.128056,0.125602,0.124568,0.126106,0.031908,0.122063,0.124867,0.126520,0.128152,0.127144,0.125389,0.127778,0.044279,0.121645,0.126847,0.123065,0.128291,0.123272,0.122192,0.125416,0.000000,0.121150,0.125345,0.123449,0.129628,0.127426,0.122613,0.124941,0.032383,0.124721,0.125357,0.126525
HAP3_chr06,0.126950,0.125235,0.124754,0.126290,0.121002,0.023591,0.122159,0.130375,0.127259,0.126302,0.124513,0.128936,0.123716,0.027332,0.128489,0.122827,0.127574,0.122425,0.121281,0.124556,0.121150,0.000000,0.124623,0.123018,0.128200,0.127222,0.122675,0.125894,0.120421,0.050936,0.123163,0.125488
HAP3_chr07,0.129399,0.127366,0.120573,0.128544,0.124754,0.125080,0.040537,0.127193,0.129206,0.129023,0.120788,0.128188,0.120491,0.123725,0.043436,0.125010,0.124005,0.123973,0.125544,0.127239,0.125345,0.124623,0.000000,0.123425,0.124613,0.121971,0.125973,0.128093,0.124506,0.126850,0.035886,0.123005
HAP3_chr08,0.127265,0.123706,0.123802,0.126654,0.122450,0.123623,0.123109,0.052253,0.128092,0.127337,0.123743,0.128955,0.124351,0.121917,0.127152,0.025422,0.126893,0.122893,0.122873,0.125784,0.123449,0.123018,0.123425,0.000000,0.127215,0.125429,0.123984,0.127518,0.122400,0.129783,0.124474,0.031997
HAP4_chr01,0.030760,0.130178,0.123169,0.130818,0.128580,0.129066,0.129085,0.132056,0.033938,0.134143,0.123750,0.130818,0.125288,0.127340,0.131213,0.128241,0.028323,0.127093,0.128350,0.130001,0.129628,0.128200,0.124613,0.127215,0.000000,0.126835,0.129236,0.131056,0.128805,0.131031,0.130978,0.126179
HAP4_chr02,0.130731,0.044769,0.121156,0.131271,0.126278,0.128087,0.126334,0.129800,0.133195,0.039640,0.120725,0.130215,0.119713,0.126152,0.128627,0.127637,0.126634,0.035955,0.128387,0.130236,0.127426,0.127222,0.121971,0.125429,0.126835,0.000000,0.128525,0.131224,0.127738,0.127994,0.129516,0.123556
HAP4_chr03,0.127863,0.126085,0.042464,0.126336,0.122114,0.121791,0.124078,0.130881,0.127194,0.125768,0.044292,0.130197,0.126289,0.122511,0.129210,0.123401,0.128224,0.123471,0.021771,0.124679,0.122613,0.122675,0.125973,0.123984,0.129236,0.128525,0.000000,0.125287,0.120547,0.129547,0.124615,0.127248
HAP4_chr04,0.130302,0.126852,0.129195,0.027387,0.125273,0.125757,0.126894,0.132755,0.129427,0.130610,0.129041,0.038551,0.128945,0.126661,0.131568,0.127219,0.130453,0.127348,0.125096,0.025519,0.124941,0.125894,0.128093,0.127518,0.131056,0.131224,0.125287,0.000000,0.124621,0.132009,0.125763,0.129364
HAP4_chr05,0.128137,0.125564,0.125365,0.125621,0.029326,0.120268,0.123660,0.131116,0.126005,0.126045,0.125278,0.128686,0.036091,0.120934,0.128035,0.122061,0.127525,0.122555,0.120670,0.123721,0.032383,0.120421,0.124506,0.122400,0.128805,0.127738,0.120547,0.124621,0.000000,0.127816,0.124106,0.125997
HAP4_chr06,0.133368,0.131076,0.123827,0.132633,0.127684,0.049272,0.129891,0.118976,0.133942,0.133374,0.124938,0.123348,0.125317,0.049500,0.120321,0.130441,0.131494,0.129007,0.128753,0.132588,0.124721,0.050936,0.126850,0.129783,0.131031,0.127994,0.129547,0.132009,0.127816,0.000000,0.131044,0.129129
HAP4_chr07,0.130299,0.128319,0.127789,0.127349,0.125112,0.123042,0.029525,0.131433,0.130396,0.128005,0.128755,0.131274,0.128246,0.123517,0.045447,0.124271,0.130792,0.124636,0.124220,0.124469,0.125357,0.123163,0.035886,0.124474,0.130978,0.129516,0.124615,0.125763,0.124106,0.131044,0.000000,0.126910
HAP4_chr08,0.128712,0.125640,0.121749,0.129086,0.125300,0.125917,0.125459,0.050444,0.131068,0.129588,0.122138,0.129382,0.123066,0.124180,0.127426,0.038394,0.126186,0.124856,0.126050,0.128887,0.126525,0.125488,0.123005,0.031997,0.126179,0.123556,0.127248,0.129364,0.125997,0.129129,0.126910,0.000000
