unit_a	unit_b	k	shared	kmers_a	kmers_b	jaccard	containment	distance	resolution_limited	z
HAP1_chr01	HAP1_chr02	11	2031908	2083154	2041947	0.970722	0.995084	0.001361	True	2.5211
HAP1_chr01	HAP1_chr02	13	10185875	18445605	13900853	0.459639	0.732752	0.035566	False	920.3888
HAP1_chr01	HAP1_chr02	15	6975834	39699227	24920785	0.121015	0.279920	0.102195	False	3781.2792
HAP1_chr01	HAP1_chr02	17	3388641	46672217	28182407	0.047416	0.120240	0.141292	False	8268.3756
HAP1_chr01	HAP1_chr02	19	2491511	48678113	29381716	0.032970	0.084798	0.144813	False	24321.7346
HAP1_chr01	HAP1_chr02	23	2052576	50390909	30837814	0.025924	0.066560	0.129784	False	308849.5091
HAP1_chr01	HAP1_chr03	11	2044300	2083154	2054842	0.976407	0.994870	0.001092	True	2.2213
HAP1_chr01	HAP1_chr03	13	10568116	18445605	14575495	0.470678	0.725061	0.034320	False	902.8546
HAP1_chr01	HAP1_chr03	15	7355439	39699227	26530484	0.124935	0.277245	0.100303	False	3850.8114
HAP1_chr01	HAP1_chr03	17	3606307	46672217	30044776	0.049327	0.120031	0.139076	False	8521.6988
HAP1_chr01	HAP1_chr03	19	2636375	48678113	31201710	0.034131	0.084495	0.143051	False	24973.6350
HAP1_chr01	HAP1_chr03	23	2164245	50390909	32401922	0.026842	0.066794	0.128310	False	317695.1103
HAP1_chr01	HAP1_chr04	11	2047645	2083154	2058447	0.977883	0.994752	0.001022	True	2.0544
HAP1_chr01	HAP1_chr04	13	10740897	18445605	14883140	0.475517	0.721682	0.033786	False	894.7548
HAP1_chr01	HAP1_chr04	15	7448444	39699227	27378061	0.124913	0.272059	0.100313	False	3812.0523
HAP1_chr01	HAP1_chr04	17	3556091	46672217	30978821	0.047994	0.114791	0.140613	False	8257.4781
HAP1_chr01	HAP1_chr04	19	2561664	48678113	32071144	0.032763	0.079874	0.145134	False	23928.9122
HAP1_chr01	HAP1_chr04	23	2100231	50390909	33117341	0.025799	0.063418	0.129989	False	304949.7858
HAP1_chr01	HAP1_chr05	11	2037970	2083154	2048345	0.973462	0.994935	0.001231	True	2.3115
HAP1_chr01	HAP1_chr05	13	10435065	18445605	14330109	0.467089	0.728192	0.034721	False	911.2086
HAP1_chr01	HAP1_chr05	15	7190266	39699227	25942122	0.123013	0.277166	0.101222	False	3806.3906
HAP1_chr01	HAP1_chr05	17	3517590	46672217	29274635	0.048566	0.120158	0.139948	False	8421.1081
HAP1_chr01	HAP1_chr05	19	2606740	48678113	30368087	0.034102	0.085838	0.143094	False	25031.1836
HAP1_chr01	HAP1_chr05	23	2184116	50390909	31527697	0.027392	0.069276	0.127451	False	325026.9734
HAP1_chr01	HAP1_chr06	11	2036224	2083154	2046399	0.972720	0.995028	0.001266	True	2.4438
HAP1_chr01	HAP1_chr06	13	10520623	18445605	14414731	0.470938	0.729852	0.034291	False	922.3985
HAP1_chr01	HAP1_chr06	15	7402455	39699227	26500387	0.125898	0.279334	0.099848	False	3888.1737
HAP1_chr01	HAP1_chr06	17	3635473	46672217	30077954	0.049723	0.120868	0.138628	False	8588.6986
HAP1_chr01	HAP1_chr06	19	2674001	48678113	31260465	0.034608	0.085539	0.142344	False	25307.5411
HAP1_chr01	HAP1_chr06	23	2215997	50390909	32497306	0.027469	0.068190	0.127332	False	324814.3238
HAP1_chr01	HAP1_chr07	11	2035351	2083154	2045564	0.972286	0.995007	0.001286	True	2.4137
HAP1_chr01	HAP1_chr07	13	10332433	18445605	14157506	0.463948	0.729820	0.035075	False	913.9689
HAP1_chr01	HAP1_chr07	15	7103072	39699227	25536888	0.122186	0.278149	0.101623	False	3794.8266
HAP1_chr01	HAP1_chr07	17	3457760	46672217	28820820	0.048001	0.119974	0.140604	False	8342.1870
HAP1_chr01	HAP1_chr07	19	2540588	48678113	29907202	0.033409	0.084949	0.144139	False	24582.1523
HAP1_chr01	HAP1_chr07	23	2100867	50390909	31062918	0.026475	0.067633	0.128893	False	314968.4430
HAP1_chr01	HAP1_chr08	11	2041916	2083154	2052468	0.975264	0.994859	0.001146	True	2.2045
HAP1_chr01	HAP1_chr08	13	10387095	18445605	14313673	0.464286	0.725676	0.035037	False	897.8516
HAP1_chr01	HAP1_chr08	15	7017570	39699227	25604218	0.120399	0.274079	0.102499	False	3724.0764
HAP1_chr01	HAP1_chr08	17	3320177	46672217	28807638	0.046012	0.115253	0.142982	False	7996.5188
HAP1_chr01	HAP1_chr08	19	2360392	48678113	29853030	0.030988	0.079067	0.147975	False	22852.2092
HAP1_chr01	HAP1_chr08	23	1863663	50390909	30942450	0.023451	0.060230	0.134038	False	279948.7374
HAP1_chr01	HAP2_chr01	11	2074481	2083154	2082604	0.991969	0.996100	0.000367	True	4.0172
HAP1_chr01	HAP2_chr01	13	15848519	18445605	18394109	0.755008	0.861608	0.011566	False	1804.1162
HAP1_chr01	HAP2_chr01	15	27795220	39699227	39682158	0.538812	0.700446	0.023750	False	14513.1980
HAP1_chr01	HAP2_chr01	17	29526841	46672217	46707405	0.462421	0.632643	0.026954	False	58108.6797
HAP1_chr01	HAP2_chr01	19	29216086	48678113	48732273	0.428424	0.600189	0.026898	False	222251.7087
HAP1_chr01	HAP2_chr01	23	28188454	50390909	50466827	0.387901	0.559396	0.025289	False	3315629.1564
HAP1_chr01	HAP2_chr02	11	2022310	2083154	2032106	0.966249	0.995179	0.001574	True	2.6520
HAP1_chr01	HAP2_chr02	13	9596668	18445605	13029150	0.438643	0.736554	0.038048	False	909.5724
HAP1_chr01	HAP2_chr02	15	6310908	39699227	22261393	0.113404	0.283491	0.106071	False	3635.7883
HAP1_chr01	HAP2_chr02	17	3046114	46672217	24766554	0.044539	0.122993	0.144813	False	7937.0101
HAP1_chr01	HAP2_chr02	19	2226895	48678113	25569885	0.030920	0.087091	0.148087	False	23305.2419
HAP1_chr01	HAP2_chr02	23	1822691	50390909	26403809	0.024312	0.069031	0.132508	False	296394.0995
HAP1_chr01	HAP2_chr03	11	2044294	2083154	2054847	0.976399	0.994864	0.001092	True	2.2137
HAP1_chr01	HAP2_chr03	13	10602455	18445605	14623572	0.471918	0.725025	0.034182	False	904.1591
HAP1_chr01	HAP2_chr03	15	7407599	39699227	26697099	0.125577	0.277468	0.099999	False	3867.1310
