unit_a	unit_b	chrom	n_markers_a	n_markers_b	n_highcopy_a	n_highcopy_b
HAP1_chr01	HAP2_chr01	chr01	6099	3305	164599	161809
HAP1_chr02	HAP2_chr02	chr02	1816	4743	153513	156415
HAP1_chr03	HAP2_chr03	chr03	6225	1727	148673	144177
HAP1_chr04	HAP2_chr04	chr04	1355	8099	153651	160403
HAP1_chr05	HAP2_chr05	chr05	5668	1105	153795	149750
HAP1_chr06	HAP2_chr06	chr06	3403	5610	147897	150348
HAP1_chr07	HAP2_chr07	chr07	4122	2655	154207	152255
HAP1_chr08	HAP2_chr08	chr08	3370	2580	151580	150790
HAP1_chr09	HAP2_chr09	chr09	1480	3361	144599	146463
HAP1_chr10	HAP2_chr10	chr10	4032	3132	146682	145979
HAP1_chr11	HAP2_chr11	chr11	2742	1974	138373	137603
HAP1_chr12	HAP2_chr12	chr12	2742	1730	135767	135312
HAP1_chr13	HAP2_chr13	chr13	4480	2408	125869	123714
HAP1_chr14	HAP2_chr14	chr14	2574	4211	128370	129988
HAP1_chr15	HAP2_chr15	chr15	5330	2720	135013	132403
HAP1_chr16	HAP2_chr16	chr16	4396	2871	124504	123194
HAP1_chr17	HAP2_chr17	chr17	2915	2264	124047	123404
HAP1_chr18	HAP2_chr18	chr18	1869	2285	116632	117048
HAP1_chr19	HAP2_chr19	chr19	1842	2652	120552	121363
HAP1_chr20	HAP2_chr20	chr20	1840	4652	110952	113762
HAP1_chr21	HAP2_chr21	chr21	17925	1189	132392	115808
HAP1_chr22	HAP2_chr22	chr22	8469	1951	122515	115587
HAP1_chr23	HAP2_chr23	chr23	1047	5836	112944	117733
HAP1_chr24	HAP2_chr24	chr24	14905	221	114351	100567
HAP1_chr25	HAP2_chr25	chr25	2122	1908	101517	101303
HAP1_chr26	HAP2_chr26	chr26	3297	2466	106533	105763
HAP1_chr27	HAP2_chr27	chr27	2556	1633	94370	93454
HAP1_chr28	HAP2_chr28	chr28	4915	3954	101120	100303
HAP1_chr29	HAP2_chr29	chr29	1215	2617	103341	104743
HAP1_chr30	HAP2_chr30	chr30	2492	2196	93579	93275
HAP1_chr31	HAP2_chr31	chr31	1583	2137	91259	91813
HAP1_chr32	HAP2_chr32	chr32	3386	3934	87874	88429
HAP1_chr33	HAP2_chr33	chr33	3004	1335	77986	76317
HAP1_chr34	HAP2_chr34	chr34	986	1068	70307	70389
