chrom	n_haplotype_copies	own_mean_distance	homeolog_partner	homeolog_distance	homeolog_z	homeolog_q	distance_ratio
chr01	2	0.016367	chr03	0.053782	-7.560	4.58425e-13	3.73
chr02	2	0.015971	chr04	0.051016	-7.948	8.58758e-14	3.82
chr03	2	0.012486	chr01	0.053782	-7.560	4.58425e-13	3.73
chr04	2	0.010751	chr02	0.051016	-7.948	8.58758e-14	3.82
chr05	2	0.012876	chr09	0.053020	-7.667	4.01595e-13	4.95
chr06	2	0.017404	chr10	0.053747	-7.565	4.58425e-13	3.93
chr07	2	0.017118	chr12	0.055090	-7.377	1.23257e-12	4.09
chr08	2	0.020482	chr11	0.055092	-7.376	1.23257e-12	3.35
chr09	2	0.008560	chr05	0.053020	-7.667	4.01595e-13	4.95
chr10	2	0.009949	chr06	0.053747	-7.565	4.58425e-13	3.93
chr11	2	0.012420	chr08	0.055092	-7.376	1.23257e-12	3.35
chr12	2	0.009813	chr07	0.055090	-7.377	1.23257e-12	4.09
chr13	2	0.017343	chr14	0.056184	-7.223	3.2972e-12	4.65
chr14	2	0.006812	chr13	0.056184	-7.223	3.2972e-12	4.65
