chrom	n_haplotype_copies	own_mean_distance	homeolog_partner	homeolog_distance	homeolog_z	homeolog_q	distance_ratio
chr01	2	0.014440	chr06	0.083229	-11.316	0	6.09
chr02	2	0.016997	chr04	0.084350	-10.980	0	5.37
chr03	2	0.013638	chr13	0.102345	-5.594	2.76936e-07	8.12
chr04	2	0.014403	chr02	0.084350	-10.980	0	5.37
chr05	2	0.017892	chr08	0.085436	-10.655	0	5.05
chr06	2	0.012894	chr01	0.083229	-11.316	0	6.09
chr07	2	0.016511	chr17	0.088289	-9.801	0	5.90
chr08	2	0.015935	chr05	0.085436	-10.655	0	5.05
chr09	2	0.011250	chr24	0.092942	-8.409	0	6.47
chr10	2	0.017014	chr20	0.099905	-6.324	4.12905e-09	6.57
chr11	2	0.014560	chr16	0.091730	-8.771	0	6.31
chr12	2	0.012958	chr14	0.085981	-10.492	0	6.10
chr13	2	0.011575	chr03	0.102345	-5.594	2.76936e-07	8.12
chr14	2	0.015227	chr12	0.085981	-10.492	0	6.10
chr15	2	0.020722	chr26	0.103951	-5.114	3.6657e-06	5.33
chr16	2	0.014519	chr11	0.091730	-8.771	0	6.31
chr17	2	0.013439	chr07	0.088289	-9.801	0	5.90
chr18	2	0.011415	chr22	0.086148	-10.442	0	6.64
chr19	2	0.013229	chr23	0.087877	-9.924	0	5.45
chr20	2	0.013387	chr10	0.099905	-6.324	4.12905e-09	6.57
chr21	2	0.014194	chr25	0.106187	-4.445	9.5422e-05	7.05
chr22	2	0.014542	chr18	0.086148	-10.442	0	6.64
chr23	2	0.019041	chr19	0.087877	-9.924	0	5.45
chr24	2	0.017469	chr09	0.092942	-8.409	0	6.47
chr25	2	0.015911	chr21	0.106187	-4.445	9.5422e-05	7.05
chr26	2	0.018274	chr15	0.103951	-5.114	3.6657e-06	5.33
