chrom_a	chrom_b	mean_distance	n_haplotype_copy_pairs	resolution_limited	n_resolution_limited_of_total
chr02	chr07	0.073677	4	False	0/4
chr04	chr05	0.075067	4	False	0/4
chr08	chr10	0.075472	4	False	0/4
chr23	chr25	0.075985	4	False	0/4
chr13	chr14	0.076914	4	False	0/4
chr17	chr26	0.079942	4	False	0/4
chr09	chr11	0.080386	4	False	0/4
chr03	chr12	0.086074	4	False	0/4
chr15	chr18	0.092202	4	False	0/4
chr16	chr20	0.093277	4	False	0/4
chr06	chr22	0.096220	4	False	0/4
chr19	chr21	0.101504	4	False	0/4
