chrom	unit_a	unit_b	hap_a	hap_b	distance	resolution_limited
chr01	HAP1_chr01	HAP2_chr01	HAP1	HAP2	0.003968	False
chr02	HAP1_chr02	HAP2_chr02	HAP1	HAP2	0.002086	False
chr03	HAP1_chr03	HAP2_chr03	HAP1	HAP2	0.004758	False
chr04	HAP1_chr04	HAP2_chr04	HAP1	HAP2	0.002064	False
chr05	HAP1_chr05	HAP2_chr05	HAP1	HAP2	0.129626	False
chr06	HAP1_chr06	HAP2_chr06	HAP1	HAP2	0.124717	False
chr07	HAP1_chr07	HAP2_chr07	HAP1	HAP2	0.120962	False
chr08	HAP1_chr08	HAP2_chr08	HAP1	HAP2	0.120732	False
chr09	HAP1_chr09	HAP2_chr09	HAP1	HAP2	0.120191	False
chr10	HAP1_chr10	HAP2_chr10	HAP1	HAP2	0.126685	False
chr11	HAP1_chr11	HAP2_chr11	HAP1	HAP2	0.129144	False
chr12	HAP1_chr12	HAP2_chr12	HAP1	HAP2	0.123676	False
chr13	HAP1_chr13	HAP2_chr13	HAP1	HAP2	0.119689	False
chr14	HAP1_chr14	HAP2_chr14	HAP1	HAP2	0.121788	False
chr15	HAP1_chr15	HAP2_chr15	HAP1	HAP2	0.121316	False
chr16	HAP1_chr16	HAP2_chr16	HAP1	HAP2	0.002097	False
chr17	HAP1_chr17	HAP2_chr17	HAP1	HAP2	0.003386	False
chr18	HAP1_chr18	HAP2_chr18	HAP1	HAP2	0.120625	False
chr19	HAP1_chr19	HAP2_chr19	HAP1	HAP2	0.008014	False
chr20	HAP1_chr20	HAP2_chr20	HAP1	HAP2	0.002490	False
chr21	HAP1_chr21	HAP2_chr21	HAP1	HAP2	0.124371	False
chr22	HAP1_chr22	HAP2_chr22	HAP1	HAP2	0.123665	False
chr23	HAP1_chr23	HAP2_chr23	HAP1	HAP2	0.001459	False
chr24	HAP1_chr24	HAP2_chr24	HAP1	HAP2	0.001969	False
chr25	HAP1_chr25	HAP2_chr25	HAP1	HAP2	0.003559	False
chr26	HAP1_chr26	HAP2_chr26	HAP1	HAP2	0.002016	False
