,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP1_chr19,HAP1_chr20,HAP1_chr21,HAP1_chr22,HAP1_chr23,HAP1_chr24,HAP1_chr25,HAP1_chr26,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP2_chr18,HAP2_chr19,HAP2_chr20,HAP2_chr21,HAP2_chr22,HAP2_chr23,HAP2_chr24,HAP2_chr25,HAP2_chr26
HAP1_chr01,0.000000,0.116852,0.119882,0.119701,0.085197,0.122263,0.121749,0.122104,0.118556,0.122214,0.118961,0.120499,0.119604,0.121175,0.121575,0.131301,0.121290,0.123773,0.124645,0.126418,0.126620,0.126227,0.125775,0.127820,0.134129,0.130289,0.003968,0.117217,0.118441,0.119816,0.122812,0.121783,0.122289,0.119297,0.120588,0.125012,0.085574,0.122623,0.121102,0.122347,0.124518,0.131311,0.121802,0.123412,0.127710,0.126657,0.128152,0.126826,0.125986,0.127700,0.134457,0.130073
HAP1_chr02,0.116852,0.000000,0.119662,0.085505,0.126839,0.121355,0.119280,0.120320,0.118218,0.121565,0.118025,0.119694,0.117537,0.120316,0.121613,0.130838,0.120179,0.122523,0.123637,0.124708,0.126275,0.124879,0.124192,0.126378,0.132809,0.129750,0.116914,0.002086,0.118455,0.085449,0.121971,0.120922,0.120708,0.117977,0.119438,0.123647,0.127846,0.122237,0.120257,0.121494,0.122934,0.130999,0.120533,0.120609,0.126018,0.125103,0.127605,0.126200,0.124783,0.126085,0.132781,0.129436
HAP1_chr03,0.119882,0.119662,0.000000,0.119817,0.127042,0.122070,0.110713,0.122793,0.120657,0.121796,0.110588,0.122080,0.120275,0.122810,0.121532,0.131201,0.103762,0.122453,0.111178,0.127492,0.129258,0.126456,0.126755,0.127175,0.126041,0.130354,0.119954,0.120005,0.004758,0.120259,0.122493,0.123198,0.122781,0.110641,0.121937,0.124585,0.128050,0.122145,0.122342,0.121757,0.122967,0.131172,0.103511,0.111222,0.115111,0.127743,0.128019,0.129283,0.126804,0.127014,0.126463,0.130479
HAP1_chr04,0.119701,0.085505,0.119817,0.000000,0.127439,0.121202,0.121944,0.120845,0.120465,0.121006,0.120616,0.121072,0.119978,0.122424,0.120064,0.129768,0.120882,0.122455,0.123014,0.125337,0.127980,0.125892,0.126149,0.125638,0.132211,0.129785,0.119655,0.085418,0.119723,0.002064,0.122522,0.122827,0.121095,0.120923,0.120236,0.124534,0.127650,0.121417,0.122005,0.120286,0.122986,0.129958,0.121721,0.123210,0.125321,0.125518,0.128775,0.128457,0.126552,0.125307,0.132687,0.129668
HAP1_chr05,0.085197,0.126839,0.127042,0.127439,0.000000,0.128957,0.128784,0.129011,0.127657,0.128399,0.128192,0.128825,0.128738,0.130080,0.127920,0.135327,0.129280,0.129543,0.131719,0.132711,0.133831,0.132066,0.132251,0.132985,0.137698,0.135007,0.085237,0.127260,0.126038,0.127409,0.129626,0.130225,0.129278,0.128832,0.128588,0.132961,0.002233,0.128653,0.130412,0.128196,0.130344,0.135133,0.129335,0.130122,0.133309,0.133307,0.134171,0.133967,0.132371,0.132983,0.137541,0.135498
HAP1_chr06,0.122263,0.121355,0.122070,0.121202,0.128957,0.000000,0.122455,0.120685,0.122570,0.122307,0.121754,0.124409,0.121540,0.087425,0.120608,0.130467,0.121292,0.121025,0.122724,0.123757,0.126702,0.123609,0.125720,0.124829,0.130513,0.128528,0.123001,0.121687,0.121426,0.121861,0.003023,0.124717,0.121503,0.121476,0.123448,0.126038,0.130391,0.123455,0.087393,0.119781,0.121608,0.130587,0.121872,0.123921,0.124403,0.124353,0.126719,0.127192,0.126180,0.124874,0.130319,0.127227
HAP1_chr07,0.121749,0.119280,0.110713,0.121944,0.128784,0.122455,0.000000,0.121529,0.119128,0.122108,0.118898,0.122403,0.118798,0.121372,0.120396,0.130714,0.119105,0.118945,0.120579,0.119574,0.123329,0.121076,0.120619,0.124535,0.105636,0.125643,0.121646,0.119859,0.111154,0.122409,0.122970,0.120575,0.120962,0.119212,0.122217,0.121689,0.129912,0.122379,0.120908,0.119043,0.120307,0.131060,0.120017,0.004699,0.122010,0.119767,0.121782,0.123729,0.120377,0.124022,0.105811,0.125435
HAP1_chr08,0.122104,0.120320,0.122793,0.120845,0.129011,0.120685,0.121529,0.000000,0.120689,0.121456,0.120899,0.122802,0.119715,0.121589,0.120111,0.130134,0.103711,0.120282,0.122126,0.093399,0.126544,0.122746,0.123260,0.123158,0.128732,0.127427,0.122159,0.120436,0.122132,0.121333,0.121794,0.123381,0.002001,0.120732,0.122118,0.123204,0.129791,0.122225,0.121335,0.119093,0.121691,0.130072,0.103794,0.122968,0.122852,0.093511,0.125147,0.126758,0.123645,0.123223,0.128315,0.126349
HAP1_chr09,0.118556,0.118218,0.120657,0.120465,0.127657,0.122570,0.119128,0.120689,0.000000,0.086071,0.119541,0.120377,0.118607,0.121743,0.121367,0.130153,0.119948,0.123186,0.123469,0.124834,0.126606,0.123828,0.123636,0.126683,0.132043,0.129481,0.119187,0.118335,0.119638,0.120814,0.123883,0.011803,0.120971,0.119565,0.120191,0.122715,0.128260,0.085847,0.121484,0.121506,0.124191,0.130477,0.120384,0.120787,0.126178,0.125329,0.125928,0.126774,0.123633,0.126716,0.133052,0.129427
HAP1_chr10,0.122214,0.121565,0.121796,0.121006,0.128399,0.122307,0.122108,0.121456,0.086071,0.000000,0.122927,0.123656,0.122472,0.124489,0.121822,0.129464,0.122466,0.122260,0.123788,0.126550,0.128443,0.126885,0.126090,0.126026,0.130421,0.129429,0.122380,0.121511,0.121607,0.121234,0.122770,0.088144,0.121646,0.122794,0.123429,0.126685,0.128975,0.001927,0.123806,0.121647,0.123149,0.129694,0.122285,0.123779,0.125594,0.126719,0.128904,0.128398,0.126520,0.126253,0.130610,0.128666
HAP1_chr11,0.118961,0.118025,0.110588,0.120616,0.128192,0.121754,0.118898,0.120899,0.119541,0.122927,0.000000,0.120400,0.119445,0.119579,0.121776,0.130922,0.120672,0.121246,0.102478,0.124272,0.125669,0.123687,0.122810,0.126137,0.119413,0.128020,0.118022,0.117991,0.110510,0.120952,0.122557,0.121859,0.121192,0.009016,0.120187,0.123231,0.129144,0.122895,0.119690,0.121680,0.122228,0.130872,0.120937,0.120130,0.103446,0.124255,0.125734,0.125758,0.122603,0.126026,0.121685,0.127857
HAP1_chr12,0.120499,0.119694,0.122080,0.121072,0.128825,0.124409,0.122403,0.122802,0.120377,0.123656,0.120400,0.000000,0.121036,0.122360,0.123071,0.094433,0.121418,0.123228,0.123949,0.125516,0.126637,0.124717,0.125309,0.126777,0.132683,0.104292,0.120878,0.119893,0.121364,0.121750,0.124963,0.122778,0.123086,0.120657,0.001911,0.124662,0.129299,0.123676,0.121780,0.122865,0.124008,0.094566,0.120808,0.123482,0.125677,0.125350,0.127020,0.126940,0.125111,0.126450,0.132432,0.103865
HAP1_chr13,0.119604,0.117537,0.120275,0.119978,0.128738,0.121540,0.118798,0.119715,0.118607,0.122472,0.119445,0.121036,0.000000,0.120053,0.090713,0.131556,0.118630,0.122416,0.122157,0.122535,0.125432,0.122545,0.122465,0.124896,0.130322,0.126822,0.119556,0.117864,0.119599,0.120182,0.122156,0.120517,0.119894,0.118753,0.120272,0.009920,0.129502,0.122801,0.119689,0.095236,0.122789,0.131542,0.119474,0.119753,0.123831,0.122841,0.124071,0.125356,0.122692,0.124917,0.131040,0.126393
HAP1_chr14,0.121175,0.120316,0.122810,0.122424,0.130080,0.087425,0.121372,0.121589,0.121743,0.124489,0.119579,0.122360,0.120053,0.000000,0.122166,0.131208,0.121076,0.122875,0.123745,0.123406,0.126240,0.122725,0.123402,0.126159,0.130374,0.129663,0.121472,0.120692,0.122122,0.122705,0.087618,0.124014,0.121903,0.119175,0.121521,0.124305,0.131053,0.125087,0.002459,0.121788,0.123188,0.131187,0.121453,0.122762,0.125429,0.123758,0.125350,0.126197,0.124158,0.126338,0.130232,0.128724
HAP1_chr15,0.121575,0.121613,0.121532,0.120064,0.127920,0.120608,0.120396,0.120111,0.121367,0.121822,0.121776,0.123071,0.090713,0.122166,0.000000,0.128835,0.121032,0.120483,0.121309,0.122408,0.125102,0.123873,0.124852,0.123692,0.128641,0.128148,0.121450,0.121754,0.121613,0.120454,0.121734,0.123119,0.120332,0.121314,0.122083,0.094889,0.128330,0.122493,0.122064,0.006008,0.121316,0.128918,0.121437,0.121855,0.122831,0.122841,0.125582,0.124982,0.125140,0.123220,0.129318,0.127145
HAP1_chr16,0.131301,0.130838,0.131201,0.129768,0.135327,0.130467,0.130714,0.130134,0.130153,0.129464,0.130922,0.094433,0.131556,0.131208,0.128835,0.000000,0.130475,0.131256,0.130681,0.133555,0.134691,0.108104,0.132896,0.132594,0.136373,0.134846,0.131610,0.130746,0.130664,0.130039,0.131219,0.131719,0.130323,0.131452,0.094335,0.133606,0.135527,0.129356,0.130846,0.128068,0.131444,0.002097,0.130915,0.131637,0.131737,0.133636,0.109969,0.134647,0.133478,0.132612,0.137320,0.134234
HAP1_chr17,0.121290,0.120179,0.103762,0.120882,0.129280,0.121292,0.119105,0.103711,0.119948,0.122466,0.120672,0.121418,0.118630,0.121076,0.121032,0.130475,0.000000,0.120682,0.122137,0.121456,0.122993,0.121899,0.121826,0.123106,0.126525,0.125488,0.121107,0.120051,0.103888,0.121339,0.122106,0.121035,0.103542,0.119998,0.120652,0.122063,0.130313,0.123210,0.120740,0.120375,0.121318,0.130944,0.003386,0.120118,0.123603,0.121722,0.123125,0.123495,0.122365,0.123410,0.126638,0.125430
HAP1_chr18,0.123773,0.122523,0.122453,0.122455,0.129543,0.121025,0.118945,0.120282,0.123186,0.122260,0.121246,0.123228,0.122416,0.122875,0.120483,0.131256,0.120682,0.000000,0.122232,0.119073,0.125207,0.121974,0.089076,0.123389,0.125417,0.124960,0.124378,0.122797,0.122493,0.122835,0.121928,0.122507,0.118212,0.121982,0.122880,0.123039,0.130766,0.123029,0.122660,0.118785,0.002053,0.131055,0.120491,0.120625,0.123011,0.119336,0.124250,0.125714,0.089561,0.123921,0.126087,0.124118
HAP1_chr19,0.124645,0.123637,0.111178,0.123014,0.131719,0.122724,0.120579,0.122126,0.123469,0.123788,0.102478,0.123949,0.122157,0.123745,0.121309,0.130681,0.122137,0.122232,0.000000,0.123831,0.125428,0.123001,0.123600,0.123998,0.127419,0.124594,0.124621,0.123406,0.111701,0.123544,0.123314,0.123303,0.122477,0.102405,0.124303,0.123119,0.132203,0.123885,0.123625,0.120277,0.121735,0.130767,0.122863,0.121489,0.008014,0.123933,0.124644,0.125922,0.124262,0.124217,0.127487,0.123401
HAP1_chr20,0.126418,0.124708,0.127492,0.125337,0.132711,0.123757,0.119574,0.093399,0.124834,0.126550,0.124272,0.125516,0.122535,0.123406,0.122408,0.133555,0.121456,0.119073,0.123831,0.000000,0.123936,0.120820,0.122564,0.124102,0.127649,0.128414,0.126502,0.125237,0.128057,0.126068,0.124826,0.124758,0.093762,0.124590,0.124701,0.123607,0.133766,0.127502,0.123276,0.121387,0.121521,0.133888,0.121718,0.120222,0.123514,0.002490,0.123254,0.124319,0.123527,0.123841,0.128039,0.126432
HAP1_chr21,0.126620,0.126275,0.129258,0.127980,0.133831,0.126702,0.123329,0.126544,0.126606,0.128443,0.125669,0.126637,0.125432,0.126240,0.125102,0.134691,0.122993,0.125207,0.125428,0.123936,0.000000,0.123356,0.126446,0.088172,0.131843,0.128045,0.126723,0.127178,0.129739,0.128472,0.126904,0.125593,0.126652,0.125244,0.125617,0.127002,0.134205,0.127847,0.125655,0.124692,0.125377,0.134719,0.123305,0.124455,0.125315,0.124026,0.124371,0.001299,0.126692,0.088124,0.131119,0.126423
HAP1_chr22,0.126227,0.124879,0.126456,0.125892,0.132066,0.123609,0.121076,0.122746,0.123828,0.126885,0.123687,0.124717,0.122545,0.122725,0.123873,0.108104,0.121899,0.121974,0.123001,0.120820,0.123356,0.000000,0.123184,0.123286,0.127302,0.111152,0.126217,0.124973,0.126255,0.125647,0.124492,0.123366,0.123092,0.123316,0.123814,0.123801,0.133032,0.127553,0.122570,0.122404,0.122106,0.108252,0.121659,0.121857,0.123029,0.120803,0.007186,0.123665,0.123432,0.123667,0.127290,0.110394
HAP1_chr23,0.125775,0.124192,0.126755,0.126149,0.132251,0.125720,0.120619,0.123260,0.123636,0.126090,0.122810,0.125309,0.122465,0.123402,0.124852,0.132896,0.121826,0.089076,0.123600,0.122564,0.126446,0.123184,0.000000,0.123653,0.129518,0.128049,0.125740,0.124096,0.126756,0.126173,0.126170,0.124084,0.123438,0.122650,0.124921,0.124902,0.132976,0.126599,0.123252,0.123217,0.089048,0.132967,0.123084,0.121670,0.123945,0.122967,0.124619,0.126501,0.001459,0.123879,0.129083,0.127204
