chrom	group_a	group_b	n_within	n_cross	within_te_marker_fraction	cross_te_marker_fraction	split_ratio	flagged_units	high_density_units
chr01	HAP2_chr01,HAP1_chr01	HAP3_chr01	1	2	0.075402	0.155716	2.07	HAP3_chr01	
chr02	HAP1_chr02	HAP2_chr02,HAP3_chr02	1	2	0.388421	0.414402	1.07	HAP2_chr02	
chr03	HAP1_chr03,HAP2_chr03	HAP3_chr03	1	2	0.521411	0.718714	1.38		
chr04	HAP1_chr04,HAP3_chr04	HAP2_chr04	1	2	0.259019	0.195770	0.76		
chr05	HAP1_chr05,HAP2_chr05	HAP3_chr05	1	2	0.371161	0.462446	1.25		
chr06	HAP2_chr06,HAP1_chr06	HAP3_chr06	1	2	0.283357	0.426992	1.51	HAP3_chr06	
chr07	HAP1_chr07	HAP3_chr07,HAP2_chr07	1	2	0.248883	0.409814	1.65		
chr08	HAP1_chr08,HAP2_chr08	HAP3_chr08	1	2	0.060809	0.075005	1.23		
chr09	HAP2_chr09,HAP1_chr09	HAP3_chr09	1	2	0.427720	0.522683	1.22	HAP2_chr09	
chr10	HAP1_chr10,HAP2_chr10	HAP3_chr10	1	2	0.055137	0.061179	1.11		
chr11	HAP2_chr11	HAP3_chr11,HAP1_chr11	1	2	0.434877	0.361579	0.83	HAP3_chr11	
chr12	HAP1_chr12	HAP2_chr12,HAP3_chr12	1	2	0.212186	0.138710	0.65		
chr13	HAP2_chr13,HAP1_chr13	HAP3_chr13	1	2	0.064385	0.082945	1.29		
chr14	HAP2_chr14	HAP3_chr14,HAP1_chr14	1	2	0.079863	0.085879	1.08		
chr15	HAP1_chr15,HAP2_chr15	HAP3_chr15	1	2	0.081325	0.199739	2.46	HAP3_chr15	
chr16	HAP2_chr16,HAP1_chr16	HAP3_chr16	1	2	0.328411	0.440846	1.34		
chr17	HAP1_chr17	HAP2_chr17,HAP3_chr17	1	2	0.054655	0.062817	1.15		
chr18	HAP2_chr18,HAP1_chr18	HAP3_chr18	1	2	0.121116	0.092510	0.76		
chr19	HAP2_chr19,HAP1_chr19	HAP3_chr19	1	2	0.066462	0.072586	1.09		
