unit_a	unit_b	chrom	n_markers_a	n_markers_b	n_highcopy_a	n_highcopy_b
HAP1_chr01	HAP2_chr01	chr01	323	653	6307	6637
HAP1_chr01	HAP3_chr01	chr01	1549	54	6307	4812
HAP2_chr01	HAP3_chr01	chr01	1869	46	6637	4812
HAP1_chr02	HAP2_chr02	chr02	4656	588	6682	4088
HAP1_chr02	HAP3_chr02	chr02	2903	1356	6682	5775
HAP2_chr02	HAP3_chr02	chr02	659	3172	4088	5775
HAP1_chr03	HAP2_chr03	chr03	5491	37	7967	2635
HAP1_chr03	HAP3_chr03	chr03	6328	557	7967	3116
HAP2_chr03	HAP3_chr03	chr03	2051	2643	2635	3116
HAP1_chr04	HAP2_chr04	chr04	1217	227	3799	3076
HAP1_chr04	HAP3_chr04	chr04	1396	284	3799	2687
HAP2_chr04	HAP3_chr04	chr04	721	325	3076	2687
HAP1_chr05	HAP2_chr05	chr05	3238	847	6353	4653
HAP1_chr05	HAP3_chr05	chr05	4392	731	6353	3473
HAP2_chr05	HAP3_chr05	chr05	2391	888	4653	3473
HAP1_chr06	HAP2_chr06	chr06	1411	1817	5450	5942
HAP1_chr06	HAP3_chr06	chr06	2485	1242	5450	4264
HAP2_chr06	HAP3_chr06	chr06	3219	1581	5942	4264
HAP1_chr07	HAP2_chr07	chr07	2751	2041	6734	5937
HAP1_chr07	HAP3_chr07	chr07	3501	1693	6734	5032
HAP2_chr07	HAP3_chr07	chr07	1931	799	5937	5032
HAP1_chr08	HAP2_chr08	chr08	98	183	2268	2353
HAP1_chr08	HAP3_chr08	chr08	243	76	2268	2108
HAP2_chr08	HAP3_chr08	chr08	298	46	2353	2108
HAP1_chr09	HAP2_chr09	chr09	2897	1050	5322	3906
HAP1_chr09	HAP3_chr09	chr09	2825	3277	5322	6072
HAP2_chr09	HAP3_chr09	chr09	1441	3646	3906	6072
HAP1_chr10	HAP2_chr10	chr10	114	98	1927	1918
HAP1_chr10	HAP3_chr10	chr10	113	105	1927	1919
HAP2_chr10	HAP3_chr10	chr10	122	130	1918	1919
HAP1_chr11	HAP2_chr11	chr11	1816	1439	4801	4558
HAP1_chr11	HAP3_chr11	chr11	2796	593	4801	2992
HAP2_chr11	HAP3_chr11	chr11	2342	492	4558	2992
HAP1_chr12	HAP2_chr12	chr12	195	177	2510	2485
HAP1_chr12	HAP3_chr12	chr12	668	283	2510	2176
HAP2_chr12	HAP3_chr12	chr12	673	316	2485	2176
HAP1_chr13	HAP2_chr13	chr13	152	102	1994	1951
HAP1_chr13	HAP3_chr13	chr13	263	51	1994	1789
HAP2_chr13	HAP3_chr13	chr13	236	74	1951	1789
HAP1_chr14	HAP2_chr14	chr14	202	122	1969	1889
HAP1_chr14	HAP3_chr14	chr14	224	79	1969	1825
HAP2_chr14	HAP3_chr14	chr14	198	128	1889	1825
HAP1_chr15	HAP2_chr15	chr15	88	182	1613	1707
HAP1_chr15	HAP3_chr15	chr15	477	86	1613	1221
HAP2_chr15	HAP3_chr15	chr15	537	51	1707	1221
HAP1_chr16	HAP2_chr16	chr16	1910	25	3787	2105
HAP1_chr16	HAP3_chr16	chr16	1761	860	3787	3130
HAP2_chr16	HAP3_chr16	chr16	826	1806	2105	3130
HAP1_chr17	HAP2_chr17	chr17	101	84	1341	1317
HAP1_chr17	HAP3_chr17	chr17	74	76	1341	1336
HAP2_chr17	HAP3_chr17	chr17	63	82	1317	1336
HAP1_chr18	HAP2_chr18	chr18	274	30	1376	1134
HAP1_chr18	HAP3_chr18	chr18	192	72	1376	1259
HAP2_chr18	HAP3_chr18	chr18	39	164	1134	1259
HAP1_chr19	HAP2_chr19	chr19	76	54	989	967
HAP1_chr19	HAP3_chr19	chr19	55	86	989	1020
HAP2_chr19	HAP3_chr19	chr19	48	101	967	1020
