unit_a	unit_b	chrom	n_markers_a	n_markers_b	n_highcopy_a	n_highcopy_b
HAP1_chr01	HAP2_chr01	chr01	152061	169612	1394024	1410690
HAP1_chr01	HAP3_chr01	chr01	201697	74622	1394024	1266593
HAP1_chr01	HAP4_chr01	chr01	104288	205009	1394024	1493529
HAP2_chr01	HAP3_chr01	chr01	199526	54152	1410690	1266593
HAP2_chr01	HAP4_chr01	chr01	71712	154011	1410690	1493529
HAP3_chr01	HAP4_chr01	chr01	23436	250933	1266593	1493529
HAP1_chr02	HAP2_chr02	chr02	214389	84142	1392827	1262997
HAP1_chr02	HAP3_chr02	chr02	257188	63931	1392827	1201774
HAP1_chr02	HAP4_chr02	chr02	211391	70573	1392827	1252890
HAP2_chr02	HAP3_chr02	chr02	99332	37105	1262997	1201774
HAP2_chr02	HAP4_chr02	chr02	85313	74769	1262997	1252890
HAP3_chr02	HAP4_chr02	chr02	55220	106749	1201774	1252890
HAP1_chr03	HAP2_chr03	chr03	79358	62241	830332	812147
HAP1_chr03	HAP3_chr03	chr03	15277	9590	830332	823955
HAP1_chr03	HAP4_chr03	chr03	100303	46622	830332	776308
HAP2_chr03	HAP3_chr03	chr03	64964	76061	812147	823955
HAP2_chr03	HAP4_chr03	chr03	60719	25334	812147	776308
HAP3_chr03	HAP4_chr03	chr03	95645	47643	823955	776308
HAP1_chr04	HAP2_chr04	chr04	78846	44321	671393	637576
HAP1_chr04	HAP3_chr04	chr04	51225	80607	671393	701478
HAP1_chr04	HAP4_chr04	chr04	67202	67449	671393	672901
HAP2_chr04	HAP3_chr04	chr04	24742	88900	637576	701478
HAP2_chr04	HAP4_chr04	chr04	36466	72004	637576	672901
HAP3_chr04	HAP4_chr04	chr04	55293	26739	701478	672901
HAP1_chr05	HAP2_chr05	chr05	82593	72097	663632	655922
HAP1_chr05	HAP3_chr05	chr05	121224	40383	663632	587585
HAP1_chr05	HAP4_chr05	chr05	113504	46742	663632	600598
HAP2_chr05	HAP3_chr05	chr05	80444	12026	655922	587585
HAP2_chr05	HAP4_chr05	chr05	75625	19729	655922	600598
HAP3_chr05	HAP4_chr05	chr05	37697	50383	587585	600598
HAP1_chr06	HAP2_chr06	chr06	85210	11230	605977	532035
HAP1_chr06	HAP3_chr06	chr06	137408	2146	605977	471371
HAP1_chr06	HAP4_chr06	chr06	108383	5449	605977	503147
HAP2_chr06	HAP3_chr06	chr06	76647	15612	532035	471371
HAP2_chr06	HAP4_chr06	chr06	49603	20652	532035	503147
HAP3_chr06	HAP4_chr06	chr06	19882	51941	471371	503147
