unit	win_start	win_end	a_hits	b_hits	a_frac	b_frac	assigned
HAP1_chr13	1	250000	295	296	0.2289	0.1380	ambiguous
HAP1_chr13	250001	500000	76	321	0.0590	0.1497	b
HAP1_chr13	500001	750000	93	385	0.0721	0.1795	b
HAP1_chr13	750001	1000000	137	410	0.1063	0.1911	b
HAP1_chr13	1000001	1250000	100	471	0.0776	0.2196	b
HAP1_chr13	1250001	1500000	98	536	0.0760	0.2499	b
HAP1_chr13	1500001	1750000	94	366	0.0729	0.1706	b
HAP1_chr13	1750001	2000000	60	319	0.0465	0.1487	b
HAP1_chr13	2000001	2250000	66	322	0.0512	0.1501	b
HAP1_chr13	2250001	2500000	96	363	0.0745	0.1692	b
HAP1_chr13	2500001	2750000	88	476	0.0683	0.2219	b
HAP1_chr13	2750001	3000000	96	327	0.0745	0.1524	b
HAP1_chr13	3000001	3250000	93	507	0.0721	0.2364	b
HAP1_chr13	3250001	3500000	100	406	0.0776	0.1893	b
HAP1_chr13	3500001	3750000	112	546	0.0869	0.2545	b
HAP1_chr13	3750001	4000000	99	438	0.0768	0.2042	b
HAP1_chr13	4000001	4250000	88	372	0.0683	0.1734	b
HAP1_chr13	4250001	4500000	102	380	0.0791	0.1772	b
HAP1_chr13	4500001	4750000	118	425	0.0915	0.1981	b
HAP1_chr13	4750001	5000000	73	374	0.0566	0.1744	b
HAP1_chr13	5000001	5250000	133	384	0.1032	0.1790	b
HAP1_chr13	5250001	5500000	103	431	0.0799	0.2009	b
HAP1_chr13	5500001	5750000	104	444	0.0807	0.2070	b
HAP1_chr13	5750001	6000000	97	398	0.0753	0.1855	b
HAP1_chr13	6000001	6250000	193	440	0.1497	0.2051	b
HAP1_chr13	6250001	6500000	163	429	0.1265	0.2000	b
HAP1_chr13	6500001	6750000	142	594	0.1102	0.2769	b
HAP1_chr13	6750001	7000000	160	552	0.1241	0.2573	b
HAP1_chr13	7000001	7250000	71	429	0.0551	0.2000	b
HAP1_chr13	7250001	7500000	137	515	0.1063	0.2401	b
HAP1_chr13	7500001	7750000	128	518	0.0993	0.2415	b
HAP1_chr13	7750001	8000000	132	528	0.1024	0.2462	b
HAP1_chr13	8000001	8250000	136	408	0.1055	0.1902	b
HAP1_chr13	8250001	8500000	151	476	0.1171	0.2219	b
HAP1_chr13	8500001	8750000	153	447	0.1187	0.2084	b
HAP1_chr13	8750001	9000000	90	415	0.0698	0.1935	b
HAP1_chr13	9000001	9250000	90	412	0.0698	0.1921	b
HAP1_chr13	9250001	9500000	130	397	0.1009	0.1851	b
HAP1_chr13	9500001	9750000	132	410	0.1024	0.1911	b
HAP1_chr13	9750001	10000000	98	400	0.0760	0.1865	b
HAP1_chr13	10000001	10250000	124	599	0.0962	0.2793	b
HAP1_chr13	10250001	10500000	132	483	0.1024	0.2252	b
HAP1_chr13	10500001	10750000	150	533	0.1164	0.2485	b
HAP1_chr13	10750001	11000000	97	380	0.0753	0.1772	b
HAP1_chr13	11000001	11250000	105	507	0.0815	0.2364	b
HAP1_chr13	11250001	11500000	213	588	0.1652	0.2741	b
HAP1_chr13	11500001	11750000	131	497	0.1016	0.2317	b
HAP1_chr13	11750001	12000000	113	477	0.0877	0.2224	b
HAP1_chr13	12000001	12250000	131	389	0.1016	0.1814	b
HAP1_chr13	12250001	12500000	168	462	0.1303	0.2154	b
HAP1_chr13	12500001	12750000	97	526	0.0753	0.2452	b
HAP1_chr13	12750001	13000000	121	520	0.0939	0.2424	b
HAP1_chr13	13000001	13250000	123	598	0.0954	0.2788	b
HAP1_chr13	13250001	13500000	126	432	0.0978	0.2014	b
HAP1_chr13	13500001	13750000	148	579	0.1148	0.2699	b
HAP1_chr13	13750001	14000000	121	510	0.0939	0.2378	b
HAP1_chr13	14000001	14250000	126	485	0.0978	0.2261	b
HAP1_chr13	14250001	14500000	99	452	0.0768	0.2107	b
HAP1_chr13	14500001	14750000	75	372	0.0582	0.1734	b
HAP1_chr13	14750001	15000000	157	438	0.1218	0.2042	b
HAP1_chr13	15000001	15250000	174	484	0.1350	0.2256	b
HAP1_chr13	15250001	15500000	93	473	0.0721	0.2205	b
HAP1_chr13	15500001	15750000	126	574	0.0978	0.2676	b
HAP1_chr13	15750001	16000000	131	502	0.1016	0.2340	b
HAP1_chr13	16000001	16250000	159	480	0.1234	0.2238	b
HAP1_chr13	16250001	16500000	104	471	0.0807	0.2196	b
HAP1_chr13	16500001	16750000	155	483	0.1202	0.2252	b
HAP1_chr13	16750001	17000000	157	340	0.1218	0.1585	b
HAP1_chr13	17000001	17250000	145	446	0.1125	0.2079	b
HAP1_chr13	17250001	17500000	129	495	0.1001	0.2308	b
HAP1_chr13	17500001	17750000	143	452	0.1109	0.2107	b
HAP1_chr13	17750001	18000000	147	498	0.1140	0.2322	b
HAP1_chr13	18000001	18250000	151	357	0.1171	0.1664	b
HAP1_chr13	18250001	18500000	147	453	0.1140	0.2112	b
HAP1_chr13	18500001	18750000	109	486	0.0846	0.2266	b
HAP1_chr13	18750001	19000000	158	418	0.1226	0.1949	b
HAP1_chr13	19000001	19250000	183	430	0.1420	0.2005	b
HAP1_chr13	19250001	19500000	150	400	0.1164	0.1865	b
HAP1_chr13	19500001	19750000	165	369	0.1280	0.1720	b
HAP1_chr13	19750001	20000000	159	472	0.1234	0.2200	b
HAP1_chr13	20000001	20250000	159	441	0.1234	0.2056	b
HAP1_chr13	20250001	20500000	137	331	0.1063	0.1543	b
HAP1_chr13	20500001	20750000	173	389	0.1342	0.1814	b
HAP1_chr13	20750001	21000000	151	357	0.1171	0.1664	b
HAP1_chr13	21000001	21250000	164	429	0.1272	0.2000	b
HAP1_chr13	21250001	21500000	103	346	0.0799	0.1613	b
HAP1_chr13	21500001	21750000	148	294	0.1148	0.1371	ambiguous
HAP1_chr13	21750001	22000000	137	243	0.1063	0.1133	ambiguous
HAP1_chr13	22000001	22250000	262	441	0.2033	0.2056	ambiguous
HAP1_chr13	22250001	22500000	362	553	0.2808	0.2578	ambiguous
HAP1_chr13	22500001	22750000	530	413	0.4112	0.1925	ambiguous
HAP1_chr13	22750001	23000000	404	390	0.3134	0.1818	ambiguous
HAP1_chr13	23000001	23250000	388	426	0.3010	0.1986	ambiguous
HAP1_chr13	23250001	23500000	340	326	0.2638	0.1520	ambiguous
HAP1_chr13	23500001	23750000	410	399	0.3181	0.1860	ambiguous
HAP1_chr13	23750001	24000000	315	495	0.2444	0.2308	ambiguous
HAP1_chr13	24000001	24250000	432	462	0.3351	0.2154	ambiguous
HAP1_chr13	24250001	24500000	330	474	0.2560	0.2210	ambiguous
HAP1_chr13	24500001	24750000	274	457	0.2126	0.2131	ambiguous
HAP1_chr13	24750001	25000000	340	508	0.2638	0.2368	ambiguous
HAP1_chr13	25000001	25250000	300	575	0.2327	0.2681	ambiguous
HAP1_chr13	25250001	25500000	303	714	0.2351	0.3329	b
HAP1_chr13	25500001	25750000	133	258	0.1032	0.1203	ambiguous
HAP1_chr13	25750001	26000000	152	379	0.1179	0.1767	b
HAP1_chr13	26000001	26250000	125	317	0.0970	0.1478	b
HAP1_chr13	26250001	26500000	141	362	0.1094	0.1688	b
HAP1_chr13	26500001	26750000	160	455	0.1241	0.2121	b
HAP1_chr13	26750001	27000000	218	435	0.1691	0.2028	ambiguous
HAP1_chr13	27000001	27250000	135	372	0.1047	0.1734	b
HAP1_chr13	27250001	27500000	185	239	0.1435	0.1114	ambiguous
HAP1_chr13	27500001	27750000	201	350	0.1559	0.1632	ambiguous
HAP1_chr13	27750001	28000000	162	408	0.1257	0.1902	b
HAP1_chr13	28000001	28250000	185	220	0.1435	0.1026	ambiguous
HAP1_chr13	28250001	28500000	148	414	0.1148	0.1930	b
HAP1_chr13	28500001	28750000	166	466	0.1288	0.2172	b
HAP1_chr13	28750001	29000000	218	336	0.1691	0.1566	ambiguous
HAP1_chr13	29000001	29250000	97	408	0.0753	0.1902	b
HAP1_chr13	29250001	29500000	156	511	0.1210	0.2382	b
HAP1_chr13	29500001	29750000	150	462	0.1164	0.2154	b
HAP1_chr13	29750001	30000000	170	447	0.1319	0.2084	b
HAP1_chr13	30000001	30250000	100	391	0.0776	0.1823	b
HAP1_chr13	30250001	30500000	108	453	0.0838	0.2112	b
HAP1_chr13	30500001	30750000	100	498	0.0776	0.2322	b
HAP1_chr13	30750001	31000000	106	440	0.0822	0.2051	b
HAP1_chr13	31000001	31250000	92	442	0.0714	0.2061	b
HAP1_chr13	31250001	31500000	94	421	0.0729	0.1963	b
HAP1_chr13	31500001	31750000	102	410	0.0791	0.1911	b
HAP1_chr13	31750001	32000000	90	437	0.0698	0.2037	b
HAP1_chr13	32000001	32250000	99	411	0.0768	0.1916	b
HAP1_chr13	32250001	32500000	85	415	0.0659	0.1935	b
HAP1_chr13	32500001	32750000	109	510	0.0846	0.2378	b
HAP1_chr13	32750001	33000000	87	509	0.0675	0.2373	b
HAP1_chr13	33000001	33250000	94	387	0.0729	0.1804	b
HAP1_chr13	33250001	33500000	109	374	0.0846	0.1744	b
HAP1_chr13	33500001	33750000	92	400	0.0714	0.1865	b
HAP1_chr13	33750001	34000000	132	398	0.1024	0.1855	b
HAP1_chr13	34000001	34250000	96	446	0.0745	0.2079	b
HAP1_chr13	34250001	34500000	90	399	0.0698	0.1860	b
HAP1_chr13	34500001	34750000	132	386	0.1024	0.1800	b
HAP1_chr13	34750001	35000000	142	445	0.1102	0.2075	b
HAP1_chr13	35000001	35250000	103	363	0.0799	0.1692	b
HAP1_chr13	35250001	35500000	89	446	0.0690	0.2079	b
HAP1_chr13	35500001	35750000	101	488	0.0784	0.2275	b
HAP1_chr13	35750001	36000000	102	493	0.0791	0.2298	b
HAP1_chr13	36000001	36250000	112	440	0.0869	0.2051	b
HAP1_chr13	36250001	36391440	142	433	0.1102	0.2019	b
HAP2_chr13	1	250000	321	421	0.2490	0.1963	ambiguous
HAP2_chr13	250001	500000	86	474	0.0667	0.2210	b
HAP2_chr13	500001	750000	79	470	0.0613	0.2191	b
HAP2_chr13	750001	1000000	133	528	0.1032	0.2462	b
HAP2_chr13	1000001	1250000	97	546	0.0753	0.2545	b
HAP2_chr13	1250001	1500000	96	553	0.0745	0.2578	b
HAP2_chr13	1500001	1750000	89	415	0.0690	0.1935	b
HAP2_chr13	1750001	2000000	88	448	0.0683	0.2089	b
HAP2_chr13	2000001	2250000	72	473	0.0559	0.2205	b
HAP2_chr13	2250001	2500000	83	384	0.0644	0.1790	b
HAP2_chr13	2500001	2750000	70	425	0.0543	0.1981	b
HAP2_chr13	2750001	3000000	99	489	0.0768	0.2280	b
HAP2_chr13	3000001	3250000	97	426	0.0753	0.1986	b
HAP2_chr13	3250001	3500000	87	358	0.0675	0.1669	b
HAP2_chr13	3500001	3750000	106	507	0.0822	0.2364	b
HAP2_chr13	3750001	4000000	101	512	0.0784	0.2387	b
HAP2_chr13	4000001	4250000	115	488	0.0892	0.2275	b
HAP2_chr13	4250001	4500000	125	479	0.0970	0.2233	b
HAP2_chr13	4500001	4750000	99	532	0.0768	0.2480	b
HAP2_chr13	4750001	5000000	97	602	0.0753	0.2807	b
HAP2_chr13	5000001	5250000	90	448	0.0698	0.2089	b
HAP2_chr13	5250001	5500000	120	498	0.0931	0.2322	b
HAP2_chr13	5500001	5750000	108	520	0.0838	0.2424	b
HAP2_chr13	5750001	6000000	243	512	0.1885	0.2387	b
HAP2_chr13	6000001	6250000	97	412	0.0753	0.1921	b
HAP2_chr13	6250001	6500000	130	511	0.1009	0.2382	b
HAP2_chr13	6500001	6750000	79	422	0.0613	0.1967	b
HAP2_chr13	6750001	7000000	121	482	0.0939	0.2247	b
HAP2_chr13	7000001	7250000	98	578	0.0760	0.2695	b
HAP2_chr13	7250001	7500000	108	554	0.0838	0.2583	b
HAP2_chr13	7500001	7750000	138	486	0.1071	0.2266	b
HAP2_chr13	7750001	8000000	80	557	0.0621	0.2597	b
HAP2_chr13	8000001	8250000	128	533	0.0993	0.2485	b
HAP2_chr13	8250001	8500000	152	522	0.1179	0.2434	b
HAP2_chr13	8500001	8750000	101	498	0.0784	0.2322	b
HAP2_chr13	8750001	9000000	89	493	0.0690	0.2298	b
HAP2_chr13	9000001	9250000	81	475	0.0628	0.2214	b
HAP2_chr13	9250001	9500000	100	507	0.0776	0.2364	b
HAP2_chr13	9500001	9750000	110	405	0.0853	0.1888	b
HAP2_chr13	9750001	10000000	89	397	0.0690	0.1851	b
HAP2_chr13	10000001	10250000	88	437	0.0683	0.2037	b
HAP2_chr13	10250001	10500000	84	486	0.0652	0.2266	b
HAP2_chr13	10500001	10750000	123	467	0.0954	0.2177	b
HAP2_chr13	10750001	11000000	102	484	0.0791	0.2256	b
HAP2_chr13	11000001	11250000	149	463	0.1156	0.2159	b
HAP2_chr13	11250001	11500000	116	496	0.0900	0.2312	b
HAP2_chr13	11500001	11750000	132	503	0.1024	0.2345	b
HAP2_chr13	11750001	12000000	105	569	0.0815	0.2653	b
HAP2_chr13	12000001	12250000	142	501	0.1102	0.2336	b
HAP2_chr13	12250001	12500000	93	559	0.0721	0.2606	b
HAP2_chr13	12500001	12750000	109	520	0.0846	0.2424	b
HAP2_chr13	12750001	13000000	235	563	0.1823	0.2625	b
HAP2_chr13	13000001	13250000	98	504	0.0760	0.2350	b
HAP2_chr13	13250001	13500000	115	496	0.0892	0.2312	b
HAP2_chr13	13500001	13750000	121	546	0.0939	0.2545	b
HAP2_chr13	13750001	14000000	94	416	0.0729	0.1939	b
HAP2_chr13	14000001	14250000	75	383	0.0582	0.1786	b
HAP2_chr13	14250001	14500000	128	518	0.0993	0.2415	b
HAP2_chr13	14500001	14750000	109	471	0.0846	0.2196	b
HAP2_chr13	14750001	15000000	145	519	0.1125	0.2420	b
HAP2_chr13	15000001	15250000	126	393	0.0978	0.1832	b
HAP2_chr13	15250001	15500000	119	526	0.0923	0.2452	b
HAP2_chr13	15500001	15750000	127	508	0.0985	0.2368	b
HAP2_chr13	15750001	16000000	90	547	0.0698	0.2550	b
HAP2_chr13	16000001	16250000	167	444	0.1296	0.2070	b
HAP2_chr13	16250001	16500000	113	378	0.0877	0.1762	b
HAP2_chr13	16500001	16750000	110	509	0.0853	0.2373	b
HAP2_chr13	16750001	17000000	103	504	0.0799	0.2350	b
HAP2_chr13	17000001	17250000	130	586	0.1009	0.2732	b
HAP2_chr13	17250001	17500000	147	549	0.1140	0.2559	b
HAP2_chr13	17500001	17750000	163	510	0.1265	0.2378	b
HAP2_chr13	17750001	18000000	119	568	0.0923	0.2648	b
HAP2_chr13	18000001	18250000	66	388	0.0512	0.1809	b
HAP2_chr13	18250001	18500000	166	421	0.1288	0.1963	b
HAP2_chr13	18500001	18750000	131	399	0.1016	0.1860	b
HAP2_chr13	18750001	19000000	141	450	0.1094	0.2098	b
HAP2_chr13	19000001	19250000	132	584	0.1024	0.2723	b
HAP2_chr13	19250001	19500000	104	459	0.0807	0.2140	b
HAP2_chr13	19500001	19750000	140	483	0.1086	0.2252	b
HAP2_chr13	19750001	20000000	109	339	0.0846	0.1580	b
HAP2_chr13	20000001	20250000	125	474	0.0970	0.2210	b
HAP2_chr13	20250001	20500000	100	461	0.0776	0.2149	b
HAP2_chr13	20500001	20750000	120	356	0.0931	0.1660	b
HAP2_chr13	20750001	21000000	119	373	0.0923	0.1739	b
HAP2_chr13	21000001	21250000	179	467	0.1389	0.2177	b
HAP2_chr13	21250001	21500000	148	359	0.1148	0.1674	b
HAP2_chr13	21500001	21750000	135	338	0.1047	0.1576	b
HAP2_chr13	21750001	22000000	91	407	0.0706	0.1897	b
HAP2_chr13	22000001	22250000	154	429	0.1195	0.2000	b
HAP2_chr13	22250001	22500000	165	416	0.1280	0.1939	b
HAP2_chr13	22500001	22750000	128	385	0.0993	0.1795	b
HAP2_chr13	22750001	23000000	140	407	0.1086	0.1897	b
HAP2_chr13	23000001	23250000	161	465	0.1249	0.2168	b
HAP2_chr13	23250001	23500000	100	337	0.0776	0.1571	b
HAP2_chr13	23500001	23750000	137	345	0.1063	0.1608	b
HAP2_chr13	23750001	24000000	116	317	0.0900	0.1478	b
HAP2_chr13	24000001	24250000	137	292	0.1063	0.1361	b
HAP2_chr13	24250001	24500000	361	532	0.2801	0.2480	ambiguous
HAP2_chr13	24500001	24750000	558	571	0.4329	0.2662	ambiguous
HAP2_chr13	24750001	25000000	326	495	0.2529	0.2308	ambiguous
HAP2_chr13	25000001	25250000	284	478	0.2203	0.2228	ambiguous
HAP2_chr13	25250001	25500000	289	564	0.2242	0.2629	ambiguous
HAP2_chr13	25500001	25750000	289	469	0.2242	0.2186	ambiguous
HAP2_chr13	25750001	26000000	231	447	0.1792	0.2084	ambiguous
HAP2_chr13	26000001	26250000	215	539	0.1668	0.2513	b
HAP2_chr13	26250001	26500000	162	487	0.1257	0.2270	b
HAP2_chr13	26500001	26750000	193	561	0.1497	0.2615	b
HAP2_chr13	26750001	27000000	242	511	0.1877	0.2382	b
HAP2_chr13	27000001	27250000	248	603	0.1924	0.2811	b
HAP2_chr13	27250001	27500000	219	564	0.1699	0.2629	b
HAP2_chr13	27500001	27750000	257	641	0.1994	0.2988	b
HAP2_chr13	27750001	28000000	314	608	0.2436	0.2834	ambiguous
HAP2_chr13	28000001	28250000	322	600	0.2498	0.2797	ambiguous
HAP2_chr13	28250001	28500000	324	527	0.2514	0.2457	ambiguous
HAP2_chr13	28500001	28750000	219	560	0.1699	0.2611	b
HAP2_chr13	28750001	29000000	124	224	0.0962	0.1044	ambiguous
HAP2_chr13	29000001	29250000	150	358	0.1164	0.1669	b
HAP2_chr13	29250001	29500000	115	294	0.0892	0.1371	b
HAP2_chr13	29500001	29750000	147	419	0.1140	0.1953	b
HAP2_chr13	29750001	30000000	131	386	0.1016	0.1800	b
HAP2_chr13	30000001	30250000	137	478	0.1063	0.2228	b
HAP2_chr13	30250001	30500000	191	425	0.1482	0.1981	b
HAP2_chr13	30500001	30750000	195	273	0.1513	0.1273	ambiguous
HAP2_chr13	30750001	31000000	173	210	0.1342	0.0979	ambiguous
HAP2_chr13	31000001	31250000	169	404	0.1311	0.1883	b
HAP2_chr13	31250001	31500000	138	431	0.1071	0.2009	b
HAP2_chr13	31500001	31750000	130	440	0.1009	0.2051	b
HAP2_chr13	31750001	32000000	158	456	0.1226	0.2126	b
HAP2_chr13	32000001	32250000	102	419	0.0791	0.1953	b
HAP2_chr13	32250001	32500000	146	387	0.1133	0.1804	b
HAP2_chr13	32500001	32750000	109	393	0.0846	0.1832	b
HAP2_chr13	32750001	33000000	85	460	0.0659	0.2145	b
HAP2_chr13	33000001	33250000	100	486	0.0776	0.2266	b
HAP2_chr13	33250001	33500000	122	460	0.0946	0.2145	b
HAP2_chr13	33500001	33750000	86	525	0.0667	0.2448	b
HAP2_chr13	33750001	34000000	98	398	0.0760	0.1855	b
HAP2_chr13	34000001	34250000	91	466	0.0706	0.2172	b
HAP2_chr13	34250001	34500000	101	441	0.0784	0.2056	b
HAP2_chr13	34500001	34750000	94	438	0.0729	0.2042	b
HAP2_chr13	34750001	35000000	101	494	0.0784	0.2303	b
HAP2_chr13	35000001	35250000	86	478	0.0667	0.2228	b
HAP2_chr13	35250001	35500000	95	506	0.0737	0.2359	b
HAP2_chr13	35500001	35750000	80	495	0.0621	0.2308	b
HAP2_chr13	35750001	36000000	106	409	0.0822	0.1907	b
HAP2_chr13	36000001	36250000	88	497	0.0683	0.2317	b
HAP2_chr13	36250001	36500000	59	383	0.0458	0.1786	b
HAP2_chr13	36500001	36750000	120	544	0.0931	0.2536	b
HAP2_chr13	36750001	37000000	89	455	0.0690	0.2121	b
HAP2_chr13	37000001	37250000	102	408	0.0791	0.1902	b
HAP2_chr13	37250001	37500000	142	546	0.1102	0.2545	b
HAP2_chr13	37500001	37750000	29	291	0.0225	0.1357	b
HAP2_chr13	37750001	38000000	96	455	0.0745	0.2121	b
HAP2_chr13	38000001	38250000	87	395	0.0675	0.1841	b
HAP2_chr13	38250001	38500000	90	494	0.0698	0.2303	b
HAP2_chr13	38500001	38750000	90	483	0.0698	0.2252	b
HAP2_chr13	38750001	39000000	121	395	0.0939	0.1841	b
HAP2_chr13	39000001	39250000	99	460	0.0768	0.2145	b
HAP2_chr13	39250001	39500000	166	588	0.1288	0.2741	b
HAP2_chr13	39500001	39750000	55	501	0.0427	0.2336	b
HAP2_chr13	39750001	39777234	16	496	0.0124	0.2312	b
