unit_a	unit_b	chrom	n_markers_a	n_markers_b	n_highcopy_a	n_highcopy_b
HAP1_chr01	HAP2_chr01	chr01	3612	1926	15282	14364
HAP1_chr02	HAP2_chr02	chr02	2910	2094	13056	12196
HAP1_chr03	HAP2_chr03	chr03	1689	2041	11581	11830
HAP1_chr04	HAP2_chr04	chr04	4317	5693	11366	12689
HAP1_chr05	HAP2_chr05	chr05	1825	985	10854	10146
HAP1_chr06	HAP2_chr06	chr06	3788	2529	13023	12354
HAP1_chr07	HAP2_chr07	chr07	598	1990	9583	10591
HAP1_chr08	HAP2_chr08	chr08	1551	1482	11170	11070
HAP1_chr09	HAP2_chr09	chr09	1302	4658	9862	12502
HAP1_chr10	HAP2_chr10	chr10	1860	788	8417	7288
HAP1_chr11	HAP2_chr11	chr11	1377	1772	7177	7411
HAP1_chr12	HAP2_chr12	chr12	1063	858	8415	8241
HAP1_chr13	HAP2_chr13	chr13	1289	2145	7388	8127
HAP1_chr14	HAP2_chr14	chr14	3832	788	8148	5988
HAP1_chr15	HAP2_chr15	chr15	3512	1883	8666	6715
HAP1_chr16	HAP2_chr16	chr16	2589	1747	8996	8184
HAP1_chr17	HAP2_chr17	chr17	1160	2443	7719	8720
HAP1_chr18	HAP2_chr18	chr18	2432	799	6336	5382
