chrom	n_haplotype_copies	own_mean_distance	homeolog_partner	homeolog_distance	homeolog_z	homeolog_q	distance_ratio
chr01	2	0.022166	chr06	0.098487	-11.972	0	4.48
chr02	2	0.019448	chr14	0.105701	-10.255	0	5.37
chr03	2	0.018742	chr12	0.099534	-11.723	0	5.13
chr04	2	0.020529	chr08	0.097807	-12.134	0	4.70
chr05	2	0.022199	chr11	0.098370	-12.000	0	4.60
chr06	2	0.021757	chr01	0.098487	-11.972	0	4.48
chr07	2	0.019687	chr09	0.098997	-11.851	0	4.81
chr08	2	0.021088	chr04	0.097807	-12.134	0	4.70
chr09	2	0.021464	chr07	0.098997	-11.851	0	4.81
chr10	2	0.018205	chr13	0.098285	-12.020	0	5.10
chr11	2	0.020531	chr05	0.098370	-12.000	0	4.60
chr12	2	0.020041	chr03	0.099534	-11.723	0	5.13
chr13	2	0.020371	chr10	0.098285	-12.020	0	5.10
chr14	2	0.019888	chr02	0.105701	-10.255	0	5.37
