,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP1_chr19,HAP1_chr20,HAP1_chr21,HAP1_chr22,HAP1_chr23,HAP1_chr24,HAP1_chr25,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP2_chr18,HAP2_chr19,HAP2_chr20,HAP2_chr21,HAP2_chr22,HAP2_chr23,HAP2_chr24,HAP2_chr25
HAP1_chr01,0.000000,0.116675,0.088065,0.116361,0.117099,0.120425,0.121004,0.120062,0.119867,0.120911,0.120132,0.120486,0.134696,0.120343,0.108579,0.125345,0.108993,0.127637,0.128045,0.101728,0.129234,0.114626,0.125955,0.126863,0.128729,0.004597,0.116686,0.088075,0.115912,0.117219,0.120054,0.121097,0.120272,0.120599,0.120421,0.119867,0.121532,0.140164,0.120196,0.108735,0.125020,0.109275,0.128558,0.127779,0.101097,0.129965,0.116198,0.125081,0.126632,0.128832
HAP1_chr02,0.116675,0.000000,0.117140,0.115756,0.120321,0.117829,0.071017,0.117033,0.121967,0.119129,0.118612,0.123125,0.132896,0.122548,0.124935,0.127285,0.118158,0.121832,0.126193,0.119821,0.122851,0.124778,0.120782,0.126229,0.126853,0.116209,0.004557,0.117108,0.115202,0.120477,0.117823,0.070911,0.118139,0.121865,0.118949,0.118952,0.123763,0.137632,0.122649,0.125403,0.126793,0.118198,0.122582,0.125865,0.119227,0.124810,0.126812,0.120407,0.125872,0.127059
HAP1_chr03,0.088065,0.117140,0.000000,0.116853,0.119753,0.119075,0.123227,0.118744,0.122153,0.120839,0.120187,0.122102,0.132539,0.120647,0.099390,0.126272,0.119031,0.124244,0.126440,0.121120,0.126190,0.114986,0.123362,0.125360,0.127288,0.087327,0.116970,0.005978,0.116802,0.119993,0.119034,0.123408,0.119268,0.122673,0.120378,0.120303,0.122429,0.137132,0.120667,0.099422,0.125693,0.119091,0.124706,0.126472,0.120833,0.127384,0.116395,0.122940,0.125261,0.127552
HAP1_chr04,0.116361,0.115756,0.116853,0.000000,0.073276,0.116569,0.124477,0.116011,0.121783,0.119342,0.117857,0.122708,0.131299,0.121707,0.123345,0.126500,0.116225,0.121171,0.126250,0.118568,0.121593,0.122836,0.120095,0.125041,0.126279,0.116374,0.115924,0.116924,0.005671,0.073329,0.116873,0.124551,0.116733,0.121950,0.119064,0.118024,0.123608,0.136010,0.121461,0.123461,0.126420,0.116560,0.122251,0.125635,0.118463,0.123227,0.124601,0.119999,0.124652,0.127037
HAP1_chr05,0.117099,0.120321,0.119753,0.073276,0.000000,0.122928,0.120486,0.120206,0.116906,0.122078,0.121067,0.118730,0.128630,0.117071,0.120014,0.122415,0.120836,0.125843,0.120934,0.122236,0.125803,0.118987,0.123812,0.121263,0.123630,0.117082,0.120760,0.120015,0.072254,0.004153,0.122414,0.120699,0.120906,0.117072,0.121996,0.121375,0.119157,0.132793,0.117286,0.120908,0.122119,0.122021,0.126524,0.121831,0.122277,0.127084,0.120519,0.123797,0.121090,0.123957
HAP1_chr06,0.120425,0.117829,0.119075,0.116569,0.122928,0.000000,0.126821,0.117615,0.123004,0.119958,0.119595,0.074873,0.128717,0.120830,0.122495,0.127060,0.116817,0.121158,0.124763,0.118824,0.120116,0.121741,0.119178,0.124768,0.126769,0.120389,0.118487,0.118896,0.116366,0.123236,0.004423,0.126795,0.118986,0.122769,0.119849,0.120172,0.074724,0.133813,0.120942,0.123248,0.126737,0.117422,0.121752,0.124234,0.118541,0.121401,0.124434,0.118995,0.124569,0.127282
HAP1_chr07,0.121004,0.071017,0.123227,0.124477,0.120486,0.126821,0.000000,0.126011,0.121904,0.127055,0.125869,0.123299,0.135238,0.122217,0.124803,0.127462,0.125941,0.130374,0.127850,0.125641,0.131426,0.125207,0.129126,0.126437,0.126008,0.120739,0.071042,0.123130,0.124193,0.120339,0.126209,0.004349,0.125724,0.122337,0.125798,0.125954,0.124021,0.135463,0.121829,0.125075,0.127062,0.125708,0.131214,0.127441,0.125579,0.132040,0.125743,0.128809,0.125615,0.126154
HAP1_chr08,0.120062,0.117033,0.118744,0.116011,0.120206,0.117615,0.126011,0.000000,0.120737,0.119037,0.118113,0.123175,0.125972,0.077333,0.121040,0.126952,0.114471,0.119144,0.122542,0.118207,0.117969,0.120307,0.117776,0.123079,0.126298,0.119950,0.117603,0.119084,0.115490,0.121152,0.117190,0.125772,0.005355,0.120368,0.119171,0.118440,0.122953,0.131693,0.077599,0.121821,0.126765,0.115563,0.119644,0.122511,0.118187,0.119569,0.122802,0.118038,0.122415,0.126718
HAP1_chr09,0.119867,0.121967,0.122153,0.121783,0.116906,0.123004,0.121904,0.120737,0.000000,0.121855,0.072849,0.119527,0.128176,0.117192,0.120807,0.123218,0.120311,0.125166,0.121148,0.122213,0.125617,0.118789,0.123321,0.121367,0.122272,0.119531,0.122851,0.122018,0.120352,0.117625,0.122367,0.121572,0.120891,0.004491,0.121814,0.073068,0.119532,0.131068,0.117408,0.122168,0.122662,0.120780,0.126102,0.121214,0.122057,0.126188,0.120394,0.123526,0.120879,0.122209
HAP1_chr10,0.120911,0.119129,0.120839,0.119342,0.122078,0.119958,0.127055,0.119037,0.121855,0.000000,0.120035,0.124182,0.132552,0.122465,0.125500,0.080324,0.117430,0.124038,0.125692,0.119649,0.123798,0.124484,0.122366,0.091261,0.126649,0.120841,0.119650,0.121009,0.119122,0.122942,0.119667,0.126821,0.118974,0.121714,0.003572,0.120275,0.124632,0.134896,0.122655,0.126677,0.080235,0.118513,0.124766,0.125769,0.119728,0.124627,0.125776,0.111102,0.090821,0.127134
