chrom	n_haplotype_copies	own_mean_distance	homeolog_partner	homeolog_distance	homeolog_z	homeolog_q	distance_ratio
chr01	2	0.004597	chr03	0.087711	-8.892	0	16.59
chr02	2	0.004557	chr07	0.070979	-13.137	0	15.94
chr03	2	0.005978	chr01	0.087711	-8.892	0	16.59
chr04	2	0.005671	chr05	0.072842	-12.665	0	14.83
chr05	2	0.004153	chr04	0.072842	-12.665	0	14.83
chr06	2	0.004423	chr12	0.074765	-12.177	0	17.23
chr07	2	0.004349	chr02	0.070979	-13.137	0	15.94
chr08	2	0.005355	chr14	0.077906	-11.380	0	16.40
chr09	2	0.004491	chr11	0.072912	-12.647	0	13.17
chr10	2	0.003572	chr16	0.080600	-10.696	0	19.70
chr11	2	0.006579	chr09	0.072912	-12.647	0	13.17
chr12	2	0.004255	chr06	0.074765	-12.177	0	17.23
chr13	2	0.011781	chr20	0.096007	-6.787	1.43555e-10	14.14
chr14	2	0.004143	chr08	0.077906	-11.380	0	16.40
chr15	2	0.002174					
chr16	2	0.004609	chr10	0.080600	-10.696	0	19.70
chr17	2	0.007527	chr22	0.091849	-7.842	6.05576e-14	16.01
chr18	2	0.004429	chr25	0.073373	-12.530	0	13.33
chr19	2	0.003817	chr23	0.076395	-11.763	0	16.21
chr20	2	0.001798	chr13	0.096007	-6.787	1.43555e-10	14.14
chr21	2	0.004741	chr24	0.104038	-4.749	1.91793e-05	26.89
chr22	2	0.003949	chr17	0.091849	-7.842	6.05576e-14	16.01
chr23	2	0.005610	chr19	0.076395	-11.763	0	16.21
chr24	2	0.002997	chr21	0.104038	-4.749	1.91793e-05	26.89
chr25	2	0.006577	chr18	0.073373	-12.530	0	13.33
