chrom	unit_a	unit_b	hap_a	hap_b	distance	resolution_limited
chr01	HAP1_chr01	HAP2_chr01	HAP1	HAP2	0.000437	False
chr02	HAP1_chr02	HAP2_chr02	HAP1	HAP2	0.000083	False
chr03	HAP1_chr03	HAP2_chr03	HAP1	HAP2	0.000032	False
chr04	HAP1_chr04	HAP2_chr04	HAP1	HAP2	0.000084	False
chr05	HAP1_chr05	HAP2_chr05	HAP1	HAP2	0.000215	False
chr06	HAP1_chr06	HAP2_chr06	HAP1	HAP2	0.001859	False
chr07	HAP1_chr07	HAP2_chr07	HAP1	HAP2	0.000156	False
chr08	HAP1_chr08	HAP2_chr08	HAP1	HAP2	0.000036	False
chr09	HAP1_chr09	HAP2_chr09	HAP1	HAP2	0.000158	False
chr10	HAP1_chr10	HAP2_chr10	HAP1	HAP2	0.000016	False
chr11	HAP1_chr11	HAP2_chr11	HAP1	HAP2	0.000230	False
chr12	HAP1_chr12	HAP2_chr12	HAP1	HAP2	0.000313	False
chr13	HAP1_chr13	HAP2_chr13	HAP1	HAP2	0.000081	False
chr14	HAP1_chr14	HAP2_chr14	HAP1	HAP2	0.000069	False
chr15	HAP1_chr15	HAP2_chr15	HAP1	HAP2	0.000033	False
chr16	HAP1_chr16	HAP2_chr16	HAP1	HAP2	0.000046	False
chr17	HAP1_chr17	HAP2_chr17	HAP1	HAP2	0.000062	False
chr18	HAP1_chr18	HAP2_chr18	HAP1	HAP2	0.000504	False
chr19	HAP1_chr19	HAP2_chr19	HAP1	HAP2	0.001100	False
chr20	HAP1_chr20	HAP2_chr20	HAP1	HAP2	0.000230	False
