,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP1_chr19,HAP1_chr20,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP2_chr18,HAP2_chr19,HAP2_chr20
HAP1_chr01,0.000000,0.083841,0.081679,0.082885,0.092481,0.084655,0.084003,0.084640,0.085724,0.084957,0.100247,0.067473,0.109029,0.106172,0.104502,0.103443,0.104934,0.108200,0.103693,0.107322,0.000437,0.083920,0.081715,0.083066,0.093140,0.085524,0.084428,0.084649,0.086108,0.084960,0.100916,0.067786,0.109048,0.106052,0.104490,0.103521,0.104906,0.109438,0.104959,0.107900
HAP1_chr02,0.083841,0.000000,0.081943,0.083093,0.090323,0.084727,0.083933,0.084155,0.085444,0.084452,0.100707,0.101338,0.107718,0.066962,0.103298,0.101989,0.104257,0.106243,0.102510,0.105605,0.084377,0.000083,0.081958,0.083296,0.091037,0.085437,0.084383,0.084163,0.085838,0.084464,0.101449,0.102327,0.107757,0.066929,0.103265,0.102043,0.104211,0.107619,0.103488,0.106174
HAP1_chr03,0.081679,0.081943,0.000000,0.079743,0.092002,0.082737,0.082173,0.082672,0.083506,0.082723,0.080152,0.101824,0.101633,0.106490,0.104141,0.102453,0.105104,0.108674,0.102245,0.106550,0.082154,0.082024,0.000032,0.079902,0.092752,0.083347,0.082547,0.082678,0.083910,0.082732,0.080494,0.102734,0.101679,0.106369,0.104136,0.102507,0.105075,0.109878,0.103394,0.107065
HAP1_chr04,0.082885,0.083093,0.079743,0.000000,0.092908,0.083890,0.082879,0.083622,0.084940,0.084112,0.102587,0.102888,0.110315,0.108098,0.105587,0.104034,0.106726,0.109768,0.073355,0.108581,0.083243,0.083144,0.079747,0.000084,0.093443,0.084519,0.083246,0.083634,0.085259,0.084121,0.103198,0.103710,0.110335,0.107990,0.105582,0.104081,0.106710,0.111025,0.073845,0.109062
HAP1_chr05,0.092481,0.090323,0.092002,0.092908,0.000000,0.091681,0.091608,0.091424,0.092852,0.091950,0.086252,0.106763,0.066225,0.108635,0.107760,0.106377,0.108002,0.109168,0.108122,0.109387,0.092913,0.090394,0.092041,0.093163,0.000215,0.092169,0.092061,0.091429,0.093365,0.091957,0.086645,0.107781,0.066207,0.108614,0.107743,0.106484,0.107951,0.110511,0.109058,0.109787
HAP1_chr06,0.084655,0.084727,0.082737,0.083890,0.091681,0.000000,0.084787,0.085026,0.086145,0.085258,0.102725,0.103465,0.107823,0.106388,0.104283,0.060987,0.105603,0.107713,0.103535,0.107582,0.084983,0.084786,0.082750,0.084009,0.092216,0.001859,0.085063,0.085032,0.086484,0.085268,0.103232,0.104228,0.107829,0.106332,0.104278,0.061008,0.105535,0.109487,0.105006,0.108026
HAP1_chr07,0.084003,0.083933,0.082173,0.082879,0.091608,0.084787,0.000000,0.084123,0.085304,0.084271,0.101260,0.102101,0.108687,0.105782,0.103636,0.102580,0.068036,0.107382,0.102678,0.105883,0.084359,0.083983,0.082185,0.083051,0.092172,0.085234,0.000156,0.084128,0.085792,0.084278,0.101887,0.102936,0.108703,0.105714,0.103628,0.102620,0.068015,0.108572,0.103671,0.106363
HAP1_chr08,0.084640,0.084155,0.082672,0.083622,0.091424,0.085026,0.084123,0.000000,0.085885,0.084779,0.100294,0.100046,0.107177,0.103648,0.064795,0.100715,0.102485,0.105971,0.101418,0.104567,0.084749,0.084177,0.082675,0.083657,0.091692,0.085473,0.084252,0.000036,0.086050,0.084792,0.100624,0.100480,0.107177,0.103620,0.064795,0.100746,0.102447,0.106656,0.102306,0.104832
HAP1_chr09,0.085724,0.085444,0.083506,0.084940,0.092852,0.086145,0.085304,0.085885,0.000000,0.086088,0.103420,0.104192,0.109893,0.107264,0.106312,0.103958,0.107022,0.065578,0.105360,0.107950,0.085933,0.085486,0.083546,0.085033,0.093384,0.086609,0.085566,0.085888,0.000158,0.086091,0.103821,0.104816,0.109902,0.107205,0.106311,0.104048,0.106934,0.065653,0.106310,0.108302
HAP1_chr10,0.084957,0.084452,0.082723,0.084112,0.091950,0.085258,0.084271,0.084779,0.086088,0.000000,0.102502,0.102436,0.108510,0.105997,0.104002,0.102353,0.104722,0.107514,0.102723,0.066560,0.085443,0.084527,0.082730,0.084300,0.092768,0.085537,0.084732,0.084781,0.086663,0.000016,0.103303,0.103629,0.108524,0.105936,0.103988,0.102400,0.104652,0.108779,0.103677,0.066710
