unit_a	unit_b	k_sweep	chosen_k	kmers_a	kmers_b	shared	union	jaccard_at_chosen_k	containment_at_chosen_k	distance	containment_p	resolution_limited	k_consistency_spread
HAP1_chr01	HAP1_chr02	11,13,15,17,19,23	23	51957291	51409347	7514261	95852377	0.078394	0.146165	0.083841	0.080210	False	0.092454
HAP1_chr01	HAP1_chr03	11,13,15,17,19,23	23	51957291	45916064	7477645	90395710	0.082721	0.162855	0.081679	0.075876	False	0.089490
HAP1_chr01	HAP1_chr04	11,13,15,17,19,23	23	51957291	46724373	7333109	91348555	0.080276	0.156944	0.082885	0.077360	False	0.090860
HAP1_chr01	HAP1_chr05	11,13,15,17,19,23	23	51957291	53592667	6290128	99259830	0.063370	0.121063	0.092481	0.087714	False	0.102656
HAP1_chr01	HAP1_chr06	11,13,15,17,19,23	23	51957291	47407427	7089321	92275397	0.076828	0.149540	0.084655	0.079296	False	0.093340
HAP1_chr01	HAP1_chr07	11,13,15,17,19,23	23	51957291	45683074	7071483	90568882	0.078079	0.154794	0.084003	0.077913	False	0.092520
HAP1_chr01	HAP1_chr08	11,13,15,17,19,23	23	51957291	48096827	7140955	92913163	0.076856	0.148470	0.084640	0.079584	False	0.093236
HAP1_chr01	HAP1_chr09	11,13,15,17,19,23	23	51957291	48056817	6962315	93051793	0.074822	0.144877	0.085724	0.080564	False	0.094551
HAP1_chr01	HAP1_chr10	11,13,15,17,19,23	23	51957291	42296145	6678034	87575402	0.076255	0.157888	0.084957	0.077119	False	0.093539
HAP1_chr01	HAP1_chr11	11,13,15,17,19,23	23	51957291	39253059	4546420	86663930	0.052460	0.115823	0.100247	0.089467	False	0.108137
HAP1_chr01	HAP1_chr12	11,13,15,17,19,23	23	51957291	37815974	9509193	80264072	0.118474	0.251460	0.067473	0.058255	False	0.068607
HAP1_chr01	HAP1_chr13	11,13,15,17,19,23	23	51957291	40898545	3781923	89073913	0.042458	0.092471	0.109029	0.098338	False	0.117747
HAP1_chr01	HAP1_chr14	11,13,15,17,19,23	23	51957291	36946197	3866857	85036631	0.045473	0.104662	0.106172	0.093470	False	0.114115
HAP1_chr01	HAP1_chr15	11,13,15,17,19,23	23	51957291	36035997	3977187	84016101	0.047338	0.110367	0.104502	0.091376	False	0.112353
HAP1_chr01	HAP1_chr16	11,13,15,17,19,23	23	51957291	35375336	4044575	83288052	0.048561	0.114333	0.103443	0.089980	False	0.111905
HAP1_chr01	HAP1_chr17	11,13,15,17,19,23	23	51957291	34348320	3862325	82443286	0.046848	0.112446	0.104934	0.090638	False	0.112691
HAP1_chr01	HAP1_chr18	11,13,15,17,19,23	23	51957291	35296182	3622140	83631333	0.043311	0.102621	0.108200	0.094246	False	0.116860
HAP1_chr01	HAP1_chr19	11,13,15,17,19,23	23	51957291	29474342	3749714	77681919	0.048270	0.127220	0.103693	0.085745	False	0.111042
HAP1_chr01	HAP1_chr20	11,13,15,17,19,23	23	51957291	30190758	3479819	78668230	0.044234	0.115261	0.107322	0.089660	False	0.115536
HAP1_chr01	HAP2_chr01	11,13,15,17,19,23	23	51957291	50964934	50945973	51976252	0.980178	0.999628	0.000437	0.000016	False	0.000466
HAP1_chr01	HAP2_chr02	11,13,15,17,19,23	23	51957291	51240848	7488385	95709754	0.078241	0.146141	0.083920	0.080216	False	0.092535
HAP1_chr01	HAP2_chr03	11,13,15,17,19,23	23	51957291	45868734	7467729	90358296	0.082646	0.162807	0.081715	0.075887	False	0.089529
HAP1_chr01	HAP2_chr04	11,13,15,17,19,23	23	51957291	46569700	7291147	91235844	0.079915	0.156564	0.083066	0.077457	False	0.091018
HAP1_chr01	HAP2_chr05	11,13,15,17,19,23	23	51957291	53134188	6168507	98922972	0.062357	0.118723	0.093140	0.088488	False	0.103238
HAP1_chr01	HAP2_chr06	11,13,15,17,19,23	23	51957291	43627622	6684644	88900269	0.075193	0.153220	0.085524	0.078322	False	0.094224
