unit_a	unit_b	chrom	n_markers_a	n_markers_b	n_highcopy_a	n_highcopy_b	te_marker_fraction	windowed_distance_cv
HAP1_chr01	HAP2_chr01	chr01	1765	1220	8799	8341	0.174154	0.382403
HAP1_chr02	HAP2_chr02	chr02	622	81	6275	5737	0.058525	0.320310
HAP1_chr03	HAP2_chr03	chr03	48	1255	4891	6089	0.118670	0.498988
HAP1_chr04	HAP2_chr04	chr04	801	573	5441	5268	0.128303	0.039304
HAP1_chr05	HAP2_chr05	chr05	1928	98	3691	1864	0.364716	0.006151
HAP1_chr06	HAP2_chr06	chr06	2407	205	8181	6441	0.178635	0.008693
HAP1_chr07	HAP2_chr07	chr07	3524	127	5805	2788	0.424881	0.011103
HAP1_chr08	HAP2_chr08	chr08	1938	1905	5523	5539	0.347406	0.020958
HAP1_chr09	HAP2_chr09	chr09	2119	0	3210	1096	0.492104	0.008111
HAP1_chr10	HAP2_chr10	chr10	1534	134	4322	2984	0.228306	0.008301
HAP1_chr11	HAP2_chr11	chr11	1748	1501	4513	4330	0.367409	0.007062
HAP1_chr12	HAP2_chr12	chr12	1260	1602	3329	3688	0.407867	0.008061
HAP1_chr13	HAP2_chr13	chr13	2565	322	4023	2033	0.476717	0.008730
HAP1_chr14	HAP2_chr14	chr14	836	1092	3815	3881	0.250520	0.007806
HAP1_chr15	HAP2_chr15	chr15	736	78	4662	4005	0.093919	0.008296
HAP1_chr16	HAP2_chr16	chr16	50	185	1782	1910	0.063651	0.627518
HAP1_chr17	HAP2_chr17	chr17	313	273	4159	4132	0.070679	0.386976
HAP1_chr18	HAP2_chr18	chr18	2341	10333	5242	12589	0.710785	0.009706
HAP1_chr19	HAP2_chr19	chr19	2190	718	4176	2815	0.415963	0.043330
HAP1_chr20	HAP2_chr20	chr20	1141	120	4883	3990	0.142117	0.107183
HAP1_chr21	HAP2_chr21	chr21	383	74	2555	2328	0.093590	0.007526
HAP1_chr22	HAP2_chr22	chr22	1737	450	2849	1886	0.461880	0.066249
HAP1_chr23	HAP2_chr23	chr23	914	29	1686	801	0.379172	0.009679
HAP1_chr24	HAP2_chr24	chr24	142	497	1354	1615	0.215224	0.549530
HAP1_chr25	HAP2_chr25	chr25	22	245	934	1147	0.128304	0.038116
HAP1_chr26	HAP2_chr26	chr26	17	868	332	1183	0.584158	0.493726
