chrom	n_haplotype_copies	own_mean_distance	homeolog_partner	homeolog_distance	homeolog_z	homeolog_q	distance_ratio
chr01	4	0.023815					
chr02	4	0.023261					
chr03	4	0.029426					
chr04	4	0.023629					
chr05	4	0.024094					
chr06	4	0.028915					
chr07	4	0.022521					
chr08	4	0.026043					
chr09	4	0.028154					
chr10	4	0.025998					
chr11	4	0.027849					
chr12	4	0.024525					
chr13	4	0.024743					
chr14	4	0.026821					
chr15	4	0.029943					
chr16	4	0.027228					
chr17	4	0.028497					
chr18	4	0.027921					
chr19	4	0.028618					
