chrom_a	chrom_b	distance	z_score	p_value	q_value	accepted
chr07	chr11	0.099236	-2.679	0.00369399	0.338323	False
chr07	chr17	0.099327	-2.618	0.00442555	0.338323	False
chr03	chr07	0.099479	-2.516	0.0059355	0.338323	False
chr07	chr08	0.099787	-2.309	0.010467	0.447464	False
chr07	chr10	0.100089	-2.106	0.0176059	0.55815	False
chr07	chr12	0.100162	-2.057	0.0198507	0.55815	False
chr07	chr13	0.100276	-1.980	0.0238269	0.55815	False
chr11	chr17	0.100334	-1.941	0.0261123	0.55815	False
chr08	chr17	0.100492	-1.836	0.033207	0.619639	False
chr08	chr11	0.100764	-1.653	0.0491767	0.619639	False
chr03	chr11	0.100833	-1.606	0.0540909	0.619639	False
chr07	chr09	0.100957	-1.524	0.0638152	0.619639	False
chr07	chr14	0.100969	-1.515	0.0648926	0.619639	False
chr12	chr17	0.101007	-1.490	0.0681267	0.619639	False
chr10	chr17	0.101029	-1.475	0.0701306	0.619639	False
chr03	chr10	0.101044	-1.465	0.0714667	0.619639	False
chr03	chr08	0.101076	-1.444	0.0744394	0.619639	False
chr04	chr07	0.101119	-1.414	0.0786143	0.619639	False
chr14	chr17	0.101137	-1.403	0.0803656	0.619639	False
chr08	chr10	0.101147	-1.395	0.0814355	0.619639	False
chr03	chr17	0.101155	-1.390	0.0822099	0.619639	False
chr07	chr16	0.101165	-1.384	0.0832468	0.619639	False
chr01	chr07	0.101166	-1.383	0.0833433	0.619639	False
chr10	chr11	0.101221	-1.346	0.0891599	0.623957	False
chr13	chr17	0.101240	-1.333	0.0912218	0.623957	False
chr07	chr15	0.101285	-1.303	0.0963442	0.633649	False
chr16	chr17	0.101346	-1.262	0.103446	0.655157	False
chr09	chr17	0.101444	-1.196	0.115889	0.664133	False
chr11	chr12	0.101462	-1.184	0.118216	0.664133	False
chr07	chr18	0.101464	-1.183	0.118465	0.664133	False
chr09	chr11	0.101478	-1.173	0.120398	0.664133	False
chr01	chr03	0.101517	-1.147	0.12574	0.671924	False
chr03	chr12	0.101617	-1.080	0.140096	0.72595	False
chr02	chr07	0.101677	-1.040	0.149255	0.743252	False
chr15	chr17	0.101700	-1.024	0.152914	0.743252	False
chr05	chr07	0.101727	-1.006	0.157256	0.743252	False
chr11	chr13	0.101779	-0.971	0.165774	0.743252	False
chr11	chr14	0.101794	-0.961	0.168306	0.743252	False
chr10	chr15	0.101814	-0.948	0.17163	0.743252	False
chr11	chr15	0.101840	-0.930	0.176091	0.743252	False
chr10	chr12	0.101852	-0.922	0.178207	0.743252	False
chr08	chr12	0.101913	-0.881	0.189148	0.764726	False
chr01	chr02	0.101954	-0.854	0.196609	0.764726	False
chr17	chr18	0.101955	-0.853	0.196772	0.764726	False
chr09	chr10	0.102037	-0.798	0.212579	0.799648	False
chr03	chr04	0.102050	-0.789	0.21511	0.799648	False
chr10	chr13	0.102129	-0.736	0.230825	0.824955	False
chr11	chr16	0.102132	-0.734	0.231566	0.824955	False
chr08	chr14	0.102170	-0.709	0.239249	0.832151	False
chr06	chr07	0.102189	-0.696	0.243319	0.832151	False
chr03	chr09	0.102252	-0.654	0.256656	0.837525	False
chr10	chr14	0.102257	-0.650	0.257902	0.837525	False
chr08	chr09	0.102290	-0.628	0.265099	0.837525	False
chr03	chr13	0.102355	-0.584	0.279482	0.837525	False
chr08	chr15	0.102360	-0.581	0.280768	0.837525	False
chr04	chr11	0.102395	-0.557	0.288731	0.837525	False
chr12	chr14	0.102431	-0.533	0.2969	0.837525	False
chr09	chr15	0.102450	-0.520	0.301419	0.837525	False
chr10	chr16	0.102474	-0.504	0.30697	0.837525	False
chr08	chr13	0.102507	-0.482	0.314784	0.837525	False
chr12	chr13	0.102523	-0.471	0.318716	0.837525	False
chr04	chr10	0.102527	-0.469	0.319645	0.837525	False
chr01	chr11	0.102531	-0.466	0.320516	0.837525	False
chr03	chr14	0.102538	-0.461	0.322321	0.837525	False
chr03	chr15	0.102552	-0.452	0.325731	0.837525	False
chr09	chr12	0.102581	-0.432	0.332824	0.837525	False
chr04	chr17	0.102587	-0.428	0.334244	0.837525	False
chr12	chr15	0.102650	-0.386	0.349673	0.837525	False
chr01	chr08	0.102655	-0.383	0.351041	0.837525	False
chr08	chr18	0.102687	-0.361	0.359059	0.837525	False
chr11	chr18	0.102690	-0.359	0.359797	0.837525	False
chr01	chr10	0.102694	-0.356	0.360739	0.837525	False
chr08	chr16	0.102695	-0.356	0.360896	0.837525	False
chr02	chr03	0.102701	-0.352	0.362438	0.837525	False
chr12	chr16	0.102837	-0.260	0.397328	0.896313	False
chr05	chr11	0.102881	-0.231	0.408734	0.896313	False
chr01	chr04	0.102953	-0.182	0.427634	0.896313	False
chr03	chr05	0.102961	-0.177	0.42971	0.896313	False
chr04	chr08	0.102968	-0.172	0.431623	0.896313	False
chr09	chr16	0.102985	-0.161	0.436116	0.896313	False
chr14	chr16	0.102986	-0.160	0.436413	0.896313	False
chr12	chr18	0.102994	-0.155	0.438481	0.896313	False
chr13	chr14	0.103003	-0.149	0.440832	0.896313	False
chr09	chr14	0.103005	-0.148	0.441362	0.896313	False
chr10	chr18	0.103046	-0.120	0.452316	0.896313	False
chr14	chr15	0.103089	-0.091	0.463707	0.896313	False
chr03	chr06	0.103116	-0.073	0.470934	0.896313	False
chr05	chr10	0.103117	-0.072	0.471168	0.896313	False
chr13	chr15	0.103135	-0.060	0.475913	0.896313	False
chr15	chr16	0.103143	-0.055	0.47812	0.896313	False
chr06	chr10	0.103143	-0.055	0.478154	0.896313	False
chr03	chr16	0.103171	-0.036	0.485665	0.896313	False
chr05	chr17	0.103192	-0.022	0.491239	0.896313	False
chr06	chr11	0.103241	0.011	0.504217	0.896313	False
chr03	chr18	0.103243	0.012	0.504971	0.896313	False
chr09	chr13	0.103253	0.019	0.50765	0.896313	False
chr06	chr08	0.103267	0.028	0.511333	0.896313	False
chr13	chr16	0.103276	0.034	0.513677	0.896313	False
chr09	chr18	0.103320	0.064	0.525519	0.903291	False
chr15	chr18	0.103337	0.075	0.529996	0.903291	False
chr05	chr08	0.103369	0.097	0.538505	0.903291	False
chr06	chr17	0.103370	0.097	0.538805	0.903291	False
chr14	chr18	0.103441	0.145	0.557705	0.922918	False
chr13	chr18	0.103463	0.160	0.563565	0.922918	False
chr04	chr12	0.103475	0.168	0.566704	0.922918	False
chr02	chr11	0.103502	0.186	0.573875	0.92578	False
chr01	chr12	0.103558	0.224	0.588469	0.940451	False
chr06	chr12	0.103634	0.275	0.608354	0.950936	False
chr02	chr08	0.103665	0.296	0.616233	0.950936	False
chr05	chr14	0.103668	0.297	0.616954	0.950936	False
chr16	chr18	0.103669	0.298	0.617274	0.950936	False
chr01	chr17	0.103712	0.327	0.628278	0.955305	False
chr02	chr10	0.103747	0.351	0.637116	0.955305	False
chr05	chr12	0.103760	0.360	0.640418	0.955305	False
chr07	chr19	0.103768	0.365	0.642457	0.955305	False
chr02	chr04	0.103809	0.393	0.652713	0.958851	False
chr01	chr09	0.103823	0.402	0.656056	0.958851	False
chr04	chr15	0.103946	0.485	0.685985	0.980304	False
chr06	chr09	0.103973	0.503	0.692346	0.980304	False
chr17	chr19	0.103995	0.517	0.697537	0.980304	False
chr04	chr09	0.104019	0.533	0.703051	0.980304	False
chr04	chr14	0.104127	0.606	0.727738	0.980304	False
chr04	chr05	0.104194	0.651	0.742486	0.980304	False
chr04	chr13	0.104202	0.656	0.744204	0.980304	False
chr05	chr09	0.104219	0.668	0.747836	0.980304	False
chr01	chr14	0.104230	0.675	0.750162	0.980304	False
chr01	chr06	0.104233	0.677	0.750868	0.980304	False
chr06	chr14	0.104308	0.728	0.766595	0.980304	False
chr06	chr15	0.104378	0.775	0.780691	0.980304	False
chr04	chr16	0.104382	0.777	0.781397	0.980304	False
chr02	chr17	0.104391	0.783	0.78325	0.980304	False
chr02	chr12	0.104397	0.787	0.784407	0.980304	False
chr05	chr13	0.104433	0.811	0.791416	0.980304	False
chr01	chr05	0.104455	0.826	0.795632	0.980304	False
chr06	chr13	0.104465	0.833	0.797484	0.980304	False
chr05	chr16	0.104497	0.855	0.803631	0.980304	False
chr04	chr06	0.104520	0.870	0.807892	0.980304	False
chr05	chr15	0.104549	0.890	0.813168	0.980304	False
chr04	chr18	0.104558	0.896	0.814776	0.980304	False
chr01	chr15	0.104563	0.899	0.81556	0.980304	False
chr06	chr16	0.104589	0.916	0.820286	0.980304	False
chr11	chr19	0.104630	0.944	0.827349	0.980304	False
chr02	chr09	0.104630	0.944	0.827349	0.980304	False
chr06	chr18	0.104645	0.954	0.829997	0.980304	False
chr10	chr19	0.104682	0.979	0.83619	0.980304	False
chr01	chr13	0.104695	0.987	0.838297	0.980304	False
chr09	chr19	0.104916	1.136	0.872066	0.980304	False
chr14	chr19	0.104949	1.158	0.87655	0.980304	False
chr08	chr19	0.105026	1.210	0.886846	0.980304	False
chr15	chr19	0.105048	1.224	0.889608	0.980304	False
chr02	chr05	0.105073	1.242	0.892803	0.980304	False
chr02	chr14	0.105076	1.243	0.893097	0.980304	False
chr12	chr19	0.105149	1.293	0.901922	0.980304	False
chr05	chr18	0.105180	1.313	0.905469	0.980304	False
chr02	chr06	0.105192	1.321	0.906805	0.980304	False
chr05	chr06	0.105233	1.349	0.911304	0.980304	False
chr01	chr16	0.105314	1.403	0.919732	0.980304	False
chr02	chr13	0.105353	1.430	0.923589	0.980304	False
chr03	chr19	0.105362	1.435	0.924388	0.980304	False
chr01	chr18	0.105379	1.447	0.926007	0.980304	False
chr02	chr15	0.105462	1.502	0.933501	0.980304	False
chr02	chr16	0.105506	1.532	0.937272	0.980304	False
chr13	chr19	0.105539	1.554	0.939955	0.980304	False
chr18	chr19	0.105542	1.556	0.940175	0.980304	False
chr16	chr19	0.105737	1.687	0.954227	0.987422	False
chr06	chr19	0.105807	1.734	0.95855	0.987422	False
chr02	chr18	0.106273	2.047	0.979669	0.997426	False
chr04	chr19	0.106280	2.052	0.979927	0.997426	False
chr05	chr19	0.106853	2.437	0.992592	0.999407	False
chr01	chr19	0.106950	2.502	0.993826	0.999407	False
chr02	chr19	0.108052	3.242	0.999407	0.999407	False
