chrom_a	chrom_b	distance	z_score	p_value	q_value	accepted
chr01	chr03	0.087622	-2.450	0.00714063	0.261572	False
chr01	chr02	0.088503	-2.309	0.0104609	0.261572	False
chr02	chr03	0.089010	-2.228	0.0129265	0.261572	False
chr03	chr05	0.090446	-1.999	0.0228017	0.261572	False
chr03	chr06	0.090807	-1.941	0.0261058	0.261572	False
chr01	chr05	0.090810	-1.941	0.0261348	0.261572	False
chr02	chr06	0.090912	-1.925	0.0271388	0.261572	False
chr01	chr06	0.091057	-1.901	0.0286213	0.261572	False
chr02	chr05	0.091203	-1.878	0.0301814	0.261572	False
chr05	chr06	0.091983	-1.754	0.0397539	0.31008	False
chr03	chr04	0.093791	-1.465	0.0714924	0.468966	False
chr01	chr04	0.093821	-1.460	0.0721486	0.468966	False
chr02	chr04	0.095150	-1.248	0.106071	0.636423	False
chr04	chr05	0.095934	-1.122	0.13083	0.690784	False
chr04	chr06	0.095993	-1.113	0.132843	0.690784	False
chr01	chr07	0.097108	-0.935	0.174905	0.711159	False
chr01	chr10	0.097784	-0.827	0.204123	0.711159	False
chr03	chr07	0.097846	-0.817	0.206941	0.711159	False
chr03	chr10	0.097939	-0.802	0.211211	0.711159	False
chr05	chr07	0.098008	-0.791	0.214412	0.711159	False
chr02	chr07	0.098020	-0.789	0.214972	0.711159	False
chr05	chr10	0.098051	-0.784	0.216421	0.711159	False
chr06	chr07	0.098074	-0.781	0.2175	0.711159	False
chr05	chr08	0.098102	-0.776	0.218818	0.711159	False
chr06	chr08	0.098297	-0.745	0.228122	0.711741	False
chr06	chr10	0.098891	-0.650	0.257792	0.756852	False
chr02	chr10	0.098972	-0.637	0.261987	0.756852	False
chr01	chr08	0.099529	-0.548	0.291755	0.812747	False
chr03	chr08	0.099720	-0.518	0.302314	0.813121	False
chr05	chr09	0.100351	-0.417	0.33835	0.865044	False
chr02	chr08	0.100444	-0.402	0.3438	0.865044	False
chr01	chr09	0.101219	-0.278	0.39038	0.93549	False
chr06	chr09	0.101399	-0.250	0.401457	0.93549	False
chr03	chr09	0.101970	-0.158	0.437081	0.93549	False
chr04	chr08	0.102007	-0.152	0.43941	0.93549	False
chr04	chr07	0.102044	-0.147	0.441742	0.93549	False
chr02	chr09	0.102215	-0.119	0.452542	0.93549	False
chr04	chr10	0.102588	-0.060	0.476211	0.93549	False
chr08	chr10	0.102721	-0.038	0.484676	0.93549	False
chr07	chr08	0.102825	-0.022	0.4913	0.93549	False
chr07	chr10	0.103121	0.025	0.510159	0.93549	False
chr09	chr10	0.103920	0.153	0.560836	0.93549	False
chr08	chr09	0.104061	0.176	0.5697	0.93549	False
chr05	chr12	0.105087	0.339	0.632879	0.93549	False
chr04	chr09	0.105291	0.372	0.64508	0.93549	False
chr06	chr13	0.105796	0.453	0.67463	0.93549	False
chr05	chr13	0.105914	0.472	0.681387	0.93549	False
chr07	chr09	0.106214	0.519	0.698293	0.93549	False
chr10	chr13	0.106266	0.528	0.701182	0.93549	False
chr08	chr13	0.106612	0.583	0.720077	0.93549	False
chr05	chr11	0.106957	0.638	0.73832	0.93549	False
chr03	chr13	0.107096	0.660	0.745494	0.93549	False
chr06	chr12	0.107134	0.666	0.747437	0.93549	False
chr08	chr11	0.107380	0.706	0.759824	0.93549	False
chr10	chr12	0.107381	0.706	0.759874	0.93549	False
chr02	chr13	0.107722	0.760	0.776481	0.93549	False
chr03	chr12	0.107807	0.774	0.780517	0.93549	False
chr01	chr13	0.108001	0.805	0.789569	0.93549	False
chr08	chr12	0.108025	0.809	0.790674	0.93549	False
chr06	chr11	0.108079	0.817	0.793146	0.93549	False
chr10	chr11	0.108230	0.842	0.799967	0.93549	False
chr02	chr12	0.108495	0.884	0.811606	0.93549	False
chr01	chr12	0.108728	0.921	0.821487	0.93549	False
chr01	chr11	0.109613	1.062	0.855974	0.93549	False
chr03	chr11	0.109792	1.091	0.862362	0.93549	False
chr02	chr11	0.109861	1.102	0.864773	0.93549	False
chr07	chr13	0.109940	1.115	0.867496	0.93549	False
chr04	chr13	0.110159	1.150	0.874848	0.93549	False
chr09	chr13	0.110221	1.160	0.876877	0.93549	False
chr07	chr12	0.110319	1.175	0.880037	0.93549	False
chr12	chr13	0.110367	1.183	0.881563	0.93549	False
chr09	chr12	0.110596	1.219	0.888656	0.93549	False
chr04	chr12	0.110992	1.283	0.900195	0.93549	False
chr09	chr11	0.111131	1.305	0.904031	0.93549	False
chr11	chr13	0.111151	1.308	0.904574	0.93549	False
chr07	chr11	0.111414	1.350	0.911503	0.93549	False
chr04	chr11	0.111971	1.439	0.92493	0.936942	False
chr11	chr12	0.113241	1.642	0.949693	0.949693	False
