status	unit_id	old_chrom	new_chrom	own_group_dist	alt_group_dist	ratio
corrected	HAP2_chr02	2	6	0.146630	0.029926	4.90
corrected	HAP2_chr04	4	11	0.148850	0.018944	7.86
corrected	HAP2_chr05	5	4	0.140194	0.016773	8.36
corrected	HAP2_chr06	6	5	0.148010	0.016031	9.23
corrected	HAP2_chr07	7	2	0.143065	0.027353	5.23
corrected	HAP2_chr08	8	12	0.142131	0.023326	6.09
corrected	HAP2_chr09	9	15	0.132109	0.015879	8.32
corrected	HAP2_chr10	10	9	0.128680	0.011493	11.20
corrected	HAP2_chr11	11	14	0.066525	0.017636	3.77
corrected	HAP2_chr12	12	8	0.142191	0.027177	5.23
corrected	HAP2_chr14	14	10	0.136273	0.019426	7.01
corrected	HAP2_chr15	15	16	0.151518	0.025485	5.95
corrected	HAP2_chr16	16	7	0.144667	0.032329	4.47
corrected	HAP3_chr02	2	3	0.153074	0.019449	7.87
corrected	HAP3_chr03	3	4	0.137749	0.014974	9.20
corrected	HAP3_chr04	4	6	0.146900	0.028968	5.07
corrected	HAP3_chr05	5	10	0.133840	0.016863	7.94
corrected	HAP3_chr06	6	13	0.139556	0.026262	5.31
corrected	HAP3_chr07	7	2	0.144994	0.026159	5.54
corrected	HAP3_chr08	8	14	0.147028	0.015074	9.75
corrected	HAP3_chr09	9	15	0.129845	0.017440	7.45
corrected	HAP3_chr10	10	8	0.143168	0.024619	5.82
corrected	HAP3_chr12	12	7	0.139781	0.019810	7.06
corrected	HAP3_chr13	13	9	0.075574	0.020149	3.75
corrected	HAP3_chr14	14	5	0.139445	0.018108	7.70
corrected	HAP3_chr15	15	16	0.147849	0.026928	5.49
corrected	HAP3_chr16	16	12	0.146093	0.024897	5.87
ambiguous	HAP4_chr02	2	4	0.065436	0.016544	3.96
ambiguous	HAP4_chr03	3	5	0.137012	0.015238	8.99
ambiguous	HAP4_chr04	4	14	0.140447	0.016601	8.46
ambiguous	HAP4_chr05	5	10	0.133289	0.017556	7.59
ambiguous	HAP4_chr06	6	9	0.139843	0.021165	6.61
ambiguous	HAP4_chr07	7	6	0.146885	0.040305	3.64
ambiguous	HAP4_chr08	8	6	0.144416	0.028118	5.14
ambiguous	HAP4_chr09	9	8	0.140578	0.028563	4.92
ambiguous	HAP4_chr10	10	16	0.146376	0.027012	5.42
ambiguous	HAP4_chr12	12	15	0.143772	0.017475	8.23
ambiguous	HAP4_chr13	13	2	0.144525	0.026356	5.48
ambiguous	HAP4_chr14	14	7	0.147050	0.032070	4.59
ambiguous	HAP4_chr15	15	13	0.143546	0.033784	4.25
ambiguous	HAP4_chr16	16	12	0.143774	0.033742	4.26
