,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP1_chr19,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP2_chr18,HAP2_chr19,HAP3_chr01,HAP3_chr02,HAP3_chr03,HAP3_chr04,HAP3_chr05,HAP3_chr06,HAP3_chr07,HAP3_chr08,HAP3_chr09,HAP3_chr10,HAP3_chr11,HAP3_chr12,HAP3_chr13,HAP3_chr14,HAP3_chr15,HAP3_chr16,HAP3_chr17,HAP3_chr18,HAP3_chr19
HAP1_chr01,0.000000,0.149108,0.151188,0.153343,0.144469,0.151061,0.147096,0.163325,0.151781,0.155867,0.155925,0.152804,0.161722,0.158920,0.157669,0.159301,0.165644,0.161828,0.158431,0.017992,0.148987,0.153496,0.151447,0.146686,0.150300,0.145858,0.161961,0.150061,0.155451,0.154478,0.156031,0.160739,0.159438,0.154129,0.159883,0.165451,0.163408,0.164930,0.019203,0.150090,0.170234,0.153544,0.146450,0.163619,0.145096,0.159136,0.150819,0.155925,0.158645,0.156090,0.166565,0.162117,0.155903,0.160334,0.167516,0.160163,0.158407
HAP1_chr02,0.149108,0.000000,0.138582,0.158450,0.137201,0.139776,0.135276,0.167716,0.136593,0.155440,0.140598,0.151419,0.163231,0.162646,0.160249,0.146923,0.165672,0.156617,0.158320,0.149032,0.017450,0.146383,0.158326,0.137811,0.141488,0.135606,0.166594,0.139960,0.155624,0.141201,0.153393,0.163266,0.160853,0.154029,0.151895,0.164512,0.163528,0.163083,0.147889,0.017113,0.153131,0.162663,0.137020,0.146182,0.134587,0.162177,0.135515,0.154890,0.144784,0.155742,0.169845,0.159253,0.152732,0.147744,0.166865,0.155948,0.159788
HAP1_chr03,0.151188,0.138582,0.000000,0.158440,0.139777,0.139687,0.135438,0.167212,0.140635,0.159527,0.143831,0.150907,0.164284,0.164274,0.160030,0.138668,0.165080,0.159014,0.161966,0.151785,0.142076,0.011988,0.157878,0.142438,0.139481,0.133632,0.168426,0.144430,0.159375,0.143825,0.152009,0.163914,0.159459,0.155878,0.145212,0.165188,0.161374,0.167230,0.149920,0.140794,0.029557,0.162153,0.140382,0.144360,0.134150,0.161252,0.140260,0.158901,0.147054,0.155126,0.167269,0.164423,0.155970,0.140473,0.168276,0.159596,0.163367
HAP1_chr04,0.153343,0.158450,0.158440,0.000000,0.157910,0.156777,0.154065,0.170054,0.158131,0.164943,0.153844,0.158815,0.169087,0.167608,0.166235,0.160427,0.172887,0.168804,0.168739,0.153040,0.157199,0.163940,0.013344,0.158752,0.156729,0.154798,0.170142,0.157190,0.164732,0.151899,0.158882,0.167354,0.166588,0.164783,0.164343,0.173407,0.170564,0.172432,0.151134,0.156979,0.174288,0.012634,0.157982,0.163933,0.152467,0.166560,0.157939,0.166766,0.155485,0.161967,0.170574,0.167509,0.165334,0.162772,0.174713,0.169361,0.168526
HAP1_chr05,0.144469,0.137201,0.139777,0.157910,0.000000,0.137918,0.132935,0.166659,0.139441,0.155778,0.143375,0.148327,0.163543,0.158606,0.159815,0.147229,0.165485,0.158008,0.158365,0.143644,0.140120,0.147263,0.157717,0.017372,0.141890,0.132644,0.163127,0.140075,0.157197,0.141068,0.150175,0.158046,0.156237,0.156442,0.154275,0.166659,0.160704,0.165274,0.143947,0.141082,0.154143,0.161276,0.022433,0.145858,0.131003,0.161382,0.139021,0.157780,0.146863,0.149969,0.169007,0.159126,0.154796,0.147619,0.165538,0.156044,0.159978
HAP1_chr06,0.151061,0.139776,0.139687,0.156777,0.137918,0.000000,0.133862,0.167875,0.140314,0.158195,0.144739,0.151950,0.163730,0.163533,0.156233,0.148414,0.165281,0.159130,0.161252,0.150110,0.139823,0.148061,0.155726,0.138933,0.014149,0.134372,0.167040,0.144143,0.157749,0.143618,0.154461,0.164203,0.161202,0.155033,0.154297,0.166920,0.161618,0.166754,0.149663,0.140656,0.155486,0.160033,0.139047,0.022629,0.134084,0.162086,0.142822,0.155028,0.148715,0.156608,0.166499,0.163010,0.154451,0.147664,0.167858,0.158077,0.162144
HAP1_chr07,0.147096,0.135276,0.135438,0.154065,0.132935,0.133862,0.000000,0.165996,0.135230,0.156444,0.138087,0.145741,0.161997,0.159860,0.156947,0.144663,0.165010,0.155866,0.159002,0.145956,0.137331,0.144148,0.155130,0.134251,0.134740,0.020953,0.166550,0.137051,0.155707,0.137248,0.151802,0.159747,0.158618,0.154271,0.148509,0.165279,0.160323,0.162840,0.145783,0.136023,0.149093,0.159679,0.135016,0.140851,0.021364,0.162658,0.135308,0.155790,0.142682,0.153610,0.165833,0.160153,0.151688,0.144006,0.167071,0.156647,0.157209
HAP1_chr08,0.163325,0.167716,0.167212,0.170054,0.166659,0.167875,0.165996,0.000000,0.168689,0.162757,0.171484,0.168540,0.170398,0.170454,0.171361,0.171822,0.175446,0.162797,0.170235,0.163942,0.165922,0.169201,0.171050,0.165870,0.168224,0.166447,0.013216,0.165693,0.161432,0.168607,0.167688,0.170475,0.171986,0.168338,0.172710,0.173875,0.164546,0.173331,0.161416,0.167706,0.177606,0.171760,0.166979,0.172146,0.164358,0.014751,0.165600,0.162146,0.170075,0.169575,0.171940,0.171174,0.168632,0.172318,0.174329,0.162239,0.170462
HAP1_chr09,0.151781,0.136593,0.140635,0.158131,0.139441,0.140314,0.135230,0.168689,0.000000,0.160795,0.140848,0.151842,0.166712,0.162212,0.159403,0.146473,0.165524,0.159990,0.163472,0.151691,0.139243,0.151412,0.157855,0.142316,0.141703,0.137257,0.167882,0.013970,0.159110,0.142829,0.154030,0.165694,0.165022,0.153813,0.153573,0.164671,0.162933,0.164912,0.150623,0.138906,0.152707,0.163866,0.138452,0.147120,0.134204,0.163052,0.017760,0.161676,0.145339,0.152386,0.170645,0.164364,0.152165,0.148462,0.170908,0.159652,0.163600
HAP1_chr10,0.155867,0.155440,0.159527,0.164943,0.155778,0.158195,0.156444,0.162757,0.160795,0.000000,0.163209,0.160567,0.167920,0.167768,0.166316,0.165562,0.171633,0.168927,0.167480,0.158285,0.155505,0.161983,0.166872,0.157853,0.155175,0.155074,0.159699,0.161969,0.012734,0.162323,0.160848,0.166953,0.165874,0.164963,0.165571,0.167843,0.168163,0.169916,0.155383,0.154165,0.171889,0.165915,0.156258,0.163911,0.153745,0.159695,0.160467,0.015547,0.162731,0.163069,0.170922,0.168033,0.164481,0.165168,0.172161,0.167832,0.165688
HAP1_chr11,0.155925,0.140598,0.143831,0.153844,0.143375,0.144739,0.138087,0.171484,0.140848,0.163209,0.000000,0.151217,0.167646,0.165227,0.163705,0.150866,0.165636,0.161567,0.161205,0.154601,0.143455,0.154793,0.152766,0.144974,0.145383,0.142461,0.170592,0.144028,0.162990,0.016598,0.155841,0.166337,0.163274,0.159519,0.154266,0.166714,0.164254,0.165201,0.153418,0.143937,0.159456,0.157383,0.145477,0.151530,0.140382,0.165077,0.142625,0.162333,0.016137,0.158943,0.170194,0.167403,0.159608,0.151214,0.169816,0.160900,0.162402
HAP1_chr12,0.152804,0.151419,0.150907,0.158815,0.148327,0.151950,0.145741,0.168540,0.151842,0.160567,0.151217,0.000000,0.164070,0.164296,0.161532,0.157231,0.167424,0.167410,0.158916,0.152147,0.151718,0.157309,0.156434,0.146572,0.151915,0.148137,0.164553,0.151563,0.157958,0.153229,0.015354,0.165882,0.161659,0.161670,0.160529,0.166291,0.165080,0.163190,0.148850,0.152074,0.165876,0.160525,0.146476,0.159370,0.145360,0.164441,0.149456,0.161085,0.155215,0.015215,0.168462,0.163298,0.159945,0.157849,0.169137,0.160466,0.157550
HAP1_chr13,0.161722,0.163231,0.164284,0.169087,0.163543,0.163730,0.161997,0.170398,0.166712,0.167920,0.167646,0.164070,0.000000,0.170001,0.167892,0.167655,0.153042,0.169104,0.167498,0.160462,0.159979,0.164685,0.168001,0.159833,0.163738,0.163231,0.166892,0.159871,0.167240,0.165071,0.166489,0.012693,0.166581,0.163675,0.168905,0.155395,0.169652,0.170480,0.161105,0.162042,0.174864,0.167366,0.163094,0.169329,0.162903,0.168154,0.164136,0.168459,0.165810,0.168149,0.015461,0.170633,0.165618,0.165499,0.153309,0.169115,0.169362
HAP1_chr14,0.158920,0.162646,0.164274,0.167608,0.158606,0.163533,0.159860,0.170454,0.162212,0.167768,0.165227,0.164296,0.170001,0.000000,0.154199,0.169417,0.173916,0.171375,0.167287,0.158743,0.161676,0.164431,0.170040,0.163557,0.161885,0.159998,0.170907,0.161747,0.168296,0.165607,0.164945,0.169680,0.013325,0.151057,0.167065,0.173203,0.168155,0.172109,0.158075,0.163352,0.173432,0.168739,0.162056,0.170264,0.157424,0.171623,0.162122,0.166586,0.168051,0.164921,0.172698,0.011161,0.154250,0.169295,0.172668,0.169370,0.167829
