chrom	unit_a	unit_b	hap_a	hap_b	distance	resolution_limited
chr01	HAP1_chr01	HAP2_chr01	HAP1	HAP2	0.017992	False
chr01	HAP1_chr01	HAP3_chr01	HAP1	HAP3	0.019203	False
chr01	HAP2_chr01	HAP3_chr01	HAP2	HAP3	0.020585	False
chr02	HAP1_chr02	HAP2_chr02	HAP1	HAP2	0.017450	False
chr02	HAP1_chr02	HAP3_chr02	HAP1	HAP3	0.017113	False
chr02	HAP2_chr02	HAP3_chr02	HAP2	HAP3	0.015393	False
chr03	HAP1_chr03	HAP2_chr03	HAP1	HAP2	0.011988	False
chr03	HAP1_chr03	HAP3_chr03	HAP1	HAP3	0.029557	False
chr03	HAP2_chr03	HAP3_chr03	HAP2	HAP3	0.026356	False
chr04	HAP1_chr04	HAP2_chr04	HAP1	HAP2	0.013344	False
chr04	HAP1_chr04	HAP3_chr04	HAP1	HAP3	0.012634	False
chr04	HAP2_chr04	HAP3_chr04	HAP2	HAP3	0.012984	False
chr05	HAP1_chr05	HAP2_chr05	HAP1	HAP2	0.017372	False
chr05	HAP1_chr05	HAP3_chr05	HAP1	HAP3	0.022433	False
chr05	HAP2_chr05	HAP3_chr05	HAP2	HAP3	0.019935	False
chr06	HAP1_chr06	HAP2_chr06	HAP1	HAP2	0.014149	False
chr06	HAP1_chr06	HAP3_chr06	HAP1	HAP3	0.022629	False
chr06	HAP2_chr06	HAP3_chr06	HAP2	HAP3	0.023074	False
chr07	HAP1_chr07	HAP2_chr07	HAP1	HAP2	0.020953	False
chr07	HAP1_chr07	HAP3_chr07	HAP1	HAP3	0.021364	False
chr07	HAP2_chr07	HAP3_chr07	HAP2	HAP3	0.020467	False
chr08	HAP1_chr08	HAP2_chr08	HAP1	HAP2	0.013216	False
chr08	HAP1_chr08	HAP3_chr08	HAP1	HAP3	0.014751	False
chr08	HAP2_chr08	HAP3_chr08	HAP2	HAP3	0.013396	False
chr09	HAP1_chr09	HAP2_chr09	HAP1	HAP2	0.013970	False
chr09	HAP1_chr09	HAP3_chr09	HAP1	HAP3	0.017760	False
chr09	HAP2_chr09	HAP3_chr09	HAP2	HAP3	0.019103	False
chr10	HAP1_chr10	HAP2_chr10	HAP1	HAP2	0.012734	False
chr10	HAP1_chr10	HAP3_chr10	HAP1	HAP3	0.015547	False
chr10	HAP2_chr10	HAP3_chr10	HAP2	HAP3	0.015309	False
chr11	HAP1_chr11	HAP2_chr11	HAP1	HAP2	0.016598	False
chr11	HAP1_chr11	HAP3_chr11	HAP1	HAP3	0.016137	False
chr11	HAP2_chr11	HAP3_chr11	HAP2	HAP3	0.016794	False
chr12	HAP1_chr12	HAP2_chr12	HAP1	HAP2	0.015354	False
chr12	HAP1_chr12	HAP3_chr12	HAP1	HAP3	0.015215	False
chr12	HAP2_chr12	HAP3_chr12	HAP2	HAP3	0.014763	False
chr13	HAP1_chr13	HAP2_chr13	HAP1	HAP2	0.012693	False
chr13	HAP1_chr13	HAP3_chr13	HAP1	HAP3	0.015461	False
chr13	HAP2_chr13	HAP3_chr13	HAP2	HAP3	0.015900	False
chr14	HAP1_chr14	HAP2_chr14	HAP1	HAP2	0.013325	False
chr14	HAP1_chr14	HAP3_chr14	HAP1	HAP3	0.011161	False
chr14	HAP2_chr14	HAP3_chr14	HAP2	HAP3	0.014885	False
chr15	HAP1_chr15	HAP2_chr15	HAP1	HAP2	0.013779	False
chr15	HAP1_chr15	HAP3_chr15	HAP1	HAP3	0.020349	False
chr15	HAP2_chr15	HAP3_chr15	HAP2	HAP3	0.016517	False
chr16	HAP1_chr16	HAP2_chr16	HAP1	HAP2	0.015855	False
chr16	HAP1_chr16	HAP3_chr16	HAP1	HAP3	0.016678	False
chr16	HAP2_chr16	HAP3_chr16	HAP2	HAP3	0.019298	False
chr17	HAP1_chr17	HAP2_chr17	HAP1	HAP2	0.013479	False
chr17	HAP1_chr17	HAP3_chr17	HAP1	HAP3	0.012977	False
chr17	HAP2_chr17	HAP3_chr17	HAP2	HAP3	0.012052	False
chr18	HAP1_chr18	HAP2_chr18	HAP1	HAP2	0.014759	False
chr18	HAP1_chr18	HAP3_chr18	HAP1	HAP3	0.015120	False
chr18	HAP2_chr18	HAP3_chr18	HAP2	HAP3	0.016016	False
chr19	HAP1_chr19	HAP2_chr19	HAP1	HAP2	0.012893	False
chr19	HAP1_chr19	HAP3_chr19	HAP1	HAP3	0.013995	False
chr19	HAP2_chr19	HAP3_chr19	HAP2	HAP3	0.014496	False
