chrom	n_haplotype_copies	own_mean_distance	homeolog_partner	homeolog_distance	homeolog_z	homeolog_q	distance_ratio
chr01	2	0.008450					
chr02	2	0.008447	chr07	0.073677	-14.121	0	8.11
chr03	2	0.007360	chr12	0.086074	-10.160	0	10.35
chr04	2	0.007801	chr05	0.075067	-13.677	0	8.26
chr05	2	0.010386	chr04	0.075067	-13.677	0	8.26
chr06	2	0.016852	chr22	0.096220	-6.918	5.31195e-11	7.02
chr07	2	0.009726	chr02	0.073677	-14.121	0	8.11
chr08	2	0.011697	chr10	0.075472	-13.548	0	6.46
chr09	2	0.008494	chr11	0.080386	-11.978	0	9.27
chr10	2	0.011677	chr08	0.075472	-13.548	0	6.46
chr11	2	0.008846	chr09	0.080386	-11.978	0	9.27
chr12	2	0.009269	chr03	0.086074	-10.160	0	10.35
chr13	2	0.009468	chr14	0.076914	-13.087	0	8.83
chr14	2	0.007947	chr13	0.076914	-13.087	0	8.83
chr15	2	0.009011	chr18	0.092202	-8.202	3.60822e-15	9.49
chr16	2	0.016327	chr20	0.093277	-7.858	5.74036e-14	6.57
chr17	2	0.012315	chr26	0.079942	-12.119	0	7.16
chr18	2	0.010414	chr15	0.092202	-8.202	3.60822e-15	9.49
chr19	2	0.008137	chr21	0.101504	-5.229	1.84151e-06	12.02
chr20	2	0.012083	chr16	0.093277	-7.858	5.74036e-14	6.57
chr21	2	0.008750	chr19	0.101504	-5.229	1.84151e-06	12.02
chr22	2	0.010565	chr06	0.096220	-6.918	5.31195e-11	7.02
chr23	2	0.009246	chr25	0.075985	-13.384	0	8.30
chr24	2	0.012126					
chr25	2	0.009071	chr23	0.075985	-13.384	0	8.30
chr26	2	0.010029	chr17	0.079942	-12.119	0	7.16
