chrom_a	chrom_b	mean_distance	z_score	p_value	q_value	n_haplotype_copy_pairs	resolution_limited	n_resolution_limited_of_total
chr03	chr09	0.047382	-10.849	0	0	4	False	0/4
chr04	chr05	0.048538	-10.661	0	0	4	False	0/4
chr10	chr15	0.048782	-10.621	0	0	4	False	0/4
chr01	chr02	0.048888	-10.603	0	0	4	False	0/4
chr11	chr21	0.049204	-10.552	0	0	4	False	0/4
chr07	chr08	0.049295	-10.537	0	0	4	False	0/4
chr27	chr29	0.049400	-10.520	0	0	4	False	0/4
chr20	chr25	0.049439	-10.513	0	0	4	False	0/4
chr13	chr17	0.049462	-10.510	0	0	4	False	0/4
chr26	chr34	0.049556	-10.494	0	0	4	False	0/4
chr28	chr33	0.049564	-10.493	0	0	4	False	0/4
chr12	chr16	0.049664	-10.477	0	0	4	False	0/4
chr23	chr32	0.049771	-10.459	0	0	4	False	0/4
chr19	chr24	0.049951	-10.430	0	0	4	False	0/4
chr18	chr22	0.051264	-10.215	0	0	4	False	0/4
chr06	chr14	0.052304	-10.045	0	0	4	False	0/4
chr30	chr31	0.054125	-9.748	0	0	4	False	0/4
